Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	658.80	0.0015179	-7.4971	-7.4860	-27.045	110.29	148.42	1180.2	-0.47256	0.00036274	0.11626	liquid
263.15	0.10132	649.38	0.0015399	-5.9969	-5.9856	-21.233	113.01	151.67	1130.5	-0.45065	0.00032167	0.11283	liquid
273.15	0.10132	639.80	0.0015630	-4.4636	-4.4522	-15.514	115.78	155.04	1081.4	-0.42725	0.00028691	0.10953	liquid
283.15	0.10132	630.04	0.0015872	-2.8959	-2.8843	-9.8768	118.60	158.55	1032.8	-0.40214	0.00025713	0.10634	liquid
293.15	0.10132	620.06	0.0016127	-1.2926	-1.2808	-4.3116	121.47	162.19	984.58	-0.37496	0.00023135	0.10323	liquid
300.98	0.10132	612.08	0.0016338	-0.011944	8.3311e-16	0.0000	123.74	165.13	947.02	-0.35198	0.00021350	0.10084	liquid
300.98	0.10133	3.0561	0.32722	22.376	24.768	82.291	113.26	123.61	185.77	32.222	7.0785e-06	0.014633	vapor
303.15	0.10132	3.0306	0.32997	22.625	25.037	83.183	113.94	124.22	186.58	31.323	7.1337e-06	0.014863	vapor
313.15	0.10132	2.9193	0.34255	23.789	26.294	87.261	117.10	127.11	190.21	27.641	7.3871e-06	0.015947	vapor
323.15	0.10132	2.8171	0.35497	24.985	27.580	91.303	120.30	130.10	193.71	24.568	7.6391e-06	0.017068	vapor
333.15	0.10132	2.7228	0.36727	26.211	28.896	95.314	123.52	133.14	197.09	21.972	7.8899e-06	0.018227	vapor
343.15	0.10132	2.6353	0.37946	27.468	30.242	99.297	126.75	136.22	200.37	19.759	8.1394e-06	0.019423	vapor
353.15	0.10132	2.5539	0.39156	28.758	31.620	103.25	129.98	139.33	203.56	17.855	8.3876e-06	0.020654	vapor
363.15	0.10132	2.4778	0.40359	30.079	33.029	107.19	133.21	142.46	206.67	16.207	8.6345e-06	0.021921	vapor
373.15	0.10132	2.4064	0.41556	31.431	34.469	111.10	136.43	145.59	209.71	14.772	8.8801e-06	0.023221	vapor
383.15	0.10132	2.3394	0.42746	32.816	35.941	114.99	139.64	148.71	212.68	13.514	9.1243e-06	0.024555	vapor
393.15	0.10132	2.2762	0.43933	34.232	37.444	118.86	142.83	151.83	215.60	12.408	9.3672e-06	0.025922	vapor
403.15	0.10132	2.2166	0.45114	35.679	38.978	122.72	145.99	154.94	218.46	11.429	9.6086e-06	0.027321	vapor
413.15	0.10132	2.1602	0.46293	37.158	40.542	126.55	149.13	158.03	221.26	10.560	9.8487e-06	0.028750	vapor
423.15	0.10132	2.1067	0.47467	38.668	42.138	130.37	152.25	161.10	224.03	9.7845	1.0087e-05	0.030209	vapor
433.15	0.10132	2.0559	0.48639	40.208	43.764	134.16	155.33	164.14	226.74	9.0906	1.0324e-05	0.031698	vapor
443.15	0.10132	2.0077	0.49809	41.779	45.421	137.94	158.38	167.15	229.42	8.4674	1.0560e-05	0.033214	vapor
453.15	0.10132	1.9617	0.50976	43.381	47.107	141.71	161.40	170.14	232.05	7.9056	1.0794e-05	0.034759	vapor
