Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
237.55	0.0056300	673.18	0.0014855	-9.7713	-9.7707	-36.316	106.18	143.64	1258.7	-0.50402	0.00044346	0.12194	0.021209	0.20680	4.8357	16.235	18.199	81.426	89.960	98.525	172.20	73.001	5.5802e-06	0.0088264
249.81	0.011260	661.84	0.0015109	-7.9877	-7.9865	-28.996	109.39	147.38	1196.3	-0.47938	0.00037778	0.11740	0.019807	0.39475	2.5333	17.339	19.397	80.623	94.356	103.09	175.71	60.487	5.8702e-06	0.0098362
257.70	0.016890	654.45	0.0015280	-6.8153	-6.8134	-24.375	111.51	149.90	1156.9	-0.46254	0.00034285	0.11464	0.018913	0.57583	1.7366	18.072	20.189	80.407	97.210	106.08	177.79	54.014	6.0566e-06	0.010515
263.66	0.022520	648.81	0.0015413	-5.9160	-5.9135	-20.926	113.14	151.85	1127.3	-0.44925	0.00031947	0.11261	0.018242	0.75258	1.3288	18.638	20.797	80.380	99.381	108.38	179.25	49.784	6.1974e-06	0.011043
268.51	0.028150	644.18	0.0015524	-5.1756	-5.1724	-18.143	114.48	153.48	1103.5	-0.43806	0.00030208	0.11100	0.017700	0.92620	1.0797	19.105	21.298	80.437	101.16	110.27	180.36	46.703	6.3118e-06	0.011482
272.63	0.033780	640.22	0.0015620	-4.5403	-4.5365	-15.795	115.63	154.88	1083.3	-0.42826	0.00028833	0.10966	0.017241	1.0974	0.91123	19.506	21.727	80.538	102.67	111.90	181.25	44.314	6.4090e-06	0.011862
276.24	0.039410	636.74	0.0015705	-3.9804	-3.9759	-13.754	116.64	156.12	1065.8	-0.41946	0.00027702	0.10850	0.016842	1.2667	0.78947	19.860	22.105	80.661	104.00	113.33	181.98	42.381	6.4939e-06	0.012198
279.45	0.045040	633.61	0.0015783	-3.4776	-3.4724	-11.945	117.55	157.25	1050.2	-0.41143	0.00026745	0.10748	0.016487	1.4343	0.69720	20.179	22.445	80.799	105.19	114.63	182.60	40.771	6.5696e-06	0.012502
282.35	0.050670	630.76	0.0015854	-3.0195	-3.0137	-10.314	118.37	158.28	1036.2	-0.40399	0.00025917	0.10656	0.016168	1.6006	0.62478	20.469	22.753	80.944	106.27	115.80	183.13	39.399	6.6381e-06	0.012781
285.01	0.056300	628.14	0.0015920	-2.5977	-2.5912	-8.8268	119.13	159.23	1023.4	-0.39704	0.00025190	0.10573	0.015876	1.7656	0.56638	20.737	23.037	81.094	107.26	116.89	183.59	38.210	6.7008e-06	0.013038
287.47	0.061930	625.71	0.0015982	-2.2059	-2.1987	-7.4579	119.83	160.11	1011.6	-0.39049	0.00024543	0.10496	0.015608	1.9296	0.51824	20.985	23.301	81.246	108.17	117.90	183.99	37.165	6.7587e-06	0.013277
289.75	0.067560	623.43	0.0016040	-1.8394	-1.8315	-6.1879	120.49	160.94	1000.6	-0.38428	0.00023960	0.10426	0.015358	2.0927	0.47785	21.218	23.547	81.398	109.03	118.85	184.34	36.236	6.8127e-06	0.013502
291.89	0.073190	621.29	0.0016095	-1.4945	-1.4860	-5.0020	121.11	161.73	990.35	-0.37836	0.00023431	0.10360	0.015126	2.2550	0.44347	21.436	23.778	81.550	109.83	119.75	184.65	35.403	6.8633e-06	0.013714
293.91	0.078820	619.27	0.0016148	-1.1684	-1.1593	-3.8886	121.69	162.47	980.72	-0.37269	0.00022947	0.10298	0.014908	2.4165	0.41382	21.643	23.996	81.701	110.59	120.59	184.93	34.649	6.9109e-06	0.013915
295.81	0.084450	617.34	0.0016198	-0.85882	-0.84895	-2.8384	122.24	163.18	971.63	-0.36724	0.00022502	0.10240	0.014702	2.5773	0.38800	21.839	24.203	81.851	111.30	121.40	185.18	33.963	6.9559e-06	0.014107
297.62	0.090080	615.51	0.0016247	-0.56375	-0.55319	-1.8439	122.76	163.86	963.01	-0.36198	0.00022090	0.10185	0.014507	2.7376	0.36528	22.026	24.400	82.000	111.99	122.17	185.40	33.335	6.9988e-06	0.014290
299.34	0.095710	613.76	0.0016293	-0.28167	-0.27042	-0.89871	123.26	164.51	954.82	-0.35690	0.00021707	0.10133	0.014322	2.8973	0.34515	22.205	24.588	82.147	112.64	122.90	185.60	32.756	7.0396e-06	0.014465
300.98	0.10134	612.08	0.0016338	-0.011238	0.00070791	0.0023461	123.74	165.14	947.00	-0.35196	0.00021349	0.10084	0.014145	3.0565	0.32717	22.376	24.768	82.291	113.26	123.61	185.77	32.220	7.0786e-06	0.014633
302.55	0.10697	610.46	0.0016381	0.24866	0.26130	0.86370	124.20	165.74	939.52	-0.34717	0.00021013	0.10037	0.013976	3.2153	0.31102	22.540	24.941	82.434	113.85	124.29	185.93	31.723	7.1160e-06	0.014795
304.06	0.11260	608.90	0.0016423	0.49898	0.51232	1.6891	124.64	166.32	932.35	-0.34250	0.00020697	0.099913	0.013815	3.3736	0.29642	22.699	25.107	82.575	114.43	124.95	186.08	31.259	7.1520e-06	0.014951
305.52	0.11823	607.40	0.0016464	0.74057	0.75461	2.4819	125.07	166.88	925.46	-0.33795	0.00020399	0.099478	0.013660	3.5315	0.28316	22.852	25.267	82.714	114.98	125.58	186.21	30.826	7.1866e-06	0.015102
306.92	0.12386	605.94	0.0016503	0.97413	0.98888	3.2447	125.48	167.42	918.82	-0.33350	0.00020117	0.099059	0.013511	3.6891	0.27107	22.999	25.421	82.851	115.51	126.20	186.32	30.419	7.2201e-06	0.015249
308.27	0.12949	604.53	0.0016542	1.2003	1.2158	3.9801	125.87	167.95	912.42	-0.32914	0.00019849	0.098656	0.013367	3.8464	0.25998	23.142	25.571	82.987	116.02	126.80	186.42	30.036	7.2524e-06	0.015390
