Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	0.83777	1.1937	25.089	27.149	114.58	28.279	37.934	398.34	54.370	8.5104e-06	0.020710	vapor
263.15	0.10132	0.80309	1.2452	25.377	27.525	116.04	28.039	37.422	406.58	46.409	8.8514e-06	0.021643	vapor
273.15	0.10132	0.77155	1.2961	25.661	27.898	117.43	27.919	37.098	414.49	39.901	9.1983e-06	0.022610	vapor
283.15	0.10132	0.74266	1.3465	25.944	28.268	118.76	27.891	36.915	422.12	34.573	9.5507e-06	0.023612	vapor
293.15	0.10132	0.71606	1.3965	26.227	28.636	120.04	27.938	36.843	429.51	30.198	9.9079e-06	0.024646	vapor
303.15	0.10132	0.69144	1.4463	26.509	29.005	121.27	28.043	36.856	436.66	26.589	1.0270e-05	0.025711	vapor
313.15	0.10132	0.66856	1.4958	26.793	29.374	122.47	28.196	36.935	443.62	23.594	1.0635e-05	0.026806	vapor
323.15	0.10132	0.64722	1.5451	27.078	29.744	123.63	28.386	37.067	450.39	21.089	1.1004e-05	0.027931	vapor
333.15	0.10132	0.62726	1.5942	27.364	30.115	124.77	28.606	37.239	457.00	18.979	1.1377e-05	0.029084	vapor
343.15	0.10132	0.60854	1.6433	27.653	30.489	125.87	28.849	37.444	463.45	17.185	1.1751e-05	0.030264	vapor
353.15	0.10132	0.59094	1.6922	27.944	30.864	126.95	29.111	37.674	469.76	15.646	1.2128e-05	0.031472	vapor
363.15	0.10132	0.57435	1.7411	28.238	31.242	128.00	29.386	37.923	475.95	14.314	1.2507e-05	0.032705	vapor
373.15	0.10132	0.55870	1.7899	28.534	31.623	129.04	29.673	38.187	482.02	13.153	1.2888e-05	0.033965	vapor
383.15	0.10132	0.54389	1.8386	28.833	32.006	130.05	29.968	38.462	487.98	12.131	1.3269e-05	0.035249	vapor
393.15	0.10132	0.52986	1.8873	29.135	32.392	131.05	30.269	38.747	493.84	11.226	1.3652e-05	0.036559	vapor
403.15	0.10132	0.51655	1.9359	29.440	32.781	132.02	30.575	39.039	499.60	10.420	1.4035e-05	0.037892	vapor
413.15	0.10132	0.50390	1.9845	29.748	33.173	132.98	30.885	39.335	505.28	9.6968	1.4419e-05	0.039250	vapor
423.15	0.10132	0.49187	2.0331	30.059	33.568	133.93	31.197	39.636	510.87	9.0452	1.4803e-05	0.040630	vapor
433.15	0.10132	0.48040	2.0816	30.374	33.966	134.86	31.510	39.940	516.38	8.4555	1.5186e-05	0.042034	vapor
443.15	0.10132	0.46946	2.1301	30.691	34.366	135.77	31.825	40.246	521.81	7.9196	1.5570e-05	0.043461	vapor
453.15	0.10132	0.45902	2.1786	31.011	34.770	136.67	32.141	40.553	527.17	7.4309	1.5953e-05	0.044910	vapor
