Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
195.49	0.0060544	733.85	0.0013627	0.00015005	0.00029055	0.00076754	50.538	73.322	2011.3	-0.21958	0.00057058	0.61094	0.043948	0.063717	15.694	23.739	25.357	129.71	25.822	34.452	355.26	180.95	6.8380e-06	0.015700
215.22	0.024983	711.06	0.0014063	1.4567	1.4573	7.0981	50.515	74.449	1888.7	-0.20799	0.00037909	0.60365	0.039747	0.24048	4.1583	24.189	25.958	120.94	26.825	35.915	370.81	113.59	7.3615e-06	0.017230
224.41	0.043912	700.25	0.0014281	2.1435	2.1446	10.223	50.320	75.049	1831.9	-0.20075	0.00032147	0.59622	0.037688	0.40742	2.4545	24.387	26.223	117.52	27.477	36.895	377.26	92.950	7.6196e-06	0.018032
230.74	0.062841	692.70	0.0014436	2.6194	2.6210	12.315	50.118	75.460	1792.7	-0.19514	0.00028943	0.58972	0.036245	0.56948	1.7560	24.518	26.397	115.36	27.999	37.693	381.37	81.409	7.8011e-06	0.018621
235.65	0.081770	686.75	0.0014561	2.9909	2.9929	13.908	49.930	75.777	1762.0	-0.19042	0.00026795	0.58394	0.035112	0.72833	1.3730	24.616	26.528	113.78	28.446	38.386	384.36	73.660	7.9439e-06	0.019101
239.71	0.10070	681.79	0.0014667	3.2989	3.3014	15.204	49.759	76.039	1736.4	-0.18627	0.00025211	0.57870	0.034170	0.88483	1.1302	24.696	26.634	112.54	28.841	39.008	386.69	67.949	8.0629e-06	0.019514
243.19	0.11963	677.49	0.0014760	3.5639	3.5669	16.301	49.604	76.265	1714.3	-0.18251	0.00023972	0.57390	0.033358	1.0395	0.96200	24.762	26.722	111.51	29.199	39.578	388.59	63.494	8.1656e-06	0.019881
246.26	0.13856	673.67	0.0014844	3.7975	3.8010	17.256	49.462	76.466	1694.7	-0.17904	0.00022964	0.56944	0.032642	1.1927	0.83845	24.819	26.797	110.64	29.528	40.106	390.18	59.883	8.2564e-06	0.020213
249.00	0.15749	670.23	0.0014920	4.0073	4.0113	18.103	49.333	76.649	1677.0	-0.17579	0.00022120	0.56528	0.032000	1.3446	0.74370	24.869	26.863	109.88	29.832	40.602	391.54	56.873	8.3380e-06	0.020519
251.49	0.17641	667.08	0.0014991	4.1981	4.2026	18.866	49.215	76.818	1660.9	-0.17273	0.00021398	0.56136	0.031415	1.4955	0.66865	24.913	26.922	109.21	30.117	41.070	392.72	54.310	8.4124e-06	0.020803
