Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.9256	0.51933	3.1491	5.2512	151.31	12.484	20.859	296.33	4.9290	1.9693e-05	0.015444	vapor
263.15	0.10132	1.8520	0.53995	3.2742	5.4598	152.11	12.483	20.853	302.15	4.5999	2.0359e-05	0.015967	vapor
273.15	0.10132	1.7840	0.56055	3.3993	5.6683	152.89	12.481	20.847	307.86	4.3004	2.1017e-05	0.016483	vapor
283.15	0.10132	1.7207	0.58115	3.5244	5.8767	153.64	12.480	20.842	313.46	4.0266	2.1666e-05	0.016993	vapor
293.15	0.10132	1.6618	0.60175	3.6494	6.0851	154.36	12.480	20.837	318.96	3.7755	2.2307e-05	0.017496	vapor
303.15	0.10132	1.6068	0.62234	3.7744	6.2934	155.06	12.479	20.833	324.37	3.5444	2.2940e-05	0.017993	vapor
313.15	0.10132	1.5554	0.64293	3.8994	6.5018	155.74	12.478	20.830	329.68	3.3310	2.3565e-05	0.018484	vapor
323.15	0.10132	1.5071	0.66351	4.0243	6.7100	156.39	12.478	20.826	334.91	3.1334	2.4183e-05	0.018969	vapor
333.15	0.10132	1.4618	0.68410	4.1493	6.9183	157.03	12.477	20.824	340.06	2.9499	2.4793e-05	0.019449	vapor
343.15	0.10132	1.4191	0.70468	4.2742	7.1265	157.64	12.477	20.821	345.14	2.7792	2.5397e-05	0.019922	vapor
353.15	0.10132	1.3788	0.72525	4.3991	7.3347	158.24	12.477	20.819	350.13	2.6199	2.5994e-05	0.020391	vapor
363.15	0.10132	1.3408	0.74583	4.5240	7.5429	158.82	12.476	20.817	355.06	2.4709	2.6584e-05	0.020854	vapor
373.15	0.10132	1.3048	0.76640	4.6489	7.7511	159.39	12.476	20.815	359.92	2.3314	2.7167e-05	0.021311	vapor
383.15	0.10132	1.2707	0.78697	4.7738	7.9592	159.94	12.476	20.813	364.72	2.2004	2.7745e-05	0.021764	vapor
393.15	0.10132	1.2383	0.80754	4.8986	8.1673	160.48	12.475	20.812	369.45	2.0772	2.8316e-05	0.022212	vapor
403.15	0.10132	1.2076	0.82810	5.0235	8.3754	161.00	12.475	20.810	374.12	1.9611	2.8881e-05	0.022655	vapor
413.15	0.10132	1.1783	0.84867	5.1483	8.5835	161.51	12.475	20.809	378.73	1.8516	2.9441e-05	0.023094	vapor
423.15	0.10132	1.1504	0.86923	5.2732	8.7916	162.01	12.475	20.808	383.29	1.7481	2.9994e-05	0.023528	vapor
433.15	0.10132	1.1239	0.88980	5.3980	8.9997	162.49	12.475	20.806	387.79	1.6501	3.0543e-05	0.023958	vapor
443.15	0.10132	1.0985	0.91036	5.5228	9.2077	162.97	12.475	20.805	392.24	1.5573	3.1086e-05	0.024383	vapor
453.15	0.10132	1.0742	0.93092	5.6477	9.4158	163.43	12.474	20.804	396.65	1.4693	3.1624e-05	0.024805	vapor
