Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
83.806	0.068891	1416.8	0.00070583	-4.8531	-4.8512	53.110	21.956	44.570	862.43	-0.40500	0.00029017	0.13368	0.013404	4.0546	0.24663	1.0103	1.6891	131.15	12.972	22.172	168.12	35.712	6.8558e-06	0.0053590
84.769	0.076881	1410.9	0.00070876	-4.8102	-4.8081	53.619	21.800	44.569	855.83	-0.40197	0.00028149	0.13225	0.013163	4.4832	0.22305	1.0191	1.7042	130.44	13.006	22.283	168.90	34.897	6.9416e-06	0.0054311
85.658	0.084871	1405.5	0.00071150	-4.7707	-4.7683	54.083	21.662	44.581	849.71	-0.39892	0.00027379	0.13094	0.012942	4.9082	0.20374	1.0271	1.7179	129.80	13.040	22.390	169.60	34.172	7.0210e-06	0.0054982
86.485	0.092862	1400.4	0.00071407	-4.7340	-4.7313	54.510	21.537	44.602	844.00	-0.39587	0.00026689	0.12972	0.012736	5.3300	0.18762	1.0344	1.7304	129.22	13.072	22.495	170.24	33.522	7.0951e-06	0.0055611
87.258	0.10085	1395.7	0.00071650	-4.6996	-4.6967	54.906	21.423	44.630	838.64	-0.39283	0.00026064	0.12858	0.012545	5.7488	0.17395	1.0410	1.7418	128.69	13.103	22.598	170.83	32.933	7.1646e-06	0.0056204
87.985	0.10884	1391.2	0.00071882	-4.6672	-4.6640	55.276	21.319	44.663	833.57	-0.38979	0.00025495	0.12752	0.012365	6.1651	0.16220	1.0471	1.7524	128.20	13.133	22.698	171.37	32.394	7.2301e-06	0.0056767
88.673	0.11683	1386.9	0.00072103	-4.6365	-4.6332	55.623	21.223	44.701	828.77	-0.38678	0.00024972	0.12651	0.012196	6.5791	0.15200	1.0528	1.7622	127.75	13.162	22.797	171.88	31.899	7.2923e-06	0.0057303
89.326	0.12482	1382.8	0.00072315	-4.6075	-4.6039	55.950	21.134	44.741	824.19	-0.38379	0.00024489	0.12556	0.012036	6.9908	0.14304	1.0580	1.7713	127.32	13.190	22.894	172.35	31.440	7.3514e-06	0.0057815
89.947	0.13281	1379.0	0.00072519	-4.5797	-4.5759	56.259	21.050	44.785	819.82	-0.38081	0.00024042	0.12466	0.011884	7.4007	0.13512	1.0629	1.7799	126.92	13.218	22.989	172.79	31.014	7.4079e-06	0.0058306
90.541	0.14080	1375.2	0.00072715	-4.5532	-4.5492	56.553	20.972	44.831	815.63	-0.37786	0.00023624	0.12379	0.011739	7.8087	0.12806	1.0675	1.7879	126.54	13.245	23.084	173.21	30.616	7.4620e-06	0.0058779
