Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
293.15	0.10132	878.92	0.0011378	-8.4971	-8.4881	-26.298	94.210	134.38	1324.8	-0.42986	0.00064738	0.14296	liquid
303.15	0.10132	868.38	0.0011516	-7.1429	-7.1338	-21.755	96.137	136.50	1277.6	-0.41572	0.00056346	0.13960	liquid
313.15	0.10132	857.76	0.0011658	-5.7668	-5.7576	-17.289	98.157	138.76	1231.1	-0.40053	0.00049599	0.13632	liquid
323.15	0.10132	847.03	0.0011806	-4.3675	-4.3581	-12.890	100.25	141.15	1185.3	-0.38432	0.00044056	0.13311	liquid
333.15	0.10132	836.17	0.0011959	-2.9438	-2.9344	-8.5513	102.39	143.63	1140.1	-0.36708	0.00039419	0.12996	liquid
343.15	0.10132	825.16	0.0012119	-1.4949	-1.4853	-4.2660	104.58	146.19	1095.5	-0.34874	0.00035481	0.12686	liquid
353.15	0.10132	813.97	0.0012285	-0.019961	-0.010238	-0.028987	106.80	148.84	1051.5	-0.32921	0.00032095	0.12378	liquid
353.22	0.10132	813.89	0.0012287	-0.0097245	-9.7877e-16	0.0000	106.82	148.86	1051.2	-0.32907	0.00032073	0.12376	liquid
353.22	0.10132	2.7896	0.35847	27.915	30.752	87.063	91.613	101.34	196.90	33.229	8.8652e-06	0.015373	vapor
363.15	0.10132	2.7047	0.36973	28.847	31.773	89.914	94.665	104.26	199.87	30.160	9.1214e-06	0.016281	vapor
373.15	0.10132	2.6248	0.38098	29.815	32.830	92.785	97.696	107.17	202.79	27.432	9.3779e-06	0.017216	vapor
383.15	0.10132	2.5499	0.39216	30.813	33.917	95.657	100.68	110.05	205.65	25.018	9.6330e-06	0.018168	vapor
393.15	0.10132	2.4796	0.40329	31.839	35.031	98.529	103.61	112.89	208.45	22.877	9.8870e-06	0.019137	vapor
403.15	0.10132	2.4133	0.41436	32.895	36.174	101.40	106.49	115.68	211.20	20.973	1.0140e-05	0.020120	vapor
413.15	0.10132	2.3508	0.42539	33.978	37.345	104.27	109.31	118.43	213.90	19.277	1.0392e-05	0.021116	vapor
423.15	0.10132	2.2916	0.43637	35.089	38.543	107.13	112.08	121.13	216.55	17.762	1.0644e-05	0.022125	vapor
433.15	0.10132	2.2355	0.44732	36.227	39.767	109.99	114.78	123.78	219.17	16.407	1.0895e-05	0.023144	vapor
443.15	0.10132	2.1823	0.45823	37.391	41.018	112.85	117.43	126.37	221.74	15.191	1.1145e-05	0.024173	vapor
453.15	0.10132	2.1317	0.46911	38.582	42.294	115.70	120.02	128.91	224.28	14.099	1.1394e-05	0.025211	vapor
