Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
278.68	0.0047850	893.97	0.0011186	-10.419	-10.418	-33.020	91.630	131.62	1393.8	-0.44822	0.00081229	0.14799	0.030814	0.16185	6.1784	22.242	24.551	92.465	67.071	75.507	182.13	68.519	7.0818e-06	0.0091298
298.59	0.012956	873.12	0.0011453	-7.7601	-7.7589	-23.807	95.242	135.52	1298.5	-0.42218	0.00059886	0.14109	0.028148	0.41063	2.4353	23.617	26.081	89.525	73.500	82.089	187.02	55.286	7.5683e-06	0.010592
309.70	0.021127	861.37	0.0011609	-6.2418	-6.2399	-18.814	97.447	137.98	1246.6	-0.40576	0.00051737	0.13741	0.026681	0.64776	1.5438	24.430	26.978	88.445	77.144	85.865	189.50	49.387	7.8364e-06	0.011478
317.70	0.029297	852.83	0.0011726	-5.1306	-5.1279	-15.272	99.097	139.84	1209.8	-0.39315	0.00046919	0.13482	0.025634	0.87830	1.1386	25.037	27.642	87.876	79.788	88.629	191.16	45.664	8.0280e-06	0.012145
324.06	0.037468	845.99	0.0011820	-4.2372	-4.2337	-12.488	100.44	141.38	1180.8	-0.38267	0.00043578	0.13280	0.024808	1.1043	0.90555	25.530	28.180	87.538	81.896	90.851	192.39	42.983	8.1794e-06	0.012691
329.38	0.045639	840.22	0.0011902	-3.4815	-3.4773	-10.175	101.58	142.69	1156.8	-0.37358	0.00041056	0.13112	0.024121	1.3269	0.75366	25.951	28.637	87.326	83.665	92.729	193.36	40.908	8.3056e-06	0.013159
333.98	0.053810	835.20	0.0011973	-2.8219	-2.8169	-8.1858	102.57	143.85	1136.1	-0.36548	0.00039049	0.12968	0.023528	1.5467	0.64654	26.320	29.038	87.191	85.199	94.367	194.14	39.228	8.4144e-06	0.013572
338.06	0.061981	830.73	0.0012038	-2.2334	-2.2276	-6.4344	103.46	144.88	1117.9	-0.35811	0.00037393	0.12841	0.023007	1.7643	0.56680	26.651	29.396	87.108	86.558	95.828	194.80	37.824	8.5104e-06	0.013943
341.74	0.070152	826.69	0.0012096	-1.7001	-1.6934	-4.8651	104.27	145.83	1101.6	-0.35132	0.00035991	0.12728	0.022539	1.9800	0.50506	26.953	29.721	87.060	87.782	97.151	195.36	36.625	8.5967e-06	0.014283
345.08	0.078322	822.98	0.0012151	-1.2108	-1.2034	-3.4404	105.01	146.70	1086.8	-0.34500	0.00034780	0.12625	0.022114	2.1940	0.45578	27.231	30.019	87.037	88.899	98.364	195.84	35.581	8.6751e-06	0.014596
348.17	0.086493	819.55	0.0012202	-0.75778	-0.74954	-2.1333	105.69	147.51	1073.3	-0.33906	0.00033717	0.12530	0.021724	2.4067	0.41551	27.488	30.295	87.034	89.927	99.487	196.26	34.660	8.7472e-06	0.014888
351.03	0.094664	816.35	0.0012250	-0.33507	-0.32601	-0.92402	106.33	148.27	1060.8	-0.33344	0.00032772	0.12443	0.021363	2.6181	0.38196	27.729	30.554	87.046	90.882	100.53	196.63	33.838	8.8141e-06	0.015161
353.70	0.10283	813.35	0.0012295	0.061847	0.071723	0.20251	106.92	148.98	1049.1	-0.32810	0.00031923	0.12362	0.021027	2.8284	0.35356	27.956	30.796	87.068	91.774	101.52	196.95	33.097	8.8764e-06	0.015419
356.21	0.11101	810.52	0.0012338	0.43649	0.44719	1.2581	107.49	149.66	1038.2	-0.32299	0.00031154	0.12285	0.020712	3.0377	0.32920	28.171	31.025	87.100	92.612	102.45	197.24	32.425	8.9349e-06	0.015664
358.58	0.11918	807.83	0.0012379	0.79170	0.80322	2.2521	108.02	150.30	1027.9	-0.31810	0.00030452	0.12213	0.020416	3.2461	0.30806	28.374	31.242	87.138	93.402	103.32	197.50	31.811	8.9901e-06	0.015897
360.83	0.12735	805.28	0.0012418	1.1298	1.1421	3.1920	108.52	150.91	1018.2	-0.31338	0.00029807	0.12146	0.020135	3.4537	0.28954	28.568	31.448	87.182	94.152	104.16	197.73	31.247	9.0424e-06	0.016119
362.97	0.13552	802.84	0.0012456	1.4526	1.4658	4.0842	109.01	151.49	1009.0	-0.30883	0.00029211	0.12081	0.019870	3.6606	0.27318	28.754	31.645	87.231	94.865	104.96	197.93	30.725	9.0921e-06	0.016332
365.01	0.14369	800.51	0.0012492	1.7618	1.7758	4.9338	109.47	152.05	1000.2	-0.30442	0.00028658	0.12020	0.019617	3.8668	0.25861	28.932	31.834	87.283	95.545	105.73	198.11	30.241	9.1394e-06	0.016537
366.96	0.15186	798.26	0.0012527	2.0587	2.0736	5.7451	109.91	152.59	991.88	-0.30014	0.00028142	0.11961	0.019375	4.0724	0.24556	29.102	32.015	87.339	96.195	106.46	198.28	29.790	9.1847e-06	0.016734
368.83	0.16003	796.10	0.0012561	2.3444	2.3601	6.5219	110.33	153.11	983.88	-0.29598	0.00027659	0.11905	0.019144	4.2774	0.23379	29.267	32.189	87.397	96.818	107.17	198.42	29.368	9.2282e-06	0.016924
