Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	621.79	0.0016083	8.9791	8.9886	48.104	91.921	129.35	1144.1	-0.42016	0.00024831	0.12437	liquid
263.15	0.10132	611.39	0.0016356	10.284	10.294	53.161	93.556	131.75	1089.6	-0.39472	0.00022377	0.11979	liquid
272.66	0.10132	601.26	0.0016632	11.549	11.559	57.881	95.220	134.24	1037.8	-0.36764	0.00020341	0.11553	liquid
272.66	0.10133	2.7093	0.36910	31.803	33.977	140.10	85.226	95.380	200.13	34.572	6.7268e-06	0.014145	vapor
273.15	0.10132	2.7037	0.36986	31.845	34.024	140.27	85.333	95.473	200.34	34.353	6.7394e-06	0.014189	vapor
283.15	0.10132	2.5950	0.38536	32.718	34.988	143.74	87.562	97.444	204.52	30.279	6.9959e-06	0.015116	vapor
293.15	0.10132	2.4958	0.40068	33.613	35.973	147.16	89.881	99.555	208.53	26.856	7.2499e-06	0.016073	vapor
303.15	0.10132	2.4047	0.41585	34.530	36.979	150.53	92.269	101.77	212.41	23.954	7.5018e-06	0.017062	vapor
313.15	0.10132	2.3208	0.43089	35.471	38.009	153.88	94.713	104.08	216.17	21.475	7.7518e-06	0.018083	vapor
323.15	0.10132	2.2430	0.44583	36.436	39.061	157.18	97.200	106.45	219.81	19.344	8.0002e-06	0.019135	vapor
333.15	0.10132	2.1707	0.46068	37.425	40.138	160.46	99.716	108.86	223.37	17.501	8.2470e-06	0.020218	vapor
343.15	0.10132	2.1032	0.47546	38.439	41.239	163.72	102.25	111.32	226.83	15.897	8.4924e-06	0.021334	vapor
353.15	0.10132	2.0401	0.49017	39.477	42.364	166.95	104.80	113.79	230.23	14.495	8.7365e-06	0.022480	vapor
363.15	0.10132	1.9809	0.50483	40.541	43.514	170.16	107.35	116.28	233.55	13.264	8.9795e-06	0.023659	vapor
373.15	0.10132	1.9252	0.51944	41.631	44.690	173.36	109.90	118.78	236.80	12.177	9.2214e-06	0.024869	vapor
383.15	0.10132	1.8726	0.53400	42.745	45.890	176.53	112.45	121.27	240.00	11.214	9.4623e-06	0.026111	vapor
393.15	0.10132	1.8230	0.54853	43.885	47.115	179.69	114.97	123.76	243.14	10.356	9.7022e-06	0.027385	vapor
403.15	0.10132	1.7761	0.56303	45.049	48.365	182.83	117.49	126.23	246.23	9.5891	9.9412e-06	0.028691	vapor
413.15	0.10132	1.7316	0.57750	46.239	49.640	185.95	119.98	128.69	249.27	8.9020	1.0179e-05	0.030028	vapor
423.15	0.10132	1.6894	0.59194	47.453	50.939	189.06	122.44	131.13	252.27	8.2839	1.0417e-05	0.031397	vapor
433.15	0.10132	1.6492	0.60636	48.691	52.262	192.15	124.89	133.55	255.23	7.7262	1.0653e-05	0.032799	vapor
443.15	0.10132	1.6109	0.62076	49.954	53.610	195.22	127.30	135.94	258.14	7.2214	1.0889e-05	0.034232	vapor
453.15	0.10132	1.5745	0.63514	51.241	54.981	198.28	129.68	138.30	261.02	6.7631	1.1124e-05	0.035696	vapor
