Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
134.89	6.6560e-07	734.96	0.0013606	-5.2208	-5.2208	-27.034	83.783	114.67	1826.8	-0.57143	0.0023605	0.17656	0.032387	3.4493e-05	28992.	22.482	23.604	186.65	55.993	64.307	148.87	361.90	3.3418e-06	0.0048545
216.69	0.0063273	657.98	0.0015198	4.4038	4.4044	28.602	87.121	122.26	1344.6	-0.49213	0.00038057	0.14147	0.021704	0.20524	4.8723	27.668	29.460	144.23	71.610	80.161	185.25	69.633	5.3920e-06	0.0096462
228.09	0.012654	646.87	0.0015459	5.8075	5.8087	34.915	88.405	124.20	1281.3	-0.47262	0.00032956	0.13606	0.020278	0.39142	2.5548	28.476	30.355	142.53	74.089	82.798	189.19	59.057	5.6687e-06	0.010480
235.43	0.018981	639.62	0.0015634	6.7239	6.7256	38.869	89.340	125.58	1240.8	-0.45866	0.00030204	0.13259	0.019369	0.57065	1.7524	29.007	30.940	141.72	75.766	84.610	191.51	53.446	5.8453e-06	0.011038
240.98	0.025307	634.08	0.0015771	7.4237	7.4260	41.807	90.100	126.70	1210.3	-0.44734	0.00028346	0.12999	0.018686	0.74552	1.3414	29.413	31.386	141.23	77.075	86.044	193.15	49.716	5.9780e-06	0.011472
245.49	0.031634	629.53	0.0015885	7.9981	8.0010	44.169	90.751	127.65	1185.5	-0.43760	0.00026955	0.12788	0.018133	0.91724	1.0902	29.746	31.751	140.91	78.168	87.254	194.40	46.965	6.0857e-06	0.011832
249.33	0.037961	625.63	0.0015984	8.4897	8.4932	46.156	91.327	128.49	1164.5	-0.42893	0.00025850	0.12609	0.017665	1.0865	0.92037	30.032	32.062	140.68	79.115	88.312	195.40	44.808	6.1768e-06	0.012143
252.69	0.044287	622.20	0.0016072	8.9221	8.9262	47.878	91.846	129.25	1146.2	-0.42106	0.00024937	0.12454	0.017258	1.2538	0.79755	30.283	32.336	140.52	79.957	89.261	196.23	43.047	6.2563e-06	0.012419
255.69	0.050614	619.12	0.0016152	9.3097	9.3145	49.404	92.321	129.95	1129.9	-0.41379	0.00024161	0.12317	0.016897	1.4195	0.70447	30.508	32.580	140.40	80.719	90.125	196.93	41.569	6.3271e-06	0.012669
258.39	0.056941	616.32	0.0016225	9.6623	9.6677	50.776	92.761	130.59	1115.1	-0.40700	0.00023488	0.12193	0.016570	1.5838	0.63140	30.712	32.802	140.31	81.417	90.923	197.52	40.301	6.3910e-06	0.012897
260.87	0.063267	613.74	0.0016294	9.9866	9.9926	52.025	93.171	131.20	1101.6	-0.40061	0.00022895	0.12080	0.016273	1.7469	0.57245	30.900	33.005	140.24	82.063	91.667	198.04	39.194	6.4494e-06	0.013109
263.16	0.069594	611.34	0.0016358	10.288	10.294	53.173	93.557	131.77	1089.2	-0.39454	0.00022365	0.11977	0.015999	1.9089	0.52386	31.075	33.194	140.19	82.666	92.365	198.50	38.216	6.5034e-06	0.013306
265.30	0.075921	609.10	0.0016418	10.569	10.576	54.237	93.922	132.31	1077.7	-0.38875	0.00021888	0.11881	0.015745	2.0700	0.48309	31.237	33.369	140.15	83.233	93.025	198.90	37.342	6.5536e-06	0.013491
267.29	0.082247	606.98	0.0016475	10.833	10.841	55.230	94.268	132.82	1066.9	-0.38321	0.00021453	0.11791	0.015507	2.2303	0.44838	31.390	33.534	140.13	83.768	93.652	199.26	36.554	6.6005e-06	0.013666
269.17	0.088574	604.99	0.0016529	11.083	11.091	56.161	94.597	133.31	1056.7	-0.37787	0.00021055	0.11707	0.015284	2.3898	0.41845	31.534	33.689	140.11	84.275	94.250	199.58	35.838	6.6447e-06	0.013832
270.95	0.094901	603.09	0.0016581	11.320	11.329	57.039	94.913	133.78	1047.1	-0.37271	0.00020687	0.11628	0.015074	2.5486	0.39237	31.671	33.835	140.10	84.758	94.822	199.86	35.183	6.6865e-06	0.013991
