Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	2.1371	0.46791	18.533	20.620	114.48	26.911	35.562	249.21	16.816	1.2735e-05	0.013279	vapor
263.15	0.10132	2.0538	0.48691	18.806	20.977	115.86	27.362	35.972	253.70	15.149	1.3223e-05	0.014006	vapor
273.15	0.10132	1.9768	0.50586	19.083	21.339	117.21	27.815	36.389	258.08	13.721	1.3709e-05	0.014744	vapor
283.15	0.10132	1.9055	0.52478	19.365	21.705	118.53	28.266	36.812	262.36	12.488	1.4193e-05	0.015493	vapor
293.15	0.10132	1.8393	0.54367	19.651	22.075	119.81	28.714	37.235	266.56	11.417	1.4675e-05	0.016251	vapor
303.15	0.10132	1.7777	0.56254	19.941	22.450	121.07	29.156	37.656	270.67	10.479	1.5154e-05	0.017017	vapor
313.15	0.10132	1.7201	0.58138	20.236	22.828	122.30	29.593	38.074	274.71	9.6534	1.5630e-05	0.017790	vapor
323.15	0.10132	1.6661	0.60020	20.535	23.211	123.50	30.021	38.488	278.68	8.9229	1.6104e-05	0.018570	vapor
333.15	0.10132	1.6155	0.61901	20.838	23.598	124.68	30.443	38.896	282.59	8.2731	1.6574e-05	0.019356	vapor
343.15	0.10132	1.5679	0.63780	21.145	23.989	125.84	30.856	39.297	286.43	7.6924	1.7041e-05	0.020147	vapor
353.15	0.10132	1.5230	0.65658	21.456	24.384	126.97	31.261	39.692	290.22	7.1710	1.7506e-05	0.020943	vapor
363.15	0.10132	1.4807	0.67535	21.771	24.783	128.09	31.658	40.080	293.95	6.7010	1.7966e-05	0.021743	vapor
373.15	0.10132	1.4407	0.69411	22.090	25.186	129.18	32.047	40.461	297.63	6.2758	1.8424e-05	0.022547	vapor
383.15	0.10132	1.4028	0.71286	22.413	25.592	130.26	32.428	40.834	301.26	5.8896	1.8878e-05	0.023354	vapor
393.15	0.10132	1.3669	0.73161	22.740	26.002	131.31	32.800	41.200	304.85	5.5377	1.9329e-05	0.024163	vapor
403.15	0.10132	1.3327	0.75035	23.070	26.416	132.35	33.165	41.559	308.39	5.2161	1.9776e-05	0.024974	vapor
413.15	0.10132	1.3003	0.76908	23.404	26.833	133.37	33.522	41.911	311.88	4.9212	2.0219e-05	0.025787	vapor
423.15	0.10132	1.2694	0.78780	23.741	27.254	134.38	33.872	42.256	315.33	4.6501	2.0659e-05	0.026602	vapor
433.15	0.10132	1.2399	0.80652	24.082	27.679	135.37	34.215	42.594	318.74	4.4003	2.1096e-05	0.027418	vapor
443.15	0.10132	1.2118	0.82524	24.426	28.106	136.35	34.550	42.926	322.12	4.1694	2.1529e-05	0.028234	vapor
453.15	0.10132	1.1849	0.84395	24.774	28.537	137.31	34.878	43.250	325.45	3.9555	2.1958e-05	0.029051	vapor
