Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.3498	0.74088	8.9755	11.078	107.25	20.810	29.190	324.34	3.5040	1.5623e-05	0.021602	vapor
263.15	0.10132	1.2982	0.77028	9.1839	11.370	108.38	20.813	29.187	330.70	3.2594	1.6114e-05	0.022350	vapor
273.15	0.10132	1.2505	0.79968	9.3924	11.662	109.47	20.816	29.186	336.94	3.0355	1.6596e-05	0.023089	vapor
283.15	0.10132	1.2062	0.82907	9.6008	11.954	110.52	20.821	29.186	343.06	2.8298	1.7070e-05	0.023818	vapor
293.15	0.10132	1.1649	0.85845	9.8093	12.246	111.53	20.828	29.189	349.07	2.6401	1.7537e-05	0.024539	vapor
303.15	0.10132	1.1264	0.88782	10.018	12.538	112.51	20.836	29.193	354.97	2.4647	1.7997e-05	0.025251	vapor
313.15	0.10132	1.0903	0.91719	10.226	12.830	113.46	20.845	29.200	360.77	2.3018	1.8450e-05	0.025955	vapor
323.15	0.10132	1.0565	0.94655	10.435	13.122	114.38	20.857	29.209	366.46	2.1504	1.8897e-05	0.026652	vapor
333.15	0.10132	1.0247	0.97591	10.644	13.414	115.27	20.871	29.220	372.06	2.0091	1.9338e-05	0.027340	vapor
343.15	0.10132	0.99476	1.0053	10.853	13.706	116.13	20.887	29.234	377.57	1.8771	1.9773e-05	0.028022	vapor
353.15	0.10132	0.96654	1.0346	11.062	13.998	116.97	20.906	29.251	382.99	1.7534	2.0202e-05	0.028697	vapor
363.15	0.10132	0.93988	1.0640	11.271	14.291	117.79	20.927	29.270	388.33	1.6373	2.0625e-05	0.029365	vapor
373.15	0.10132	0.91466	1.0933	11.481	14.584	118.58	20.951	29.292	393.58	1.5282	2.1043e-05	0.030026	vapor
383.15	0.10132	0.89075	1.1226	11.691	14.877	119.36	20.977	29.316	398.75	1.4254	2.1456e-05	0.030681	vapor
393.15	0.10132	0.86807	1.1520	11.901	15.170	120.11	21.006	29.344	403.84	1.3285	2.1864e-05	0.031329	vapor
403.15	0.10132	0.84651	1.1813	12.111	15.464	120.85	21.038	29.374	408.86	1.2370	2.2267e-05	0.031971	vapor
413.15	0.10132	0.82600	1.2107	12.322	15.758	121.57	21.072	29.408	413.81	1.1505	2.2665e-05	0.032608	vapor
423.15	0.10132	0.80646	1.2400	12.533	16.052	122.27	21.110	29.444	418.68	1.0685	2.3059e-05	0.033238	vapor
433.15	0.10132	0.78783	1.2693	12.744	16.347	122.96	21.149	29.483	423.49	0.99089	2.3449e-05	0.033862	vapor
443.15	0.10132	0.77003	1.2986	12.956	16.642	123.64	21.192	29.524	428.23	0.91724	2.3834e-05	0.034480	vapor
453.15	0.10132	0.75303	1.3280	13.168	16.937	124.30	21.237	29.568	432.90	0.84730	2.4215e-05	0.035092	vapor
