Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
68.157	0.015530	849.55	0.0011771	-0.81173	-0.81122	-10.822	35.352	60.430	998.22	-0.36907	undefined	undefined	0.012447	0.77577	1.2890	5.1251	5.6858	84.502	21.089	29.785	167.25	40.808	undefined	undefined
70.081	0.021327	841.77	0.0011880	-0.69577	-0.69506	-9.1443	34.782	60.218	979.72	-0.36536	0.00026598	0.16165	0.012023	1.0391	0.96241	5.1615	5.7364	82.628	21.158	29.955	169.31	38.327	4.6410e-06	0.0058997
71.623	0.027125	835.48	0.0011969	-0.60310	-0.60220	-7.8363	34.350	60.090	964.86	-0.36172	0.00024783	0.15876	0.011685	1.2964	0.77134	5.1902	5.7762	81.220	21.222	30.112	170.89	36.539	4.7505e-06	0.0060460
72.921	0.032922	830.14	0.0012046	-0.52521	-0.52409	-6.7583	34.003	60.009	952.32	-0.35818	0.00023396	0.15634	0.011401	1.5493	0.64544	5.2140	5.8092	80.092	21.280	30.259	172.18	35.154	4.8434e-06	0.0061709
74.050	0.038720	825.47	0.0012114	-0.45758	-0.45627	-5.8380	33.712	59.959	941.41	-0.35473	0.00022285	0.15424	0.011154	1.7986	0.55599	5.2343	5.8373	79.153	21.336	30.400	173.27	34.032	4.9249e-06	0.0062806
75.053	0.044517	821.30	0.0012176	-0.39756	-0.39604	-5.0328	33.461	59.931	931.69	-0.35138	0.00021364	0.15237	0.010936	2.0449	0.48903	5.2522	5.8619	78.348	21.388	30.535	174.21	33.092	4.9978e-06	0.0063792
75.958	0.050315	817.51	0.0012232	-0.34341	-0.34168	-4.3155	33.242	59.917	922.90	-0.34810	0.00020581	0.15070	0.010740	2.2886	0.43695	5.2680	5.8838	77.645	21.439	30.666	175.03	32.286	5.0640e-06	0.0064691
76.785	0.056112	814.03	0.0012284	-0.29395	-0.29202	-3.6677	33.046	59.915	914.86	-0.34490	0.00019905	0.14917	0.010561	2.5301	0.39524	5.2824	5.9036	77.020	21.487	30.793	175.76	31.584	5.1249e-06	0.0065520
77.548	0.061910	810.81	0.0012333	-0.24832	-0.24618	-3.0764	32.870	59.922	907.43	-0.34176	0.00019310	0.14777	0.010396	2.7697	0.36105	5.2954	5.9215	76.458	21.534	30.917	176.42	30.962	5.1814e-06	0.0066292
78.257	0.067707	807.79	0.0012379	-0.20590	-0.20355	-2.5317	32.710	59.936	900.50	-0.33867	0.00018782	0.14646	0.010243	3.0076	0.33249	5.3074	5.9380	75.947	21.580	31.038	177.01	30.405	5.2342e-06	0.0067016
78.921	0.073504	804.96	0.0012423	-0.16620	-0.16364	-2.0264	32.563	59.956	894.01	-0.33565	0.00018307	0.14524	0.010101	3.2440	0.30826	5.3185	5.9532	75.479	21.624	31.156	177.56	29.901	5.2840e-06	0.0067700
79.545	0.079302	802.28	0.0012464	-0.12884	-0.12607	-1.5548	32.427	59.981	887.90	-0.33267	0.00017877	0.14410	0.0099664	3.4790	0.28744	5.3288	5.9673	75.048	21.667	31.272	178.06	29.442	5.3310e-06	0.0068348
80.136	0.085099	799.74	0.0012504	-0.093522	-0.090542	-1.1123	32.300	60.009	882.11	-0.32973	0.00017484	0.14301	0.0098398	3.7127	0.26934	5.3385	5.9805	74.647	21.709	31.387	178.52	29.020	5.3756e-06	0.0068966
80.696	0.090897	797.31	0.0012542	-0.059995	-0.056802	-0.69530	32.182	60.041	876.60	-0.32683	0.00017124	0.14198	0.0097199	3.9454	0.25346	5.3475	5.9928	74.273	21.750	31.499	178.95	28.631	5.4182e-06	0.0069556
81.229	0.096694	794.99	0.0012579	-0.028059	-0.024652	-0.30072	32.072	60.075	871.35	-0.32397	0.00016792	0.14101	0.0096059	4.1769	0.23941	5.3561	6.0045	73.923	21.790	31.610	179.35	28.270	5.4589e-06	0.0070123
81.739	0.10249	792.77	0.0012614	0.0024562	0.0060774	0.073893	31.968	60.112	866.33	-0.32114	0.00016483	0.14007	0.0094971	4.4076	0.22688	5.3641	6.0154	73.593	21.830	31.720	179.73	27.933	5.4980e-06	0.0070669
82.227	0.10829	790.64	0.0012648	0.031692	0.035529	0.43063	31.869	60.151	861.51	-0.31835	0.00016196	0.13918	0.0093932	4.6373	0.21564	5.3718	6.0258	73.282	21.868	31.828	180.08	27.617	5.5356e-06	0.0071195
82.695	0.11409	788.58	0.0012681	0.059771	0.063824	0.77127	31.776	60.192	856.88	-0.31558	0.00015928	0.13832	0.0092935	4.8662	0.20550	5.3790	6.0357	72.987	21.906	31.935	180.41	27.321	5.5718e-06	0.0071704
83.146	0.11988	786.59	0.0012713	0.086797	0.091067	1.0973	31.687	60.234	852.42	-0.31283	0.00015675	0.13750	0.0091977	5.0944	0.19629	5.3859	6.0451	72.706	21.944	32.041	180.72	27.042	5.6068e-06	0.0072197
83.580	0.12568	784.67	0.0012744	0.11286	0.11735	1.4101	31.603	60.278	848.11	-0.31012	0.00015438	0.13670	0.0091055	5.3219	0.18790	5.3925	6.0540	72.439	21.980	32.146	181.01	26.778	5.6407e-06	0.0072676
84.000	0.13148	782.80	0.0012775	0.13804	0.14275	1.7107	31.522	60.323	843.95	-0.30742	0.00015214	0.13593	0.0090166	5.5487	0.18022	5.3988	6.0625	72.185	22.017	32.250	181.29	26.527	5.6735e-06	0.0073141
84.405	0.13728	780.99	0.0012804	0.16241	0.16733	2.0002	31.445	60.370	839.92	-0.30475	0.00015002	0.13519	0.0089307	5.7750	0.17316	5.4049	6.0707	71.941	22.052	32.353	181.56	26.289	5.7054e-06	0.0073594
84.798	0.14307	779.24	0.0012833	0.18602	0.19116	2.2795	31.371	60.417	836.00	-0.30209	0.00014801	0.13448	0.0088476	6.0006	0.16665	5.4106	6.0785	71.707	22.088	32.455	181.81	26.063	5.7363e-06	0.0074036
85.179	0.14887	777.52	0.0012861	0.20893	0.21429	2.5492	31.301	60.465	832.20	-0.29946	0.00014610	0.13378	0.0087672	6.2258	0.16062	5.4162	6.0860	71.483	22.122	32.556	182.05	25.847	5.7665e-06	0.0074468
85.549	0.15467	775.86	0.0012889	0.23119	0.23678	2.8102	31.232	60.515	828.51	-0.29684	0.00014428	0.13310	0.0086891	6.4504	0.15503	5.4216	6.0932	71.267	22.156	32.657	182.27	25.640	5.7959e-06	0.0074889
85.909	0.16047	774.23	0.0012916	0.25285	0.25866	3.0629	31.167	60.565	824.91	-0.29424	0.00014255	0.13245	0.0086133	6.6746	0.14982	5.4267	6.1001	71.059	22.190	32.757	182.49	25.442	5.8246e-06	0.0075302
86.259	0.16626	772.65	0.0012943	0.27394	0.27996	3.3080	31.104	60.615	821.40	-0.29165	0.00014089	0.13181	0.0085397	6.8983	0.14496	5.4317	6.1068	70.858	22.224	32.857	182.70	25.252	5.8526e-06	0.0075706
86.600	0.17206	771.10	0.0012969	0.29449	0.30074	3.5460	31.043	60.667	817.98	-0.28907	0.00013930	0.13119	0.0084680	7.1216	0.14042	5.4365	6.1132	70.665	22.257	32.955	182.89	25.070	5.8800e-06	0.0076102
86.932	0.17786	769.58	0.0012994	0.31454	0.32102	3.7772	30.984	60.719	814.65	-0.28651	0.00013778	0.13058	0.0083982	7.3446	0.13615	5.4411	6.1194	70.477	22.289	33.054	183.08	24.894	5.9067e-06	0.0076491
87.256	0.18366	768.10	0.0013019	0.33412	0.34082	4.0022	30.927	60.771	811.38	-0.28397	0.00013631	0.12999	0.0083301	7.5672	0.13215	5.4455	6.1254	70.296	22.322	33.152	183.26	24.725	5.9330e-06	0.0076873
87.573	0.18945	766.64	0.0013044	0.35326	0.36018	4.2212	30.871	60.824	808.19	-0.28143	0.00013491	0.12941	0.0082637	7.7894	0.12838	5.4499	6.1311	70.120	22.353	33.249	183.44	24.562	5.9586e-06	0.0077248
87.883	0.19525	765.22	0.0013068	0.37197	0.37912	4.4347	30.818	60.878	805.07	-0.27890	0.00013355	0.12885	0.0081989	8.0114	0.12482	5.4541	6.1367	69.949	22.385	33.346	183.60	24.405	5.9838e-06	0.0077617
88.186	0.20105	763.82	0.0013092	0.39029	0.39766	4.6429	30.766	60.932	802.01	-0.27639	0.00013225	0.12830	0.0081356	8.2330	0.12146	5.4581	6.1421	69.783	22.416	33.442	183.76	24.252	6.0086e-06	0.0077980
88.482	0.20685	762.45	0.0013116	0.40822	0.41582	4.8461	30.715	60.986	799.02	-0.27388	0.00013099	0.12776	0.0080736	8.4544	0.11828	5.4620	6.1473	69.622	22.447	33.538	183.92	24.105	6.0328e-06	0.0078338
88.772	0.21264	761.10	0.0013139	0.42580	0.43363	5.0446	30.666	61.041	796.08	-0.27139	0.00012977	0.12723	0.0080130	8.6755	0.11527	5.4659	6.1524	69.465	22.478	33.634	184.06	23.963	6.0567e-06	0.0078690
89.057	0.21844	759.77	0.0013162	0.44304	0.45109	5.2386	30.619	61.096	793.19	-0.26890	0.00012860	0.12671	0.0079537	8.8963	0.11241	5.4696	6.1573	69.313	22.508	33.729	184.20	23.825	6.0801e-06	0.0079037
89.335	0.22424	758.47	0.0013184	0.45994	0.46822	5.4283	30.572	61.152	790.36	-0.26642	0.00012746	0.12620	0.0078957	9.1169	0.10969	5.4732	6.1621	69.164	22.538	33.824	184.34	23.691	6.1031e-06	0.0079379
89.609	0.23004	757.19	0.0013207	0.47654	0.48505	5.6139	30.527	61.208	787.58	-0.26395	0.00012636	0.12571	0.0078387	9.3374	0.10710	5.4767	6.1667	69.019	22.568	33.919	184.47	23.560	6.1258e-06	0.0079717
89.877	0.23583	755.93	0.0013229	0.49284	0.50158	5.7957	30.483	61.264	784.85	-0.26148	0.00012529	0.12522	0.0077829	9.5576	0.10463	5.4801	6.1712	68.878	22.598	34.013	184.60	23.434	6.1481e-06	0.0080051
90.141	0.24163	754.69	0.0013251	0.50886	0.51783	5.9738	30.440	61.321	782.17	-0.25902	0.00012426	0.12474	0.0077282	9.7776	0.10227	5.4834	6.1756	68.739	22.627	34.107	184.72	23.311	6.1701e-06	0.0080381
90.400	0.24743	753.47	0.0013272	0.52460	0.53380	6.1484	30.399	61.378	779.52	-0.25657	0.00012326	0.12427	0.0076744	9.9974	0.10003	5.4866	6.1798	68.604	22.656	34.201	184.84	23.192	6.1918e-06	0.0080706
90.654	0.25323	752.26	0.0013293	0.54008	0.54951	6.3196	30.358	61.435	776.92	-0.25413	0.00012228	0.12381	0.0076216	10.217	0.097875	5.4897	6.1839	68.472	22.685	34.294	184.95	23.075	6.2131e-06	0.0081028
90.904	0.25902	751.07	0.0013314	0.55532	0.56498	6.4876	30.318	61.493	774.37	-0.25169	0.00012133	0.12335	0.0075698	10.437	0.095817	5.4928	6.1879	68.343	22.713	34.388	185.06	22.962	6.2342e-06	0.0081346
91.150	0.26482	749.90	0.0013335	0.57031	0.58020	6.6524	30.279	61.551	771.85	-0.24925	0.00012041	0.12290	0.0075189	10.656	0.093844	5.4957	6.1918	68.217	22.742	34.481	185.16	22.851	6.2549e-06	0.0081661
91.392	0.27062	748.75	0.0013356	0.58507	0.59520	6.8144	30.241	61.609	769.36	-0.24682	0.00011951	0.12246	0.0074688	10.875	0.091952	5.4986	6.1956	68.093	22.770	34.574	185.26	22.743	6.2754e-06	0.0081973
91.631	0.27642	747.61	0.0013376	0.59961	0.60997	6.9734	30.203	61.667	766.92	-0.24439	0.00011864	0.12203	0.0074196	11.094	0.090136	5.5014	6.1993	67.972	22.798	34.666	185.36	22.638	6.2956e-06	0.0082281
91.865	0.28221	746.48	0.0013396	0.61394	0.62453	7.1297	30.167	61.726	764.50	-0.24197	0.00011778	0.12161	0.0073711	11.313	0.088391	5.5042	6.2029	67.853	22.826	34.759	185.45	22.535	6.3156e-06	0.0082587
92.096	0.28801	745.37	0.0013416	0.62806	0.63888	7.2834	30.131	61.785	762.12	-0.23955	0.00011695	0.12119	0.0073235	11.532	0.086714	5.5069	6.2064	67.737	22.853	34.851	185.55	22.435	6.3353e-06	0.0082889
92.324	0.29381	744.27	0.0013436	0.64198	0.65304	7.4346	30.096	61.844	759.78	-0.23714	0.00011614	0.12077	0.0072765	11.751	0.085099	5.5095	6.2098	67.623	22.881	34.943	185.63	22.337	6.3548e-06	0.0083189
92.548	0.29961	743.19	0.0013456	0.65571	0.66701	7.5833	30.062	61.903	757.46	-0.23473	0.00011535	0.12037	0.0072303	11.970	0.083544	5.5121	6.2132	67.511	22.908	35.036	185.72	22.241	6.3740e-06	0.0083486
92.769	0.30540	742.11	0.0013475	0.66926	0.68079	7.7297	30.029	61.962	755.18	-0.23232	0.00011458	0.11996	0.0071848	12.188	0.082045	5.5146	6.2164	67.401	22.935	35.127	185.80	22.147	6.3931e-06	0.0083781
92.987	0.31120	741.05	0.0013494	0.68263	0.69439	7.8738	29.996	62.022	752.92	-0.22991	0.00011383	0.11957	0.0071399	12.407	0.080600	5.5170	6.2196	67.292	22.962	35.219	185.88	22.055	6.4119e-06	0.0084073
93.203	0.31700	740.01	0.0013513	0.69582	0.70782	8.0157	29.964	62.082	750.69	-0.22751	0.00011309	0.11918	0.0070957	12.625	0.079205	5.5194	6.2227	67.186	22.988	35.311	185.96	21.965	6.4305e-06	0.0084363
93.415	0.32279	738.97	0.0013532	0.70885	0.72108	8.1555	29.932	62.142	748.49	-0.22511	0.00011237	0.11879	0.0070522	12.844	0.077858	5.5217	6.2257	67.082	23.015	35.403	186.03	21.877	6.4489e-06	0.0084650
