Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
293.15	0.10132	778.68	0.0012842	-10.129	-10.118	-31.294	111.82	154.48	1280.4	-0.45208	0.00097251	0.11968	liquid
303.15	0.10132	769.23	0.0013000	-8.5642	-8.5531	-26.047	115.47	158.42	1231.3	-0.43220	0.00081983	0.11670	liquid
313.15	0.10132	759.68	0.0013163	-6.9602	-6.9490	-20.841	119.16	162.41	1183.0	-0.41209	0.00070111	0.11400	liquid
323.15	0.10132	750.02	0.0013333	-5.3162	-5.3048	-15.673	122.89	166.43	1135.4	-0.39168	0.00060689	0.11153	liquid
333.15	0.10132	740.23	0.0013509	-3.6317	-3.6202	-10.540	126.67	170.49	1088.6	-0.37084	0.00053057	0.10927	liquid
343.15	0.10132	730.29	0.0013693	-1.9064	-1.8947	-5.4368	130.48	174.60	1042.6	-0.34941	0.00046760	0.10719	liquid
353.15	0.10132	720.19	0.0013885	-0.13976	-0.12792	-0.36186	134.34	178.77	997.27	-0.32718	0.00041482	0.10529	liquid
353.86	0.10133	719.46	0.0013899	-0.011853	-3.2685e-16	0.0000	134.62	179.07	994.06	-0.32555	0.00041137	0.10516	liquid
353.86	0.10133	3.0111	0.33210	27.159	29.991	84.753	123.43	133.36	186.91	28.552	8.1033e-06	0.016581	vapor
363.15	0.10132	2.9243	0.34196	28.331	31.247	88.256	127.35	137.12	189.69	25.872	8.3006e-06	0.017588	vapor
373.15	0.10132	2.8369	0.35250	29.633	32.639	92.036	131.56	141.19	192.60	23.347	8.5134e-06	0.018703	vapor
383.15	0.10132	2.7552	0.36296	30.976	34.071	95.823	135.76	145.26	195.44	21.140	8.7264e-06	0.019849	vapor
393.15	0.10132	2.6785	0.37335	32.360	35.544	99.618	139.94	149.32	198.21	19.202	8.9394e-06	0.021026	vapor
403.15	0.10132	2.6063	0.38368	33.785	37.057	103.42	144.09	153.38	200.92	17.495	9.1522e-06	0.022231	vapor
413.15	0.10132	2.5383	0.39397	35.252	38.611	107.23	148.21	157.41	203.57	15.986	9.3648e-06	0.023465	vapor
423.15	0.10132	2.4740	0.40420	36.759	40.205	111.04	152.30	161.43	206.18	14.648	9.5769e-06	0.024726	vapor
433.15	0.10132	2.4131	0.41440	38.306	41.840	114.86	156.36	165.42	208.74	13.458	9.7886e-06	0.026013	vapor
443.15	0.10132	2.3554	0.42456	39.893	43.514	118.68	160.38	169.38	211.25	12.397	9.9997e-06	0.027326	vapor
453.15	0.10132	2.3005	0.43469	41.520	45.227	122.50	164.36	173.30	213.73	11.449	1.0210e-05	0.028661	vapor
