Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
279.86	0.0053487	791.02	0.0012642	-12.144	-12.143	-38.328	107.03	149.32	1346.4	-0.47811	0.0012505	0.12406	0.026645	0.19427	5.1475	19.536	21.854	83.149	90.015	98.497	173.20	62.708	6.6626e-06	0.0093313
296.61	0.012141	775.34	0.0012898	-9.5881	-9.5868	-29.462	113.08	155.85	1262.8	-0.44506	0.00091398	0.11858	0.024602	0.41759	2.3947	21.082	23.528	82.184	97.518	106.15	177.19	51.120	6.9797e-06	0.010773
306.74	0.018933	765.74	0.0013059	-7.9895	-7.9874	-24.162	116.79	159.86	1213.3	-0.42484	0.00077302	0.11567	0.023384	0.63169	1.5831	22.069	24.592	82.049	102.07	110.83	179.39	45.516	7.1748e-06	0.011699
314.23	0.025724	758.58	0.0013183	-6.7819	-6.7790	-20.273	119.56	162.85	1177.3	-0.40973	0.00068924	0.11369	0.022492	0.84025	1.1901	22.825	25.401	82.138	105.44	114.32	180.91	41.925	7.3202e-06	0.012411
320.25	0.032516	752.77	0.0013284	-5.7941	-5.7905	-17.159	121.80	165.27	1148.7	-0.39746	0.00063156	0.11219	0.021780	1.0449	0.95704	23.447	26.066	82.316	108.16	117.15	182.05	39.329	7.4378e-06	0.013000
325.33	0.039308	747.83	0.0013372	-4.9494	-4.9450	-14.542	123.71	167.33	1124.7	-0.38701	0.00058842	0.11099	0.021182	1.2465	0.80223	23.983	26.637	82.534	110.46	119.55	182.95	37.322	7.5373e-06	0.013510
329.75	0.046100	743.51	0.0013450	-4.2062	-4.2010	-12.273	125.38	169.12	1104.0	-0.37782	0.00055442	0.10999	0.020666	1.4458	0.69168	24.457	27.140	82.772	112.46	121.65	183.70	35.700	7.6242e-06	0.013962
333.68	0.052892	739.65	0.0013520	-3.5392	-3.5332	-10.262	126.87	170.72	1085.8	-0.36957	0.00052660	0.10913	0.020209	1.6430	0.60865	24.883	27.592	83.018	114.24	123.53	184.32	34.349	7.7015e-06	0.014371
337.22	0.059684	736.15	0.0013584	-2.9318	-2.9250	-8.4513	128.22	172.17	1069.4	-0.36206	0.00050324	0.10838	0.019798	1.8385	0.54391	25.273	28.005	83.268	115.85	125.24	184.85	33.198	7.7716e-06	0.014746
340.46	0.066476	732.93	0.0013644	-2.3725	-2.3648	-6.8004	129.45	173.50	1054.6	-0.35512	0.00048319	0.10772	0.019425	2.0326	0.49198	25.633	28.385	83.518	117.32	126.80	185.31	32.200	7.8357e-06	0.015093
343.45	0.073268	729.96	0.0013699	-1.8528	-1.8443	-5.2805	130.60	174.73	1041.0	-0.34866	0.00046571	0.10712	0.019081	2.2254	0.44936	25.968	28.738	83.766	118.68	128.25	185.71	31.321	7.8950e-06	0.015418
346.22	0.080060	727.17	0.0013752	-1.3665	-1.3572	-3.8702	131.66	175.88	1028.4	-0.34259	0.00045027	0.10658	0.018764	2.4171	0.41372	26.282	29.069	84.010	119.95	129.60	186.06	30.540	7.9503e-06	0.015723
348.82	0.086852	724.56	0.0013801	-0.90870	-0.89861	-2.5529	132.66	176.96	1016.7	-0.33686	0.00043649	0.10609	0.018467	2.6077	0.38347	26.578	29.381	84.252	121.13	130.87	186.37	29.838	8.0022e-06	0.016012
351.26	0.093644	722.10	0.0013849	-0.47566	-0.46474	-1.3156	133.61	177.98	1005.7	-0.33141	0.00042406	0.10563	0.018190	2.7975	0.35746	26.858	29.676	84.490	122.24	132.08	186.64	29.203	8.0511e-06	0.016286
353.57	0.10044	719.76	0.0013894	-0.064262	-0.052518	-0.14818	134.50	178.95	995.37	-0.32621	0.00041277	0.10521	0.017928	2.9865	0.33484	27.125	29.956	84.723	123.30	133.21	186.88	28.624	8.0974e-06	0.016548
355.76	0.10723	717.53	0.0013937	0.32800	0.34058	0.95793	135.35	179.87	985.61	-0.32123	0.00040246	0.10482	0.017681	3.1747	0.31499	27.380	30.223	84.953	124.30	134.30	187.10	28.093	8.1415e-06	0.016799
357.84	0.11402	715.41	0.0013978	0.70321	0.71662	2.0096	136.16	180.75	976.37	-0.31645	0.00039297	0.10445	0.017446	3.3622	0.29742	27.624	30.478	85.178	125.25	135.33	187.30	27.603	8.1836e-06	0.017039
359.83	0.12081	713.37	0.0014018	1.0631	1.0774	3.0127	136.94	181.59	967.57	-0.31183	0.00038420	0.10410	0.017222	3.5492	0.28176	27.858	30.723	85.400	126.16	136.33	187.47	27.150	8.2239e-06	0.017271
361.74	0.12760	711.41	0.0014057	1.4092	1.4243	3.9720	137.68	182.40	959.18	-0.30737	0.00037606	0.10378	0.017009	3.7355	0.26770	28.084	30.958	85.617	127.03	137.28	187.62	26.729	8.2626e-06	0.017494
363.56	0.13440	709.53	0.0014094	1.7427	1.7586	4.8918	138.40	183.18	951.16	-0.30304	0.00036847	0.10347	0.016804	3.9214	0.25501	28.301	31.185	85.831	127.87	138.20	187.76	26.335	8.2999e-06	0.017711
365.32	0.14119	707.71	0.0014130	2.0647	2.0815	5.7755	139.09	183.93	943.47	-0.29884	0.00036137	0.10317	0.016608	4.1068	0.24350	28.511	31.404	86.041	128.67	139.08	187.89	25.967	8.3359e-06	0.017920
367.01	0.14798	705.95	0.0014165	2.3762	2.3939	6.6263	139.75	184.66	936.08	-0.29476	0.00035471	0.10289	0.016420	4.2917	0.23301	28.714	31.616	86.247	129.45	139.94	188.00	25.622	8.3707e-06	0.018123
368.65	0.15477	704.25	0.0014199	2.6780	2.6965	7.4470	140.39	185.36	928.98	-0.29077	0.00034844	0.10263	0.016239	4.4763	0.22340	28.911	31.821	86.450	130.20	140.77	188.10	25.297	8.4044e-06	0.018321
370.23	0.16156	702.61	0.0014233	2.9709	2.9902	8.2398	141.01	186.05	922.12	-0.28688	0.00034253	0.10237	0.016064	4.6605	0.21457	29.102	32.020	86.650	130.92	141.57	188.18	24.990	8.4372e-06	0.018513
371.76	0.16835	701.00	0.0014265	3.2554	3.2756	9.0068	141.62	186.71	915.51	-0.28308	0.00033694	0.10213	0.015895	4.8443	0.20643	29.288	32.213	86.846	131.63	142.35	188.26	24.699	8.4690e-06	0.018700
373.24	0.17515	699.45	0.0014297	3.5322	3.5533	9.7500	142.20	187.36	909.11	-0.27936	0.00033163	0.10190	0.015731	5.0278	0.19889	29.469	32.401	87.040	132.31	143.11	188.33	24.424	8.4999e-06	0.018882
374.68	0.18194	697.93	0.0014328	3.8018	3.8237	10.471	142.77	187.98	902.92	-0.27571	0.00032659	0.10167	0.015573	5.2110	0.19190	29.645	32.584	87.230	132.97	143.85	188.38	24.163	8.5301e-06	0.019060
376.08	0.18873	696.46	0.0014358	4.0646	4.0874	11.171	143.32	188.60	896.91	-0.27213	0.00032180	0.10146	0.015419	5.3940	0.18539	29.817	32.762	87.417	133.61	144.57	188.43	23.914	8.5595e-06	0.019235
377.44	0.19552	695.02	0.0014388	4.3210	4.3447	11.852	143.86	189.20	891.08	-0.26861	0.00031723	0.10125	0.015270	5.5767	0.17932	29.985	32.935	87.602	134.24	145.27	188.47	23.678	8.5883e-06	0.019405
378.76	0.20231	693.61	0.0014417	4.5716	4.5961	12.515	144.39	189.78	885.42	-0.26515	0.00031286	0.10105	0.015125	5.7591	0.17364	30.149	33.105	87.784	134.85	145.96	188.51	23.452	8.6164e-06	0.019572
380.05	0.20911	692.23	0.0014446	4.8164	4.8419	13.160	144.90	190.35	879.91	-0.26175	0.00030868	0.10085	0.014984	5.9413	0.16831	30.309	33.271	87.963	135.44	146.63	188.54	23.236	8.6439e-06	0.019735
381.31	0.21590	690.89	0.0014474	5.0560	5.0823	13.790	145.40	190.92	874.55	-0.25840	0.00030469	0.10066	0.014847	6.1234	0.16331	30.466	33.433	88.139	136.02	147.29	188.56	23.029	8.6709e-06	0.019896
382.54	0.22269	689.57	0.0014502	5.2906	5.3178	14.404	145.89	191.46	869.33	-0.25509	0.00030085	0.10048	0.014713	6.3052	0.15860	30.619	33.591	88.314	136.59	147.93	188.57	22.832	8.6973e-06	0.020053
383.74	0.22948	688.28	0.0014529	5.5204	5.5485	15.004	146.36	192.00	864.23	-0.25184	0.00029717	0.10030	0.014583	6.4869	0.15416	30.769	33.747	88.486	137.14	148.56	188.58	22.642	8.7233e-06	0.020207
384.92	0.23627	687.02	0.0014556	5.7457	5.7747	15.590	146.83	192.53	859.26	-0.24862	0.00029363	0.10013	0.014456	6.6684	0.14996	30.917	33.899	88.655	137.68	149.18	188.59	22.460	8.7487e-06	0.020359
386.07	0.24307	685.78	0.0014582	5.9667	5.9966	16.164	147.29	193.05	854.41	-0.24544	0.00029022	0.099966	0.014331	6.8498	0.14599	31.061	34.048	88.822	138.22	149.78	188.59	22.284	8.7738e-06	0.020508
387.19	0.24986	684.57	0.0014608	6.1837	6.2144	16.725	147.74	193.56	849.66	-0.24230	0.00028694	0.099803	0.014210	7.0310	0.14223	31.203	34.194	88.988	138.73	150.38	188.58	22.116	8.7984e-06	0.020655
388.30	0.25665	683.37	0.0014633	6.3967	6.4283	17.275	148.18	194.06	845.02	-0.23920	0.00028378	0.099645	0.014091	7.2121	0.13866	31.343	34.338	89.151	139.24	150.96	188.58	21.954	8.8227e-06	0.020799
389.38	0.26344	682.20	0.0014659	6.6060	6.6385	17.813	148.61	194.55	840.48	-0.23613	0.00028072	0.099491	0.013975	7.3931	0.13526	31.480	34.478	89.312	139.74	151.54	188.56	21.797	8.8465e-06	0.020941
390.44	0.27023	681.04	0.0014683	6.8118	6.8452	18.341	149.03	195.03	836.03	-0.23309	0.00027777	0.099341	0.013861	7.5740	0.13203	31.614	34.617	89.471	140.23	152.10	188.55	21.647	8.8701e-06	0.021081
391.48	0.27703	679.91	0.0014708	7.0141	7.0484	18.859	149.45	195.51	831.68	-0.23008	0.00027492	0.099194	0.013750	7.7548	0.12895	31.746	34.753	89.628	140.71	152.66	188.52	21.501	8.8933e-06	0.021219
392.50	0.28382	678.79	0.0014732	7.2133	7.2485	19.367	149.86	195.98	827.41	-0.22709	0.00027216	0.099051	0.013641	7.9355	0.12602	31.877	34.887	89.784	141.18	153.20	188.50	21.360	8.9161e-06	0.021355
393.50	0.29061	677.69	0.0014756	7.4093	7.4453	19.866	150.26	196.44	823.22	-0.22414	0.00026948	0.098911	0.013533	8.1162	0.12321	32.005	35.018	89.937	141.65	153.74	188.47	21.224	8.9387e-06	0.021489
394.48	0.29740	676.61	0.0014780	7.6023	7.6392	20.356	150.65	196.90	819.11	-0.22120	0.00026689	0.098775	0.013428	8.2967	0.12053	32.131	35.148	90.089	142.10	154.27	188.44	21.093	8.9610e-06	0.021621
395.45	0.30419	675.54	0.0014803	7.7924	7.8303	20.837	151.04	197.35	815.08	-0.21830	0.00026438	0.098641	0.013325	8.4773	0.11796	32.255	35.275	90.239	142.55	154.80	188.41	20.966	8.9830e-06	0.021751
396.40	0.31099	674.49	0.0014826	7.9797	8.0185	21.311	151.42	197.79	811.12	-0.21541	0.00026194	0.098510	0.013224	8.6577	0.11550	32.378	35.401	90.388	142.99	155.31	188.37	20.842	9.0047e-06	0.021880
397.34	0.31778	673.46	0.0014849	8.1644	8.2041	21.776	151.79	198.23	807.23	-0.21254	0.00025957	0.098382	0.013125	8.8382	0.11315	32.498	35.524	90.534	143.42	155.82	188.33	20.723	9.0262e-06	0.022007
398.26	0.32457	672.43	0.0014871	8.3465	8.3871	22.234	152.16	198.66	803.40	-0.20970	0.00025727	0.098256	0.013027	9.0185	0.11088	32.617	35.646	90.680	143.85	156.32	188.28	20.607	9.0475e-06	0.022133
399.16	0.33136	671.43	0.0014894	8.5262	8.5677	22.685	152.53	199.09	799.64	-0.20687	0.00025503	0.098133	0.012931	9.1989	0.10871	32.735	35.766	90.824	144.27	156.82	188.24	20.495	9.0685e-06	0.022257
400.06	0.33815	670.43	0.0014916	8.7034	8.7459	23.129	152.89	199.51	795.94	-0.20407	0.00025286	0.098013	0.012837	9.3792	0.10662	32.850	35.885	90.966	144.68	157.31	188.19	20.386	9.0893e-06	0.022380
400.94	0.34494	669.45	0.0014938	8.8784	8.9217	23.566	153.24	199.93	792.30	-0.20127	0.00025074	0.097894	0.012744	9.5595	0.10461	32.965	36.001	91.107	145.09	157.79	188.14	20.280	9.1099e-06	0.022501
401.80	0.35174	668.48	0.0014959	9.0511	9.0954	23.996	153.59	200.34	788.72	-0.19850	0.00024868	0.097778	0.012653	9.7399	0.10267	33.077	36.117	91.246	145.49	158.27	188.09	20.177	9.1303e-06	0.022621
402.66	0.35853	667.52	0.0014981	9.2217	9.2669	24.420	153.93	200.75	785.19	-0.19574	0.00024667	0.097664	0.012563	9.9202	0.10080	33.189	36.230	91.384	145.88	158.74	188.03	20.077	9.1505e-06	0.022739
403.50	0.36532	666.57	0.0015002	9.3902	9.4363	24.838	154.27	201.15	781.71	-0.19299	0.00024471	0.097551	0.012475	10.100	0.099005	33.298	36.342	91.521	146.27	159.20	187.97	19.980	9.1705e-06	0.022857
404.33	0.37211	665.63	0.0015023	9.5566	9.6037	25.251	154.60	201.55	778.29	-0.19026	0.00024280	0.097441	0.012388	10.281	0.097269	33.407	36.453	91.656	146.66	159.66	187.91	19.885	9.1903e-06	0.022973
405.15	0.37890	664.71	0.0015044	9.7211	9.7691	25.657	154.93	201.94	774.91	-0.18754	0.00024094	0.097332	0.012302	10.461	0.095592	33.514	36.562	91.790	147.04	160.12	187.85	19.793	9.2100e-06	0.023088
405.95	0.38570	663.79	0.0015065	9.8838	9.9327	26.059	155.26	202.33	771.58	-0.18484	0.00023912	0.097226	0.012217	10.641	0.093973	33.620	36.671	91.923	147.41	160.57	187.79	19.703	9.2295e-06	0.023201
406.75	0.39249	662.89	0.0015086	10.045	10.094	26.454	155.58	202.72	768.30	-0.18214	0.00023735	0.097121	0.012134	10.822	0.092406	33.725	36.777	92.054	147.78	161.02	187.72	19.616	9.2489e-06	0.023314
407.54	0.39928	661.99	0.0015106	10.204	10.254	26.845	155.89	203.10	765.07	-0.17946	0.00023561	0.097017	0.012052	11.002	0.090891	33.828	36.883	92.185	148.15	161.46	187.65	19.531	9.2680e-06	0.023425
408.32	0.40607	661.11	0.0015126	10.361	10.412	27.231	156.21	203.48	761.87	-0.17678	0.00023392	0.096916	0.011971	11.183	0.089425	33.931	36.987	92.314	148.51	161.89	187.58	19.448	9.2871e-06	0.023536
409.08	0.41286	660.23	0.0015146	10.516	10.569	27.612	156.52	203.85	758.72	-0.17412	0.00023226	0.096815	0.011891	11.363	0.088005	34.032	37.090	92.442	148.87	162.33	187.51	19.367	9.3060e-06	0.023645
409.84	0.41966	659.36	0.0015166	10.670	10.724	27.988	156.82	204.23	755.61	-0.17147	0.00023064	0.096717	0.011813	11.543	0.086629	34.132	37.192	92.569	149.22	162.75	187.44	19.288	9.3248e-06	0.023754
410.59	0.42645	658.50	0.0015186	10.823	10.877	28.359	157.12	204.60	752.54	-0.16882	0.00022906	0.096619	0.011735	11.724	0.085295	34.231	37.293	92.694	149.57	163.18	187.37	19.211	9.3434e-06	0.023861
411.33	0.43324	657.65	0.0015206	10.974	11.029	28.727	157.42	204.96	749.51	-0.16618	0.00022751	0.096523	0.011658	11.905	0.084002	34.329	37.392	92.819	149.91	163.60	187.29	19.136	9.3619e-06	0.023968
412.06	0.44003	656.81	0.0015225	11.123	11.179	29.089	157.72	205.32	746.51	-0.16355	0.00022599	0.096428	0.011583	12.085	0.082746	34.426	37.491	92.943	150.25	164.02	187.21	19.063	9.3803e-06	0.024073
412.78	0.44682	655.97	0.0015245	11.271	11.328	29.448	158.01	205.68	743.55	-0.16093	0.00022450	0.096335	0.011508	12.266	0.081527	34.522	37.588	93.065	150.58	164.43	187.13	18.992	9.3986e-06	0.024178
413.50	0.45362	655.14	0.0015264	11.417	11.475	29.803	158.30	206.04	740.62	-0.15832	0.00022304	0.096243	0.011434	12.447	0.080343	34.617	37.685	93.187	150.92	164.84	187.05	18.922	9.4167e-06	0.024282
414.21	0.46041	654.32	0.0015283	11.562	11.621	30.153	158.58	206.39	737.73	-0.15571	0.00022162	0.096152	0.011362	12.627	0.079193	34.712	37.780	93.307	151.25	165.25	186.97	18.854	9.4348e-06	0.024385
414.90	0.46720	653.51	0.0015302	11.706	11.766	30.500	158.86	206.74	734.87	-0.15311	0.00022022	0.096062	0.011290	12.808	0.078075	34.805	37.875	93.427	151.57	165.65	186.89	18.787	9.4527e-06	0.024487
415.60	0.47399	652.70	0.0015321	11.848	11.909	30.843	159.14	207.09	732.05	-0.15051	0.00021885	0.095973	0.011219	12.989	0.076987	34.897	37.968	93.546	151.89	166.05	186.80	18.722	9.4706e-06	0.024589
416.28	0.48078	651.90	0.0015340	11.989	12.051	31.182	159.42	207.44	729.25	-0.14792	0.00021750	0.095886	0.011148	13.170	0.075929	34.989	38.061	93.663	152.21	166.44	186.72	18.659	9.4883e-06	0.024689
416.96	0.48757	651.11	0.0015358	12.129	12.192	31.518	159.69	207.78	726.49	-0.14533	0.00021618	0.095799	0.011079	13.351	0.074900	35.079	38.153	93.780	152.53	166.84	186.63	18.596	9.5060e-06	0.024789
417.63	0.49437	650.33	0.0015377	12.268	12.332	31.850	159.96	208.12	723.75	-0.14275	0.00021488	0.095714	0.011010	13.532	0.073897	35.169	38.243	93.896	152.84	167.23	186.54	18.536	9.5235e-06	0.024888
418.29	0.50116	649.55	0.0015395	12.405	12.470	32.179	160.23	208.46	721.05	-0.14017	0.00021361	0.095629	0.010943	13.714	0.072920	35.258	38.333	94.011	153.15	167.61	186.45	18.476	9.5410e-06	0.024987
418.95	0.50795	648.77	0.0015414	12.541	12.607	32.505	160.49	208.79	718.37	-0.13760	0.00021237	0.095546	0.010876	13.895	0.071969	35.346	38.423	94.125	153.45	168.00	186.36	18.418	9.5583e-06	0.025084
419.60	0.51474	648.00	0.0015432	12.676	12.743	32.827	160.76	209.12	715.72	-0.13503	0.00021114	0.095463	0.010809	14.076	0.071041	35.433	38.511	94.238	153.75	168.38	186.27	18.361	9.5756e-06	0.025181
420.24	0.52153	647.24	0.0015450	12.810	12.878	33.146	161.01	209.45	713.09	-0.13246	0.00020994	0.095382	0.010744	14.258	0.070137	35.520	38.598	94.350	154.05	168.76	186.18	18.305	9.5928e-06	0.025278
420.88	0.52833	646.49	0.0015468	12.943	13.012	33.463	161.27	209.78	710.49	-0.12990	0.00020875	0.095301	0.010679	14.439	0.069255	35.606	38.685	94.462	154.35	169.14	186.09	18.251	9.6100e-06	0.025373
421.51	0.53512	645.74	0.0015486	13.075	13.145	33.776	161.53	210.11	707.92	-0.12734	0.00020759	0.095221	0.010615	14.621	0.068395	35.691	38.771	94.573	154.64	169.51	185.99	18.197	9.6270e-06	0.025468
422.14	0.54191	644.99	0.0015504	13.206	13.276	34.086	161.78	210.43	705.37	-0.12478	0.00020645	0.095142	0.010551	14.803	0.067555	35.775	38.856	94.682	154.94	169.88	185.89	18.145	9.6440e-06	0.025563
422.75	0.54870	644.25	0.0015522	13.335	13.407	34.393	162.03	210.76	702.85	-0.12223	0.00020532	0.095063	0.010489	14.985	0.066735	35.859	38.941	94.792	155.23	170.25	185.80	18.094	9.6609e-06	0.025656
423.37	0.55549	643.52	0.0015540	13.464	13.537	34.698	162.28	211.08	700.35	-0.11967	0.00020422	0.094986	0.010426	15.167	0.065934	35.942	39.025	94.900	155.51	170.62	185.70	18.044	9.6778e-06	0.025750
