Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	761.66	0.0013129	-66.475	-66.456	-191.89	228.59	290.30	1424.5	-0.47481	0.0019214	0.14148	liquid
263.15	0.10132	753.79	0.0013266	-63.551	-63.532	-180.56	233.60	294.70	1379.8	-0.46523	0.0015467	0.13877	liquid
273.15	0.10132	745.97	0.0013405	-60.581	-60.561	-169.48	238.77	299.36	1336.5	-0.45509	0.0012747	0.13609	liquid
283.15	0.10132	738.18	0.0013547	-57.563	-57.544	-158.63	244.09	304.25	1294.4	-0.44445	0.0010706	0.13343	liquid
293.15	0.10132	730.41	0.0013691	-54.496	-54.476	-147.98	249.54	309.34	1253.4	-0.43337	0.00091350	0.13080	liquid
303.15	0.10132	722.64	0.0013838	-51.376	-51.356	-137.52	255.08	314.61	1213.5	-0.42186	0.00078981	0.12820	liquid
313.15	0.10132	714.87	0.0013989	-48.203	-48.183	-127.22	260.72	320.03	1174.5	-0.40995	0.00069060	0.12563	liquid
323.15	0.10132	707.08	0.0014143	-44.976	-44.955	-117.07	266.41	325.58	1136.3	-0.39765	0.00060971	0.12310	liquid
333.15	0.10132	699.26	0.0014301	-41.692	-41.671	-107.07	272.16	331.24	1098.9	-0.38494	0.00054282	0.12060	liquid
343.15	0.10132	691.40	0.0014463	-38.351	-38.330	-97.185	277.95	336.99	1062.2	-0.37179	0.00048678	0.11813	liquid
353.15	0.10132	683.49	0.0014631	-34.952	-34.931	-87.422	283.75	342.82	1026.1	-0.35817	0.00043929	0.11570	liquid
363.15	0.10132	675.52	0.0014803	-31.495	-31.474	-77.767	289.56	348.72	990.58	-0.34400	0.00039863	0.11331	liquid
373.15	0.10132	667.47	0.0014982	-27.978	-27.957	-68.214	295.37	354.67	955.51	-0.32922	0.00036349	0.11096	liquid
383.15	0.10132	659.34	0.0015167	-24.402	-24.380	-58.756	301.17	360.66	920.84	-0.31371	0.00033283	0.10864	liquid
393.15	0.10132	651.10	0.0015359	-20.765	-20.743	-49.386	306.94	366.70	886.52	-0.29735	0.00030588	0.10638	liquid
403.15	0.10132	642.74	0.0015559	-17.068	-17.046	-40.100	312.68	372.78	852.47	-0.27997	0.00028201	0.10416	liquid
413.15	0.10132	634.24	0.0015767	-13.310	-13.288	-30.891	318.39	378.89	818.62	-0.26138	0.00026070	0.10199	liquid
423.15	0.10132	625.58	0.0015985	-9.4910	-9.4680	-21.757	324.05	385.04	784.91	-0.24131	0.00024157	0.099862	liquid
433.15	0.10132	616.74	0.0016214	-5.6100	-5.5867	-12.691	329.66	391.24	751.26	-0.21947	0.00022427	0.097785	liquid
443.15	0.10132	607.69	0.0016456	-1.6668	-1.6431	-3.6906	335.23	397.49	717.59	-0.19543	0.00020853	0.095757	liquid
447.27	0.10132	603.89	0.0016559	-0.023873	5.7803e-15	0.0000	337.51	400.08	703.69	-0.18477	0.00020245	0.094935	liquid
447.27	0.10132	4.1404	0.24152	35.844	39.326	87.924	321.67	333.70	153.83	29.598	7.7115e-06	0.021247	vapor
453.15	0.10132	4.0719	0.24559	37.756	41.297	92.302	324.91	336.69	155.36	27.951	7.8150e-06	0.021849	vapor
