Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
243.50	1.4040e-06	769.23	0.0013000	-69.253	-69.253	-203.07	223.93	286.34	1468.5	-0.48339	0.0024337	0.14409	0.028670	9.8671e-05	10135.	-15.411	-13.386	26.360	192.10	200.42	121.84	320.15	4.3408e-06	0.0064787
349.89	0.0035064	685.96	0.0014578	-36.057	-36.057	-90.566	281.85	340.94	1037.0	-0.36243	0.00045337	0.11644	0.018621	0.17245	5.7988	8.3904	11.283	44.733	258.16	266.76	144.54	71.256	6.1401e-06	0.012800
365.54	0.0070114	673.49	0.0014848	-30.652	-30.651	-75.454	290.94	350.16	981.34	-0.34025	0.00038931	0.11269	0.017230	0.33133	3.0181	12.466	15.476	50.736	268.42	277.22	147.14	59.909	6.3982e-06	0.014024
375.54	0.010516	665.42	0.0015028	-27.121	-27.119	-65.925	296.75	356.13	946.37	-0.32527	0.00035536	0.11035	0.016354	0.48533	2.0605	15.143	18.226	54.823	274.98	283.95	148.63	53.959	6.5617e-06	0.014839
383.06	0.014021	659.29	0.0015168	-24.425	-24.422	-58.817	301.11	360.64	920.32	-0.31352	0.00033270	0.10862	0.015701	0.63627	1.5716	17.194	20.330	58.011	279.91	289.04	149.65	50.037	6.6840e-06	0.015466
389.16	0.017526	654.27	0.0015284	-22.214	-22.210	-53.090	304.63	364.32	899.35	-0.30363	0.00031586	0.10723	0.015177	0.78504	1.2738	18.880	22.056	60.659	283.91	293.19	150.42	47.165	6.7828e-06	0.015984
394.33	0.021031	649.99	0.0015385	-20.323	-20.318	-48.263	307.61	367.45	881.67	-0.29499	0.00030257	0.10607	0.014735	0.93214	1.0728	20.323	23.534	62.944	287.30	296.72	151.02	44.926	6.8661e-06	0.016429
398.84	0.024536	646.23	0.0015474	-18.661	-18.656	-44.072	310.20	370.19	866.33	-0.28722	0.00029164	0.10506	0.014353	1.0779	0.92773	21.593	24.832	64.964	290.25	299.80	151.50	43.109	6.9386e-06	0.016821
402.85	0.028041	642.87	0.0015555	-17.173	-17.166	-40.359	312.50	372.63	852.72	-0.28013	0.00028239	0.10418	0.014015	1.2226	0.81796	22.731	25.995	66.781	292.87	302.55	151.89	41.591	7.0028e-06	0.017173
406.47	0.031546	639.81	0.0015630	-15.820	-15.813	-37.016	314.57	374.84	840.47	-0.27356	0.00027440	0.10339	0.013711	1.3663	0.73191	23.766	27.051	68.439	295.23	305.04	152.22	40.294	7.0608e-06	0.017494
