Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
293.15	0.10132	749.44	0.0013343	-85.791	-85.768	-221.10	306.32	374.12	1301.2	-0.43126	0.0014885	0.13651	liquid
303.15	0.10132	742.03	0.0013477	-82.023	-81.999	-208.46	312.49	379.62	1260.9	-0.42200	0.0012462	0.13411	liquid
313.15	0.10132	734.64	0.0013612	-78.198	-78.175	-196.05	318.80	385.38	1221.9	-0.41224	0.0010610	0.13176	liquid
323.15	0.10132	727.26	0.0013750	-74.315	-74.291	-183.84	325.23	391.36	1183.8	-0.40203	0.00091601	0.12946	liquid
333.15	0.10132	719.86	0.0013892	-70.371	-70.347	-171.82	331.75	397.54	1146.6	-0.39138	0.00080022	0.12720	liquid
343.15	0.10132	712.45	0.0014036	-66.364	-66.340	-159.97	338.33	403.87	1110.3	-0.38031	0.00070612	0.12498	liquid
353.15	0.10132	705.01	0.0014184	-62.293	-62.269	-148.28	344.95	410.34	1074.8	-0.36881	0.00062843	0.12279	liquid
363.15	0.10132	697.53	0.0014336	-58.158	-58.133	-136.73	351.60	416.91	1040.0	-0.35687	0.00056341	0.12064	liquid
373.15	0.10132	690.00	0.0014493	-53.955	-53.930	-125.31	358.26	423.58	1005.7	-0.34444	0.00050831	0.11851	liquid
383.15	0.10132	682.40	0.0014654	-49.686	-49.661	-114.02	364.92	430.33	972.07	-0.33148	0.00046106	0.11641	liquid
393.15	0.10132	674.73	0.0014821	-45.349	-45.324	-102.85	371.56	437.14	938.90	-0.31794	0.00042015	0.11433	liquid
403.15	0.10132	666.97	0.0014993	-40.944	-40.918	-91.780	378.18	444.00	906.17	-0.30371	0.00038436	0.11227	liquid
413.15	0.10132	659.11	0.0015172	-36.470	-36.443	-80.817	384.76	450.91	873.84	-0.28872	0.00035280	0.11023	liquid
423.15	0.10132	651.13	0.0015358	-31.926	-31.900	-69.950	391.29	457.85	841.84	-0.27282	0.00032472	0.10820	liquid
433.15	0.10132	643.02	0.0015552	-27.313	-27.286	-59.175	397.78	464.83	810.12	-0.25588	0.00029956	0.10619	liquid
443.15	0.10132	634.77	0.0015754	-22.630	-22.603	-48.486	404.21	471.85	778.63	-0.23769	0.00027686	0.10420	liquid
453.15	0.10132	626.34	0.0015966	-17.877	-17.849	-37.878	410.59	478.89	747.33	-0.21805	0.00025624	0.10222	liquid
