Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
263.60	6.2620e-07	771.47	0.0012962	-96.621	-96.621	-260.03	289.23	359.85	1427.2	-0.45504	0.0028925	0.14394	0.028190	4.8668e-05	20548.	-33.699	-31.507	-13.011	244.43	252.74	115.35	330.02	3.8271e-06	0.0067106
381.89	0.0030290	683.24	0.0014636	-50.218	-50.217	-115.41	364.07	429.51	975.42	-0.33288	0.00046601	0.11662	0.017790	0.16336	6.1213	0.44040	3.5986	25.510	334.75	343.34	137.53	65.845	5.7304e-06	0.014438
398.27	0.0060573	670.64	0.0014911	-43.090	-43.088	-97.136	374.95	440.69	921.18	-0.31041	0.00040067	0.11322	0.016498	0.31443	3.1803	5.9833	9.2647	34.314	347.29	356.07	139.89	55.691	5.9916e-06	0.015772
408.73	0.0090856	662.46	0.0015095	-38.444	-38.442	-85.622	381.85	447.90	887.17	-0.29508	0.00036576	0.11107	0.015689	0.46108	2.1688	9.6164	12.973	40.169	355.23	364.17	141.24	50.377	6.1574e-06	0.016660
416.59	0.012114	656.24	0.0015238	-34.903	-34.900	-77.041	387.01	453.34	861.88	-0.28296	0.00034229	0.10948	0.015088	0.60498	1.6530	12.394	15.805	44.673	361.16	370.24	142.16	46.878	6.2815e-06	0.017347
422.96	0.015142	651.14	0.0015358	-32.002	-31.998	-70.129	391.17	457.77	841.53	-0.27271	0.00032477	0.10819	0.014606	0.74692	1.3388	14.674	18.127	48.382	365.94	375.16	142.84	44.316	6.3817e-06	0.017917
428.35	0.018171	646.79	0.0015461	-29.523	-29.519	-64.307	394.67	461.53	824.40	-0.26370	0.00031087	0.10710	0.014201	0.88738	1.1269	16.624	20.112	51.558	369.97	379.33	143.36	42.319	6.4662e-06	0.018409
433.05	0.021199	642.96	0.0015553	-27.348	-27.342	-59.255	397.72	464.81	809.54	-0.25559	0.00029939	0.10616	0.013851	1.0267	0.97403	18.338	21.855	54.352	373.46	382.95	143.78	40.699	6.5397e-06	0.018845
437.23	0.024227	639.53	0.0015636	-25.400	-25.394	-54.779	400.41	467.74	796.37	-0.24815	0.00028964	0.10533	0.013541	1.1650	0.85839	19.873	23.415	56.854	376.56	386.18	144.12	39.345	6.6049e-06	0.019239
441.00	0.027256	636.42	0.0015713	-23.631	-23.624	-50.751	402.83	470.39	784.52	-0.24123	0.00028118	0.10458	0.013263	1.3025	0.76778	21.268	24.832	59.127	379.35	389.08	144.40	38.188	6.6636e-06	0.019599
