Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.4659	0.68217	15.736	17.815	93.969	39.214	47.958	288.90	16.520	7.8887e-06	0.015537	vapor
263.15	0.10132	1.4082	0.71012	16.136	18.299	95.846	40.267	48.964	294.12	14.968	8.1903e-06	0.016611	vapor
273.15	0.10132	1.3550	0.73800	16.546	18.794	97.691	41.363	50.020	299.20	13.614	8.4903e-06	0.017731	vapor
283.15	0.10132	1.3058	0.76582	16.967	19.300	99.509	42.496	51.119	304.15	12.425	8.7889e-06	0.018899	vapor
293.15	0.10132	1.2601	0.79359	17.399	19.817	101.30	43.661	52.255	308.97	11.374	9.0860e-06	0.020114	vapor
303.15	0.10132	1.2176	0.82131	17.843	20.345	103.08	44.855	53.424	313.69	10.441	9.3815e-06	0.021375	vapor
313.15	0.10132	1.1779	0.84900	18.299	20.885	104.83	46.073	54.620	318.30	9.6073	9.6755e-06	0.022682	vapor
323.15	0.10132	1.1407	0.87665	18.767	21.438	106.56	47.312	55.839	322.82	8.8611	9.9679e-06	0.024035	vapor
333.15	0.10132	1.1059	0.90428	19.247	22.002	108.28	48.567	57.078	327.26	8.1905	1.0259e-05	0.025433	vapor
343.15	0.10132	1.0731	0.93187	19.740	22.579	109.99	49.835	58.331	331.63	7.5860	1.0548e-05	0.026874	vapor
353.15	0.10132	1.0423	0.95945	20.246	23.169	111.69	51.114	59.596	335.92	7.0398	1.0835e-05	0.028357	vapor
363.15	0.10132	1.0132	0.98700	20.764	23.771	113.37	52.399	60.869	340.15	6.5448	1.1121e-05	0.029880	vapor
373.15	0.10132	0.98567	1.0145	21.295	24.386	115.04	53.689	62.148	344.31	6.0953	1.1404e-05	0.031443	vapor
383.15	0.10132	0.95964	1.0421	21.839	25.014	116.70	54.980	63.429	348.42	5.6862	1.1686e-05	0.033043	vapor
393.15	0.10132	0.93497	1.0696	22.396	25.655	118.35	56.271	64.711	352.48	5.3129	1.1966e-05	0.034680	vapor
403.15	0.10132	0.91154	1.0970	22.966	26.308	119.99	57.559	65.991	356.48	4.9717	1.2245e-05	0.036351	vapor
413.15	0.10132	0.88927	1.1245	23.549	26.975	121.62	58.843	67.268	360.44	4.6592	1.2521e-05	0.038054	vapor
423.15	0.10132	0.86806	1.1520	24.144	27.654	123.25	60.120	68.539	364.35	4.3724	1.2795e-05	0.039788	vapor
433.15	0.10132	0.84786	1.1794	24.752	28.345	124.86	61.391	69.803	368.22	4.1087	1.3067e-05	0.041552	vapor
443.15	0.10132	0.82858	1.2069	25.373	29.050	126.47	62.652	71.059	372.04	3.8658	1.3337e-05	0.043344	vapor
453.15	0.10132	0.81016	1.2343	26.006	29.767	128.07	63.904	72.306	375.83	3.6417	1.3605e-05	0.045161	vapor
