Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
90.368	1.1420e-06	651.53	0.0015348	-6.5908	-6.5908	-49.754	48.264	69.935	2008.7	-0.55899	0.0012917	0.25544	0.031663	4.5702e-05	21881.	10.542	11.293	148.15	26.809	35.124	180.93	249.89	2.8542e-06	0.0027280
148.03	0.0081215	587.43	0.0017023	-2.6161	-2.6157	-15.749	43.394	70.005	1590.0	-0.51979	0.00027806	0.20258	0.022092	0.19943	5.0143	12.173	13.398	92.426	30.742	39.292	227.53	74.577	4.6562e-06	0.0064181
156.37	0.016242	577.79	0.0017307	-2.0299	-2.0291	-11.897	43.234	70.602	1528.3	-0.50458	0.00024380	0.19435	0.020730	0.37889	2.6393	12.418	13.707	88.736	31.287	39.948	232.91	58.870	4.9138e-06	0.0070325
161.77	0.024362	571.48	0.0017499	-1.6483	-1.6471	-9.4978	43.162	71.033	1488.1	-0.49347	0.00022524	0.18904	0.019854	0.55109	1.8146	12.577	13.906	86.647	31.623	40.380	236.16	52.109	5.0798e-06	0.0074456
165.85	0.032482	566.64	0.0017648	-1.3575	-1.3558	-7.7225	43.124	71.385	1457.5	-0.48429	0.00021265	0.18503	0.019193	0.71872	1.3914	12.696	14.055	85.197	31.885	40.735	238.49	48.322	5.2055e-06	0.0077680
169.18	0.040603	562.66	0.0017773	-1.1193	-1.1171	-6.3002	43.104	71.691	1432.4	-0.47628	0.00020319	0.18177	0.018655	0.88304	1.1324	12.793	14.176	84.091	32.114	41.054	240.30	45.870	5.3079e-06	0.0080374
172.02	0.048723	559.25	0.0017881	-0.91575	-0.91313	-5.1069	43.094	71.965	1411.0	-0.46905	0.00019565	0.17901	0.018198	1.0448	0.95711	12.875	14.278	83.200	32.324	41.355	241.77	44.121	5.3950e-06	0.0082714
174.50	0.056843	556.24	0.0017978	-0.73697	-0.73390	-4.0750	43.092	72.216	1392.3	-0.46241	0.00018939	0.17660	0.017799	1.2045	0.83021	12.947	14.366	82.455	32.522	41.643	243.00	42.783	5.4712e-06	0.0084800
176.72	0.064964	553.54	0.0018066	-0.57688	-0.57335	-3.1633	43.095	72.449	1375.4	-0.45622	0.00018405	0.17446	0.017444	1.3625	0.73394	13.010	14.444	81.816	32.711	41.922	244.06	41.705	5.5392e-06	0.0086694
178.73	0.073084	551.08	0.0018146	-0.43143	-0.42745	-2.3448	43.102	72.668	1360.2	-0.45037	0.00017940	0.17252	0.017123	1.5190	0.65832	13.068	14.514	81.258	32.893	42.193	244.98	40.801	5.6008e-06	0.0088436
180.56	0.081204	548.81	0.0018221	-0.29781	-0.29336	-1.6008	43.111	72.876	1346.2	-0.44482	0.00017529	0.17076	0.016829	1.6743	0.59728	13.120	14.578	80.762	33.070	42.458	245.78	40.019	5.6572e-06	0.0090054
182.26	0.089325	546.70	0.0018291	-0.17395	-0.16904	-0.91800	43.122	73.075	1333.2	-0.43951	0.00017161	0.16913	0.016558	1.8284	0.54693	13.168	14.637	80.316	33.241	42.717	246.50	39.327	5.7095e-06	0.0091571
183.85	0.097445	544.73	0.0018358	-0.058312	-0.052933	-0.28619	43.135	73.265	1321.1	-0.43441	0.00016828	0.16761	0.016306	1.9815	0.50466	13.213	14.691	79.912	33.408	42.971	247.14	38.705	5.7581e-06	0.0093001
185.33	0.10557	542.87	0.0018421	0.050303	0.056150	0.30233	43.150	73.448	1309.7	-0.42949	0.00016524	0.16620	0.016071	2.1338	0.46865	13.254	14.742	79.542	33.571	43.219	247.72	38.136	5.8037e-06	0.0094357
