Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.3635	0.73343	14.563	16.647	94.796	30.703	39.344	307.11	15.285	8.7880e-06	0.015510	vapor
263.15	0.10132	1.3102	0.76322	14.875	17.045	96.335	31.505	40.110	312.44	13.888	9.1287e-06	0.016606	vapor
273.15	0.10132	1.2611	0.79295	15.196	17.450	97.846	32.350	40.925	317.61	12.659	9.4697e-06	0.017753	vapor
283.15	0.10132	1.2156	0.82263	15.525	17.863	99.333	33.231	41.781	322.63	11.575	9.8102e-06	0.018953	vapor
293.15	0.10132	1.1733	0.85228	15.863	18.286	100.80	34.144	42.672	327.52	10.613	1.0149e-05	0.020203	vapor
303.15	0.10132	1.1339	0.88188	16.210	18.717	102.24	35.082	43.591	332.30	9.7558	1.0487e-05	0.021503	vapor
313.15	0.10132	1.0971	0.91146	16.567	19.157	103.67	36.042	44.535	336.97	8.9903	1.0822e-05	0.022853	vapor
323.15	0.10132	1.0627	0.94101	16.933	19.608	105.09	37.018	45.496	341.56	8.3041	1.1154e-05	0.024250	vapor
333.15	0.10132	1.0304	0.97053	17.309	20.067	106.49	38.007	46.472	346.06	7.6870	1.1484e-05	0.025693	vapor
343.15	0.10132	0.99996	1.0000	17.694	20.537	107.88	39.004	47.458	350.48	7.1306	1.1810e-05	0.027181	vapor
353.15	0.10132	0.97132	1.0295	18.090	21.017	109.26	40.007	48.451	354.84	6.6274	1.2133e-05	0.028712	vapor
363.15	0.10132	0.94429	1.0590	18.496	21.506	110.62	41.013	49.448	359.13	6.1713	1.2453e-05	0.030283	vapor
373.15	0.10132	0.91874	1.0884	18.912	22.006	111.98	42.019	50.445	363.37	5.7568	1.2769e-05	0.031895	vapor
383.15	0.10132	0.89455	1.1179	19.337	22.515	113.33	43.022	51.441	367.55	5.3793	1.3082e-05	0.033544	vapor
393.15	0.10132	0.87160	1.1473	19.773	23.034	114.67	44.021	52.433	371.68	5.0345	1.3392e-05	0.035229	vapor
403.15	0.10132	0.84981	1.1767	20.219	23.564	116.00	45.014	53.420	375.77	4.7190	1.3698e-05	0.036948	vapor
413.15	0.10132	0.82909	1.2061	20.674	24.103	117.32	46.000	54.400	379.80	4.4297	1.4001e-05	0.038700	vapor
423.15	0.10132	0.80937	1.2355	21.140	24.652	118.63	46.977	55.372	383.80	4.1638	1.4301e-05	0.040483	vapor
433.15	0.10132	0.79056	1.2649	21.615	25.210	119.93	47.944	56.335	387.76	3.9190	1.4598e-05	0.042295	vapor
443.15	0.10132	0.77262	1.2943	22.099	25.778	121.23	48.900	57.287	391.68	3.6932	1.4892e-05	0.044135	vapor
