Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
103.99	0.00012196	654.60	0.0015276	-4.4352	-4.4352	-33.074	45.503	68.155	1766.6	-0.50257	0.00068573	0.24994	0.027869	0.0039581	252.65	10.621	11.486	120.03	24.972	33.295	202.67	154.91	7.7268e-07	0.0040752
136.47	0.0085248	612.70	0.0016321	-2.2258	-2.2254	-14.580	41.520	67.633	1545.9	-0.47778	0.00029681	0.21471	0.022028	0.21192	4.7188	11.421	12.549	93.685	25.340	33.868	231.24	71.418	4.6455e-06	0.0059731
144.07	0.016928	602.59	0.0016595	-1.7124	-1.7116	-10.919	40.662	67.487	1491.9	-0.46875	0.00025799	0.20646	0.020691	0.40006	2.4996	11.602	12.789	89.732	25.547	34.213	236.95	61.993	5.0449e-06	0.0064568
149.00	0.025330	595.95	0.0016780	-1.3796	-1.3784	-8.6474	40.146	67.440	1456.6	-0.46152	0.00023726	0.20113	0.019830	0.58065	1.7222	11.718	12.941	87.456	25.715	34.499	240.42	56.904	5.2671e-06	0.0067836
152.75	0.033733	590.85	0.0016925	-1.1270	-1.1254	-6.9727	39.778	67.437	1429.5	-0.45521	0.00022336	0.19709	0.019179	0.75647	1.3219	11.804	13.055	85.860	25.861	34.753	242.92	53.480	5.4224e-06	0.0070396
155.81	0.042136	586.66	0.0017046	-0.92069	-0.91867	-5.6354	39.494	67.456	1407.3	-0.44946	0.00021301	0.19380	0.018650	0.92883	1.0766	11.874	13.147	84.634	25.992	34.986	244.87	50.929	5.5426e-06	0.0072541
158.42	0.050539	583.06	0.0017151	-0.74489	-0.74246	-4.5164	39.263	67.489	1388.3	-0.44413	0.00020483	0.19101	0.018201	1.0985	0.91033	11.933	13.223	83.640	26.113	35.203	246.46	48.912	5.6414e-06	0.0074411
160.71	0.058942	579.89	0.0017245	-0.59086	-0.58801	-3.5510	39.070	67.532	1371.5	-0.43909	0.00019808	0.18857	0.017810	1.2660	0.78989	11.984	13.290	82.804	26.225	35.408	247.80	47.253	5.7257e-06	0.0076081
162.75	0.067344	577.04	0.0017330	-0.45322	-0.44994	-2.6998	38.904	67.581	1356.5	-0.43430	0.00019237	0.18640	0.017461	1.4317	0.69848	12.029	13.348	82.084	26.331	35.604	248.95	45.849	5.7995e-06	0.0077601
164.59	0.075747	574.44	0.0017408	-0.32840	-0.32470	-1.9371	38.760	67.636	1342.9	-0.42970	0.00018742	0.18444	0.017145	1.5958	0.62665	12.069	13.401	81.452	26.432	35.791	249.97	44.637	5.8655e-06	0.0079003
