Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	0.19257	5.1928	3.1775	5.2835	108.46	12.473	20.787	936.69	-0.62313	1.7753e-05	0.13873	vapor
263.15	0.10132	0.18526	5.3978	3.3022	5.4914	109.27	12.473	20.787	954.99	-0.62505	1.8226e-05	0.14248	vapor
273.15	0.10132	0.17848	5.6028	3.4269	5.6992	110.04	12.473	20.786	972.94	-0.62661	1.8695e-05	0.14620	vapor
283.15	0.10132	0.17218	5.8078	3.5517	5.9071	110.79	12.473	20.786	990.57	-0.62787	1.9158e-05	0.14987	vapor
293.15	0.10132	0.16631	6.0128	3.6764	6.1150	111.51	12.473	20.786	1007.9	-0.62885	1.9618e-05	0.15350	vapor
303.15	0.10132	0.16083	6.2178	3.8011	6.3228	112.21	12.473	20.786	1024.9	-0.62960	2.0073e-05	0.15710	vapor
313.15	0.10132	0.15569	6.4228	3.9258	6.5307	112.89	12.473	20.786	1041.7	-0.63014	2.0524e-05	0.16067	vapor
323.15	0.10132	0.15088	6.6278	4.0506	6.7386	113.54	12.473	20.786	1058.2	-0.63049	2.0971e-05	0.16420	vapor
333.15	0.10132	0.14635	6.8328	4.1753	6.9464	114.17	12.473	20.786	1074.4	-0.63067	2.1415e-05	0.16770	vapor
343.15	0.10132	0.14209	7.0378	4.3000	7.1543	114.79	12.473	20.786	1090.4	-0.63071	2.1854e-05	0.17117	vapor
353.15	0.10132	0.13807	7.2428	4.4247	7.3621	115.38	12.473	20.786	1106.1	-0.63062	2.2291e-05	0.17461	vapor
363.15	0.10132	0.13427	7.4478	4.5494	7.5700	115.96	12.472	20.786	1121.7	-0.63041	2.2724e-05	0.17802	vapor
373.15	0.10132	0.13067	7.6528	4.6742	7.7779	116.53	12.472	20.786	1137.0	-0.63010	2.3154e-05	0.18141	vapor
383.15	0.10132	0.12726	7.8578	4.7989	7.9857	117.08	12.472	20.786	1152.1	-0.62970	2.3580e-05	0.18477	vapor
393.15	0.10132	0.12403	8.0628	4.9236	8.1936	117.61	12.472	20.786	1167.0	-0.62921	2.4004e-05	0.18810	vapor
403.15	0.10132	0.12095	8.2678	5.0483	8.4015	118.14	12.472	20.786	1181.8	-0.62865	2.4424e-05	0.19141	vapor
413.15	0.10132	0.11802	8.4728	5.1730	8.6093	118.65	12.472	20.786	1196.3	-0.62802	2.4842e-05	0.19469	vapor
423.15	0.10132	0.11524	8.6778	5.2978	8.8172	119.14	12.472	20.786	1210.7	-0.62734	2.5257e-05	0.19795	vapor
433.15	0.10132	0.11258	8.8828	5.4225	9.0250	119.63	12.472	20.786	1224.9	-0.62660	2.5670e-05	0.20119	vapor
443.15	0.10132	0.11004	9.0878	5.5472	9.2329	120.10	12.472	20.786	1239.0	-0.62582	2.6079e-05	0.20440	vapor
453.15	0.10132	0.10761	9.2928	5.6719	9.4408	120.57	12.472	20.786	1252.9	-0.62499	2.6487e-05	0.20760	vapor
