Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
2.1768	0.0050393	146.02	0.0068486	-0.027592	-0.027454	-7.7072	12.603	12.630	220.55	-2.1329	3.5730e-06	0.013496	0.00028633	1.1744	0.85150	0.046318	0.063493	34.073	12.432	21.802	84.380	18.812	5.3759e-07	0.0039781
2.2062	0.0054114	145.98	0.0068502	-0.027232	-0.027083	-7.5427	11.876	11.939	220.99	-2.2347	3.6007e-06	0.013638	0.00028400	1.2474	0.80164	0.046619	0.063982	33.735	12.432	21.860	84.837	18.609	5.4680e-07	0.0040556
2.2342	0.0057836	145.93	0.0068526	-0.026905	-0.026747	-7.3957	11.284	11.394	221.43	-2.3218	3.6241e-06	0.013770	0.00028176	1.3197	0.75774	0.046904	0.064445	33.420	12.431	21.917	85.266	18.421	5.5556e-07	0.0041280
2.2610	0.0061557	145.87	0.0068554	-0.026606	-0.026437	-7.2626	10.797	10.959	221.85	-2.3953	3.6440e-06	0.013893	0.00027959	1.3913	0.71877	0.047174	0.064884	33.127	12.431	21.973	85.671	18.244	5.6394e-07	0.0041961
2.2868	0.0065278	145.80	0.0068587	-0.026330	-0.026150	-7.1408	10.394	10.610	222.26	-2.4567	3.6609e-06	0.014008	0.00027749	1.4622	0.68392	0.047432	0.065301	32.851	12.431	22.029	86.053	18.079	5.7196e-07	0.0042603
2.3115	0.0069000	145.72	0.0068623	-0.026071	-0.025882	-7.0285	10.056	10.329	222.66	-2.5072	3.6753e-06	0.014117	0.00027546	1.5324	0.65255	0.047677	0.065699	32.591	12.431	22.084	86.416	17.923	5.7967e-07	0.0043212
2.3353	0.0072721	145.64	0.0068662	-0.025829	-0.025629	-6.9239	9.7714	10.102	223.03	-2.5483	3.6876e-06	0.014220	0.00027348	1.6022	0.62416	0.047912	0.066079	32.346	12.431	22.138	86.760	17.775	5.8709e-07	0.0043792
2.3583	0.0076442	145.55	0.0068703	-0.025599	-0.025389	-6.8261	9.5301	9.9183	223.39	-2.5811	3.6981e-06	0.014317	0.00027155	1.6713	0.59832	0.048137	0.066443	32.113	12.432	22.192	87.089	17.636	5.9425e-07	0.0044347
2.3806	0.0080164	145.46	0.0068746	-0.025381	-0.025160	-6.7340	9.3243	9.7698	223.72	-2.6067	3.7071e-06	0.014410	0.00026967	1.7400	0.57470	0.048353	0.066793	31.892	12.432	22.246	87.402	17.503	6.0117e-07	0.0044877
2.4022	0.0083885	145.37	0.0068790	-0.025173	-0.024942	-6.6468	9.1480	9.6504	224.02	-2.6260	3.7147e-06	0.014498	0.00026784	1.8083	0.55302	0.048560	0.067128	31.681	12.433	22.299	87.702	17.376	6.0787e-07	0.0045387
2.4231	0.0087606	145.27	0.0068835	-0.024973	-0.024731	-6.5639	8.9964	9.5547	224.30	-2.6400	3.7212e-06	0.014583	0.00026605	1.8760	0.53304	0.048760	0.067451	31.480	12.433	22.352	87.989	17.256	6.1438e-07	0.0045879
2.4434	0.0091328	145.18	0.0068881	-0.024781	-0.024529	-6.4849	8.8656	9.4790	224.55	-2.6494	3.7267e-06	0.014664	0.00026431	1.9434	0.51456	0.048953	0.067762	31.287	12.434	22.404	88.265	17.141	6.2069e-07	0.0046352
2.4631	0.0095049	145.08	0.0068928	-0.024595	-0.024333	-6.4092	8.7523	9.4199	224.77	-2.6548	3.7312e-06	0.014741	0.00026260	2.0104	0.49741	0.049139	0.068063	31.102	12.435	22.457	88.530	17.030	6.2683e-07	0.0046811
2.4823	0.0098770	144.98	0.0068976	-0.024416	-0.024143	-6.3366	8.6540	9.3748	224.97	-2.6569	3.7350e-06	0.014816	0.00026092	2.0770	0.48146	0.049319	0.068353	30.925	12.435	22.508	88.785	16.925	6.3281e-07	0.0047255
2.5011	0.010249	144.88	0.0069024	-0.024242	-0.023959	-6.2666	8.5685	9.3416	225.14	-2.6560	3.7381e-06	0.014887	0.00025928	2.1433	0.46657	0.049493	0.068633	30.754	12.436	22.560	89.031	16.823	6.3864e-07	0.0047686
2.5193	0.010621	144.78	0.0069072	-0.024073	-0.023779	-6.1992	8.4941	9.3185	225.29	-2.6527	3.7406e-06	0.014957	0.00025767	2.2092	0.45265	0.049662	0.068905	30.590	12.437	22.611	89.268	16.725	6.4433e-07	0.0048104
2.5372	0.010993	144.67	0.0069121	-0.023908	-0.023604	-6.1339	8.4293	9.3040	225.42	-2.6473	3.7426e-06	0.015023	0.00025609	2.2748	0.43959	0.049825	0.069168	30.431	12.438	22.663	89.496	16.631	6.4988e-07	0.0048511
2.5546	0.011366	144.57	0.0069170	-0.023747	-0.023432	-6.0707	8.3728	9.2969	225.52	-2.6400	3.7441e-06	0.015088	0.00025455	2.3402	0.42732	0.049984	0.069423	30.278	12.439	22.713	89.718	16.540	6.5531e-07	0.0048908
2.5716	0.011738	144.47	0.0069219	-0.023590	-0.023265	-6.0094	8.3236	9.2963	225.60	-2.6313	3.7451e-06	0.015150	0.00025302	2.4052	0.41577	0.050138	0.069671	30.130	12.440	22.764	89.932	16.453	6.6062e-07	0.0049295
