Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	717.18	0.0013943	-27.420	-27.406	-88.245	163.55	210.02	1333.0	-0.47148	0.00068963	0.13602	liquid
263.15	0.10132	708.92	0.0014106	-25.305	-25.291	-80.052	166.38	212.97	1287.6	-0.45970	0.00059753	0.13293	liquid
273.15	0.10132	700.62	0.0014273	-23.160	-23.145	-72.051	169.42	216.17	1242.6	-0.44690	0.00052345	0.12984	liquid
283.15	0.10132	692.27	0.0014445	-20.981	-20.967	-64.217	172.65	219.60	1198.1	-0.43313	0.00046277	0.12677	liquid
293.15	0.10132	683.85	0.0014623	-18.768	-18.753	-56.533	176.04	223.23	1154.1	-0.41843	0.00041229	0.12372	liquid
303.15	0.10132	675.35	0.0014807	-16.517	-16.502	-48.983	179.56	227.02	1110.6	-0.40280	0.00036973	0.12069	liquid
313.15	0.10132	666.75	0.0014998	-14.227	-14.212	-41.552	183.18	230.97	1067.6	-0.38618	0.00033341	0.11769	liquid
323.15	0.10132	658.03	0.0015197	-11.897	-11.882	-34.228	186.89	235.05	1025.0	-0.36851	0.00030209	0.11473	liquid
333.15	0.10132	649.18	0.0015404	-9.5260	-9.5104	-27.001	190.67	239.24	982.81	-0.34967	0.00027484	0.11180	liquid
343.15	0.10132	640.17	0.0015621	-7.1124	-7.0965	-19.862	194.50	243.55	941.01	-0.32947	0.00025091	0.10891	liquid
353.15	0.10132	630.99	0.0015848	-4.6552	-4.6391	-12.804	198.37	247.96	899.56	-0.30769	0.00022974	0.10607	liquid
363.15	0.10132	621.60	0.0016088	-2.1534	-2.1371	-5.8176	202.27	252.47	858.40	-0.28402	0.00021088	0.10328	liquid
371.55	0.10132	613.53	0.0016299	-0.016549	0.0000	0.0000	205.55	256.35	824.00	-0.26239	0.00019655	0.10097	liquid
371.55	0.10132	3.4703	0.28816	28.807	31.733	85.406	192.54	203.66	170.75	31.644	7.2155e-06	0.019187	vapor
373.15	0.10132	3.4522	0.28967	29.118	32.059	86.282	193.22	204.28	171.25	31.088	7.2482e-06	0.019341	vapor
383.15	0.10132	3.3438	0.29906	31.085	34.121	91.736	197.45	208.19	174.29	27.889	7.4526e-06	0.020321	vapor
393.15	0.10132	3.2434	0.30832	33.092	36.223	97.150	201.65	212.11	177.22	25.115	7.6560e-06	0.021324	vapor
403.15	0.10132	3.1500	0.31746	35.140	38.363	102.53	205.81	216.03	180.04	22.702	7.8584e-06	0.022349	vapor
413.15	0.10132	3.0628	0.32650	37.228	40.543	107.87	209.92	219.95	182.78	20.596	8.0601e-06	0.023396	vapor
423.15	0.10132	2.9810	0.33545	39.356	42.762	113.17	214.00	223.85	185.43	18.752	8.2610e-06	0.024462	vapor
433.15	0.10132	2.9041	0.34434	41.524	45.020	118.45	218.03	227.72	188.01	17.132	8.4612e-06	0.025547	vapor
443.15	0.10132	2.8316	0.35315	43.731	47.317	123.69	222.00	231.57	190.52	15.706	8.6608e-06	0.026649	vapor
453.15	0.10132	2.7631	0.36191	45.977	49.651	128.90	225.93	235.38	192.98	14.447	8.8597e-06	0.027768	vapor
