Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
182.55	1.7426e-07	775.80	0.0012890	-41.753	-41.753	-154.54	152.76	199.54	1665.8	-0.51761	0.0039115	0.15695	0.031637	1.1504e-05	86924.	1.0060	2.5238	88.012	115.73	124.05	127.42	204.70	3.7737e-06	0.0047800
292.45	0.0045597	684.35	0.0014612	-18.919	-18.918	-57.051	175.79	222.98	1156.5	-0.41930	0.00041512	0.12388	0.020305	0.18895	5.2924	15.595	18.013	69.233	154.55	163.12	159.14	67.105	5.7540e-06	0.011526
306.49	0.0091193	672.39	0.0014872	-15.751	-15.749	-46.470	180.75	228.35	1095.4	-0.39712	0.00035659	0.11964	0.018913	0.36197	2.7627	17.778	20.303	71.158	160.96	169.71	162.21	58.037	6.0139e-06	0.012677
315.50	0.013679	664.61	0.0015046	-13.678	-13.676	-39.805	184.04	231.94	1056.8	-0.38187	0.00032531	0.11694	0.018029	0.52921	1.8896	19.218	21.808	72.663	165.17	174.08	163.99	52.945	6.1802e-06	0.013457
322.29	0.018238	658.68	0.0015182	-12.093	-12.091	-34.836	186.57	234.71	1027.9	-0.36980	0.00030431	0.11493	0.017366	0.69282	1.4434	20.323	22.960	73.920	168.39	177.45	165.23	49.455	6.3054e-06	0.014069
327.81	0.022798	653.83	0.0015295	-10.792	-10.789	-30.832	188.64	237.01	1004.6	-0.35960	0.00028866	0.11331	0.016831	0.85384	1.1712	21.233	23.908	75.012	171.03	180.23	166.16	46.830	6.4070e-06	0.014581
332.49	0.027357	649.67	0.0015392	-9.6782	-9.6740	-27.458	190.42	238.99	984.87	-0.35066	0.00027626	0.11195	0.016378	1.0129	0.98731	22.013	24.720	75.984	173.29	182.62	166.90	44.744	6.4931e-06	0.015027
336.58	0.031917	646.02	0.0015479	-8.6983	-8.6934	-24.529	191.98	240.73	967.76	-0.34261	0.00026605	0.11076	0.015985	1.1703	0.85452	22.701	25.434	76.864	175.27	184.73	167.50	43.024	6.5683e-06	0.015424
340.22	0.036477	642.74	0.0015558	-7.8198	-7.8141	-21.933	193.37	242.30	952.59	-0.33525	0.00025740	0.10971	0.015636	1.3263	0.75397	23.318	26.073	77.673	177.04	186.63	168.00	41.569	6.6352e-06	0.015785
343.51	0.041036	639.76	0.0015631	-7.0207	-7.0143	-19.595	194.64	243.73	938.92	-0.32843	0.00024991	0.10877	0.015322	1.4813	0.67510	23.879	26.655	78.422	178.65	188.36	168.42	40.313	6.6957e-06	0.016117
346.52	0.045596	637.02	0.0015698	-6.2859	-6.2787	-17.465	195.80	245.04	926.45	-0.32205	0.00024332	0.10791	0.015036	1.6352	0.61154	24.396	27.190	79.121	180.12	189.95	168.78	39.213	6.7510e-06	0.016426
349.29	0.050155	634.48	0.0015761	-5.6042	-5.5963	-15.506	196.87	246.26	914.98	-0.31603	0.00023745	0.10713	0.014772	1.7883	0.55918	24.876	27.686	79.778	181.49	191.43	169.09	38.236	6.8021e-06	0.016715
351.87	0.054715	632.10	0.0015820	-4.9674	-4.9587	-13.690	197.87	247.41	904.34	-0.31031	0.00023216	0.10640	0.014528	1.9407	0.51527	25.324	28.149	80.399	182.76	192.81	169.36	37.361	6.8497e-06	0.016987
354.29	0.059274	629.86	0.0015876	-4.3689	-4.3595	-11.994	198.81	248.48	894.40	-0.30486	0.00022735	0.10572	0.014299	2.0924	0.47791	25.745	28.583	80.989	183.95	194.12	169.59	36.571	6.8943e-06	0.017245
356.56	0.063834	627.75	0.0015930	-3.8036	-3.7934	-10.404	199.70	249.50	885.08	-0.29962	0.00022295	0.10509	0.014085	2.2436	0.44572	26.143	28.994	81.550	185.08	195.35	169.80	35.851	6.9363e-06	0.017491
358.71	0.068393	625.74	0.0015981	-3.2674	-3.2564	-8.9043	200.53	250.47	876.28	-0.29459	0.00021890	0.10449	0.013884	2.3942	0.41768	26.520	29.383	82.086	186.14	196.52	169.98	35.192	6.9760e-06	0.017726
360.74	0.072953	623.83	0.0016030	-2.7569	-2.7451	-7.4850	201.33	251.39	867.96	-0.28973	0.00021514	0.10393	0.013693	2.5443	0.39303	26.879	29.753	82.600	187.15	197.64	170.14	34.585	7.0137e-06	0.017951
362.68	0.077513	622.00	0.0016077	-2.2693	-2.2568	-6.1369	202.08	252.27	860.05	-0.28502	0.00021165	0.10339	0.013511	2.6940	0.37119	27.223	30.106	83.094	188.12	198.71	170.27	34.023	7.0497e-06	0.018168
364.53	0.082072	620.25	0.0016123	-1.8023	-1.7890	-4.8525	202.81	253.11	852.51	-0.28045	0.00020838	0.10288	0.013339	2.8433	0.35170	27.551	30.443	83.569	189.04	199.73	170.39	33.501	7.0841e-06	0.018376
366.30	0.086632	618.56	0.0016166	-1.3539	-1.3398	-3.6252	203.50	253.92	845.30	-0.27600	0.00020531	0.10240	0.013174	2.9923	0.33419	27.867	30.768	84.028	189.92	200.72	170.50	33.015	7.1171e-06	0.018578
368.00	0.091191	616.94	0.0016209	-0.92232	-0.90751	-2.4498	204.16	254.70	838.40	-0.27167	0.00020242	0.10194	0.013016	3.1409	0.31838	28.170	31.079	84.471	190.77	201.67	170.59	32.559	7.1489e-06	0.018773
369.63	0.095751	615.37	0.0016250	-0.50620	-0.49060	-1.3214	204.80	255.46	831.77	-0.26744	0.00019969	0.10149	0.012864	3.2893	0.30402	28.463	31.380	84.899	191.58	202.58	170.67	32.132	7.1795e-06	0.018963
371.21	0.10031	613.86	0.0016290	-0.10420	-0.087831	-0.23605	205.42	256.19	825.39	-0.26330	0.00019711	0.10106	0.012718	3.4374	0.29092	28.745	31.669	85.315	192.37	203.47	170.73	31.730	7.2090e-06	0.019147
372.73	0.10487	612.39	0.0016329	0.28477	0.30193	0.80978	206.01	256.89	819.24	-0.25925	0.00019466	0.10065	0.012578	3.5852	0.27892	29.019	31.950	85.719	193.13	204.33	170.79	31.351	7.2376e-06	0.019326
374.19	0.10943	610.97	0.0016367	0.66172	0.67967	1.8192	206.59	257.58	813.31	-0.25527	0.00019232	0.10026	0.012443	3.7329	0.26789	29.284	32.221	86.111	193.86	205.16	170.84	30.993	7.2653e-06	0.019500
375.61	0.11399	609.58	0.0016405	1.0275	1.0462	2.7950	207.15	258.24	807.57	-0.25136	0.00019010	0.099874	0.012312	3.8803	0.25771	29.540	32.484	86.492	194.57	205.97	170.88	30.653	7.2922e-06	0.019670
376.99	0.11855	608.24	0.0016441	1.3829	1.4025	3.7396	207.68	258.89	802.01	-0.24753	0.00018797	0.099504	0.012185	4.0275	0.24829	29.790	32.739	86.864	195.26	206.76	170.91	30.331	7.3183e-06	0.019836
378.33	0.12311	606.93	0.0016476	1.7286	1.7490	4.6552	208.21	259.52	796.63	-0.24375	0.00018594	0.099146	0.012063	4.1746	0.23954	30.033	32.988	87.226	195.93	207.52	170.93	30.024	7.3437e-06	0.019998
