Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	694.59	0.0014397	-17.416	-17.404	-58.702	139.04	181.66	1287.1	-0.46837	0.00049046	0.13504	liquid
263.15	0.10132	685.93	0.0014579	-15.586	-15.573	-51.612	141.44	184.43	1239.9	-0.45385	0.00043401	0.13147	liquid
273.15	0.10132	677.19	0.0014767	-13.727	-13.714	-44.678	144.05	187.44	1193.0	-0.43816	0.00038695	0.12804	liquid
283.15	0.10132	668.35	0.0014962	-11.837	-11.824	-37.881	146.84	190.66	1146.7	-0.42129	0.00034718	0.12474	liquid
293.15	0.10132	659.38	0.0015166	-9.9137	-9.9005	-31.206	149.79	194.06	1100.7	-0.40319	0.00031317	0.12156	liquid
303.15	0.10132	650.29	0.0015378	-7.9555	-7.9420	-24.637	152.88	197.65	1055.3	-0.38380	0.00028379	0.11850	liquid
313.15	0.10132	641.03	0.0015600	-5.9606	-5.9469	-18.162	156.09	201.40	1010.2	-0.36296	0.00025816	0.11555	liquid
323.15	0.10132	631.60	0.0015833	-3.9274	-3.9136	-11.771	159.40	205.30	965.52	-0.34048	0.00023563	0.11271	liquid
333.15	0.10132	621.96	0.0016078	-1.8545	-1.8404	-5.4531	162.78	209.35	921.12	-0.31609	0.00021566	0.10998	liquid
341.87	0.10132	613.37	0.0016303	-0.014236	1.8918e-15	0.0000	165.78	213.00	882.61	-0.29297	0.00020001	0.10768	liquid
341.87	0.10132	3.2297	0.30963	26.177	28.881	84.480	153.70	164.43	178.44	31.745	7.1194e-06	0.017526	vapor
343.15	0.10132	3.2152	0.31102	26.377	29.092	85.097	154.19	164.88	178.87	31.285	7.1478e-06	0.017649	vapor
353.15	0.10132	3.1080	0.32175	27.949	30.759	89.884	158.01	168.41	182.16	27.987	7.3677e-06	0.018625	vapor
363.15	0.10132	3.0089	0.33235	29.559	32.461	94.636	161.83	171.99	185.32	25.136	7.5858e-06	0.019627	vapor
373.15	0.10132	2.9169	0.34282	31.205	34.199	99.357	165.64	175.60	188.38	22.662	7.8022e-06	0.020653	vapor
383.15	0.10132	2.8312	0.35320	32.889	35.973	104.05	169.44	179.22	191.34	20.507	8.0170e-06	0.021704	vapor
393.15	0.10132	2.7511	0.36349	34.609	37.783	108.71	173.21	182.84	194.21	18.624	8.2305e-06	0.022778	vapor
403.15	0.10132	2.6759	0.37371	36.366	39.629	113.35	176.95	186.44	197.02	16.973	8.4426e-06	0.023874	vapor
413.15	0.10132	2.6051	0.38386	38.160	41.512	117.96	180.65	190.03	199.75	15.520	8.6536e-06	0.024992	vapor
423.15	0.10132	2.5384	0.39395	39.990	43.430	122.55	184.30	193.59	202.42	14.239	8.8634e-06	0.026130	vapor
433.15	0.10132	2.4753	0.40399	41.856	45.383	127.11	187.91	197.11	205.04	13.107	9.0723e-06	0.027289	vapor
443.15	0.10132	2.4155	0.41399	43.757	47.372	131.65	191.47	200.60	207.61	12.105	9.2801e-06	0.028467	vapor
453.15	0.10132	2.3588	0.42395	45.694	49.395	136.17	194.99	204.05	210.13	11.211	9.4870e-06	0.029663	vapor
