Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
177.83	1.1890e-06	758.48	0.0013184	-30.535	-30.535	-120.09	129.40	169.50	1653.2	-0.53679	0.0021097	0.16654	0.031109	6.9299e-05	14430.	6.5605	8.0391	96.825	97.884	106.20	136.44	165.76	3.6940e-06	0.0063954
269.94	0.0050747	679.92	0.0014708	-14.323	-14.322	-46.872	143.18	186.47	1207.3	-0.44314	0.00040079	0.12909	0.020870	0.19592	5.1041	16.612	18.844	75.992	123.95	132.50	165.94	65.856	5.6726e-06	0.011617
283.27	0.010148	668.15	0.0014967	-11.809	-11.808	-37.783	146.87	190.71	1145.4	-0.42085	0.00034640	0.12466	0.019447	0.37478	2.6682	18.270	20.603	76.633	129.02	137.75	169.23	56.860	5.9482e-06	0.012611
291.84	0.015222	660.48	0.0015141	-10.164	-10.162	-32.061	149.39	193.63	1106.1	-0.40540	0.00031706	0.12193	0.018543	0.54746	1.8266	19.363	21.759	77.320	132.41	141.29	171.15	51.825	6.1230e-06	0.013276
298.30	0.020295	654.63	0.0015276	-8.9054	-8.9027	-27.796	151.37	195.91	1076.6	-0.39312	0.00029726	0.11993	0.017866	0.71626	1.3961	20.203	22.645	77.963	135.02	144.04	172.49	48.381	6.2537e-06	0.013790
303.55	0.025369	649.83	0.0015389	-7.8714	-7.8680	-24.360	153.01	197.82	1052.8	-0.38273	0.00028245	0.11834	0.017318	0.88227	1.1334	20.896	23.373	78.559	137.18	146.33	173.50	45.793	6.3593e-06	0.014217
308.01	0.030442	645.72	0.0015487	-6.9857	-6.9816	-21.463	154.43	199.47	1032.7	-0.37359	0.00027068	0.11701	0.016855	1.0461	0.95591	21.489	23.997	79.112	139.04	148.32	174.30	43.738	6.4484e-06	0.014584
311.91	0.035516	642.11	0.0015574	-6.2062	-6.2015	-18.949	155.69	200.94	1015.2	-0.36537	0.00026096	0.11587	0.016453	1.2082	0.82764	22.013	24.546	79.629	140.68	150.07	174.96	42.045	6.5260e-06	0.014909
315.38	0.040589	638.87	0.0015653	-5.5070	-5.5015	-16.719	156.82	202.27	999.65	-0.35785	0.00025271	0.11487	0.016096	1.3689	0.73050	22.482	25.038	80.114	142.15	151.66	175.51	40.612	6.5948e-06	0.015201
318.52	0.045663	635.92	0.0015725	-4.8708	-4.8646	-14.712	157.85	203.49	985.65	-0.35087	0.00024556	0.11398	0.015774	1.5284	0.65428	22.910	25.485	80.572	143.49	153.11	175.97	39.375	6.6569e-06	0.015468
321.39	0.050736	633.21	0.0015793	-4.2854	-4.2785	-12.882	158.81	204.62	972.88	-0.34434	0.00023925	0.11317	0.015481	1.6868	0.59283	23.304	25.896	81.006	144.73	154.46	176.37	38.292	6.7136e-06	0.015714
