Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	0.096981	10.311	4.5314	6.6375	102.92	20.056	28.376	1216.2	-0.19668	7.9474e-06	0.16310	vapor
263.15	0.10132	0.093297	10.718	4.7326	6.9220	104.02	20.187	28.507	1238.8	-0.22318	8.1635e-06	0.16834	vapor
273.15	0.10132	0.089883	11.126	4.9351	7.2076	105.08	20.301	28.621	1261.1	-0.24735	8.3770e-06	0.17346	vapor
283.15	0.10132	0.086709	11.533	5.1386	7.4943	106.11	20.399	28.718	1283.0	-0.26948	8.5880e-06	0.17848	vapor
293.15	0.10132	0.083752	11.940	5.3431	7.7819	107.11	20.484	28.802	1304.7	-0.28983	8.7968e-06	0.18339	vapor
303.15	0.10132	0.080991	12.347	5.5483	8.0703	108.08	20.556	28.874	1326.0	-0.30860	9.0033e-06	0.18821	vapor
313.15	0.10132	0.078405	12.754	5.7542	8.3594	109.02	20.618	28.936	1347.1	-0.32597	9.2077e-06	0.19293	vapor
323.15	0.10132	0.075980	13.161	5.9607	8.6490	109.93	20.670	28.988	1367.9	-0.34210	9.4102e-06	0.19758	vapor
333.15	0.10132	0.073700	13.569	6.1676	8.9391	110.81	20.714	29.032	1388.5	-0.35710	9.6107e-06	0.20215	vapor
343.15	0.10132	0.071553	13.976	6.3750	9.2296	111.67	20.751	29.069	1408.8	-0.37109	9.8095e-06	0.20665	vapor
353.15	0.10132	0.069528	14.383	6.5826	9.5205	112.51	20.783	29.100	1428.9	-0.38417	1.0007e-05	0.21108	vapor
363.15	0.10132	0.067614	14.790	6.7906	9.8116	113.32	20.809	29.125	1448.7	-0.39642	1.0202e-05	0.21545	vapor
373.15	0.10132	0.065802	15.197	6.9988	10.103	114.11	20.830	29.147	1468.2	-0.40790	1.0396e-05	0.21976	vapor
383.15	0.10132	0.064086	15.604	7.2072	10.395	114.88	20.849	29.165	1487.6	-0.41868	1.0588e-05	0.22402	vapor
393.15	0.10132	0.062456	16.011	7.4158	10.686	115.63	20.864	29.180	1506.7	-0.42882	1.0779e-05	0.22824	vapor
403.15	0.10132	0.060908	16.418	7.6245	10.978	116.37	20.876	29.192	1525.6	-0.43836	1.0968e-05	0.23240	vapor
413.15	0.10132	0.059434	16.825	7.8333	11.270	117.08	20.887	29.203	1544.3	-0.44735	1.1156e-05	0.23653	vapor
423.15	0.10132	0.058030	17.232	8.0423	11.562	117.78	20.896	29.212	1562.7	-0.45583	1.1343e-05	0.24062	vapor
433.15	0.10132	0.056691	17.640	8.2513	11.854	118.46	20.904	29.219	1581.0	-0.46383	1.1528e-05	0.24467	vapor
443.15	0.10132	0.055412	18.047	8.4604	12.147	119.13	20.910	29.226	1599.0	-0.47139	1.1713e-05	0.24869	vapor
453.15	0.10132	0.054190	18.454	8.6695	12.439	119.78	20.916	29.232	1616.9	-0.47853	1.1896e-05	0.25268	vapor
