Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
13.957	0.0073578	77.004	0.012986	-0.10890	-0.10871	-6.1934	10.405	14.154	1269.2	-1.5758	2.5587e-05	0.097561	0.0030324	0.12985	7.7010	0.69178	0.80600	59.344	12.586	21.296	307.14	29.221	6.4525e-07	0.010601
14.416	0.0095062	76.627	0.013050	-0.10236	-0.10211	-5.7321	10.447	14.402	1259.5	-1.5403	2.4162e-05	0.098310	0.0029515	0.16294	6.1371	0.69689	0.81449	57.850	12.620	21.414	311.56	27.972	6.7058e-07	0.011037
14.801	0.011655	76.305	0.013105	-0.096773	-0.096465	-5.3497	10.509	14.653	1251.3	-1.5061	2.3077e-05	0.098902	0.0028836	0.19515	5.1243	0.70110	0.82150	56.669	12.648	21.519	315.16	26.993	6.9175e-07	0.011407
15.136	0.013803	76.021	0.013154	-0.091846	-0.091480	-5.0205	10.572	14.893	1244.2	-1.4746	2.2205e-05	0.099390	0.0028248	0.22665	4.4120	0.70471	0.82747	55.694	12.672	21.616	318.19	26.197	7.1007e-07	0.011732
15.432	0.015951	75.765	0.013199	-0.087405	-0.086980	-4.7298	10.630	15.116	1237.8	-1.4459	2.1480e-05	0.099801	0.0027727	0.25758	3.8823	0.70786	0.83270	54.864	12.692	21.707	320.83	25.531	7.2630e-07	0.012023
15.700	0.018100	75.530	0.013240	-0.083339	-0.082856	-4.4685	10.683	15.325	1232.0	-1.4197	2.0859e-05	0.10016	0.0027256	0.28802	3.4720	0.71066	0.83735	54.142	12.709	21.792	323.16	24.962	7.4092e-07	0.012288
15.945	0.020248	75.313	0.013278	-0.079575	-0.079033	-4.2305	10.731	15.521	1226.7	-1.3955	2.0319e-05	0.10047	0.0026826	0.31804	3.1442	0.71319	0.84153	53.503	12.725	21.874	325.25	24.466	7.5427e-07	0.012532
16.171	0.022397	75.110	0.013314	-0.076058	-0.075457	-4.0115	10.775	15.705	1221.8	-1.3732	1.9842e-05	0.10074	0.0026429	0.34770	2.8761	0.71549	0.84535	52.929	12.739	21.953	327.14	24.029	7.6658e-07	0.012760
16.382	0.024545	74.919	0.013348	-0.072750	-0.072090	-3.8081	10.814	15.878	1217.1	-1.3524	1.9415e-05	0.10098	0.0026060	0.37703	2.6523	0.71761	0.84884	52.410	12.751	22.029	328.88	23.638	7.7802e-07	0.012974
16.578	0.026693	74.738	0.013380	-0.069620	-0.068900	-3.6181	10.850	16.043	1212.8	-1.3329	1.9028e-05	0.10120	0.0025715	0.40607	2.4626	0.71956	0.85208	51.935	12.762	22.103	330.47	23.287	7.8874e-07	0.013176
16.764	0.028842	74.566	0.013411	-0.066644	-0.065864	-3.4394	10.884	16.200	1208.7	-1.3146	1.8677e-05	0.10140	0.0025390	0.43485	2.2996	0.72138	0.85508	51.497	12.773	22.175	331.96	22.967	7.9882e-07	0.013367
16.939	0.030990	74.402	0.013441	-0.063803	-0.062963	-3.2707	10.914	16.351	1204.7	-1.2973	1.8354e-05	0.10158	0.0025083	0.46340	2.1580	0.72308	0.85789	51.091	12.783	22.245	333.34	22.674	8.0836e-07	0.013550
17.106	0.033139	74.244	0.013469	-0.061081	-0.060181	-3.1107	10.942	16.495	1201.0	-1.2808	1.8055e-05	0.10175	0.0024791	0.49172	2.0337	0.72467	0.86053	50.713	12.792	22.315	334.63	22.404	8.1741e-07	0.013724
17.265	0.035287	74.093	0.013497	-0.058466	-0.057506	-2.9585	10.969	16.634	1197.3	-1.2652	1.7778e-05	0.10190	0.0024513	0.51985	1.9236	0.72617	0.86301	50.359	12.801	22.383	335.85	22.154	8.2604e-07	0.013892
17.417	0.037435	73.947	0.013523	-0.055946	-0.054926	-2.8131	10.994	16.767	1193.9	-1.2502	1.7520e-05	0.10204	0.0024248	0.54780	1.8255	0.72758	0.86535	50.026	12.809	22.450	337.00	21.922	8.3429e-07	0.014053
17.562	0.039584	73.806	0.013549	-0.053513	-0.052432	-2.6738	11.017	16.897	1190.5	-1.2359	1.7279e-05	0.10217	0.0023994	0.57557	1.7374	0.72893	0.86756	49.712	12.817	22.516	338.09	21.704	8.4220e-07	0.014209
17.702	0.041732	73.670	0.013574	-0.051159	-0.050017	-2.5402	11.039	17.023	1187.2	-1.2221	1.7052e-05	0.10229	0.0023750	0.60319	1.6578	0.73020	0.86967	49.414	12.825	22.581	339.12	21.500	8.4980e-07	0.014359
17.836	0.043881	73.537	0.013599	-0.048877	-0.047674	-2.4116	11.060	17.145	1184.1	-1.2088	1.6838e-05	0.10240	0.0023515	0.63066	1.5856	0.73141	0.87167	49.132	12.832	22.646	340.10	21.308	8.5712e-07	0.014505
17.966	0.046029	73.408	0.013622	-0.046661	-0.045397	-2.2877	11.079	17.264	1181.0	-1.1960	1.6635e-05	0.10250	0.0023288	0.65800	1.5198	0.73256	0.87358	48.863	12.840	22.710	341.04	21.126	8.6419e-07	0.014646
18.092	0.048177	73.283	0.013646	-0.044506	-0.043181	-2.1681	11.098	17.379	1178.0	-1.1836	1.6443e-05	0.10260	0.0023070	0.68521	1.4594	0.73367	0.87540	48.606	12.847	22.773	341.93	20.954	8.7102e-07	0.014784
18.213	0.050326	73.161	0.013668	-0.042407	-0.041021	-2.0523	11.116	17.492	1175.1	-1.1716	1.6261e-05	0.10269	0.0022858	0.71229	1.4039	0.73472	0.87715	48.361	12.854	22.836	342.79	20.790	8.7763e-07	0.014918
18.330	0.052474	73.042	0.013691	-0.040361	-0.038913	-1.9402	11.133	17.603	1172.2	-1.1599	1.6088e-05	0.10277	0.0022653	0.73926	1.3527	0.73573	0.87882	48.126	12.860	22.899	343.61	20.635	8.8404e-07	0.015049
18.445	0.054623	72.926	0.013713	-0.038364	-0.036854	-1.8315	11.150	17.711	1169.4	-1.1486	1.5922e-05	0.10285	0.0022454	0.76613	1.3053	0.73670	0.88042	47.900	12.867	22.961	344.40	20.486	8.9027e-07	0.015176
18.556	0.056771	72.812	0.013734	-0.036412	-0.034840	-1.7259	11.166	17.817	1166.7	-1.1376	1.5764e-05	0.10292	0.0022261	0.79290	1.2612	0.73763	0.88197	47.683	12.873	23.023	345.16	20.344	8.9633e-07	0.015301
18.663	0.058919	72.701	0.013755	-0.034503	-0.032870	-1.6231	11.181	17.921	1164.0	-1.1269	1.5612e-05	0.10299	0.0022073	0.81957	1.2202	0.73852	0.88345	47.474	12.880	23.084	345.89	20.208	9.0222e-07	0.015423
18.768	0.061068	72.592	0.013776	-0.032634	-0.030939	-1.5232	11.196	18.023	1161.4	-1.1164	1.5467e-05	0.10305	0.0021891	0.84615	1.1818	0.73939	0.88488	47.272	12.886	23.145	346.59	20.077	9.0797e-07	0.015542
18.871	0.063216	72.485	0.013796	-0.030803	-0.029045	-1.4257	11.210	18.124	1158.8	-1.1062	1.5327e-05	0.10311	0.0021713	0.87264	1.1459	0.74022	0.88625	47.078	12.893	23.206	347.27	19.951	9.1357e-07	0.015659
18.971	0.065365	72.380	0.013816	-0.029008	-0.027188	-1.3307	11.224	18.222	1156.3	-1.0962	1.5193e-05	0.10317	0.0021539	0.89906	1.1123	0.74102	0.88758	46.889	12.899	23.267	347.93	19.830	9.1904e-07	0.015774
19.068	0.067513	72.278	0.013836	-0.027246	-0.025363	-1.2379	11.238	18.320	1153.8	-1.0864	1.5064e-05	0.10322	0.0021370	0.92540	1.0806	0.74179	0.88886	46.707	12.905	23.328	348.56	19.714	9.2439e-07	0.015887
19.163	0.069662	72.176	0.013855	-0.025516	-0.023571	-1.1473	11.251	18.415	1151.4	-1.0769	1.4939e-05	0.10327	0.0021204	0.95166	1.0508	0.74254	0.89010	46.531	12.911	23.388	349.17	19.601	9.2962e-07	0.015998
19.257	0.071810	72.077	0.013874	-0.023817	-0.021808	-1.0587	11.264	18.510	1148.9	-1.0675	1.4819e-05	0.10332	0.0021042	0.97786	1.0226	0.74326	0.89130	46.359	12.918	23.448	349.77	19.492	9.3473e-07	0.016106
19.348	0.073958	71.979	0.013893	-0.022146	-0.020075	-0.97197	11.276	18.603	1146.6	-1.0583	1.4702e-05	0.10336	0.0020884	1.0040	0.99603	0.74396	0.89246	46.193	12.924	23.508	350.34	19.387	9.3975e-07	0.016213
19.437	0.076107	71.883	0.013911	-0.020502	-0.018368	-0.88707	11.288	18.694	1144.2	-1.0493	1.4590e-05	0.10340	0.0020729	1.0301	0.97083	0.74463	0.89358	46.031	12.930	23.568	350.90	19.285	9.4466e-07	0.016319
19.524	0.078255	71.788	0.013930	-0.018885	-0.016687	-0.80389	11.300	18.785	1141.9	-1.0404	1.4481e-05	0.10344	0.0020578	1.0561	0.94692	0.74529	0.89467	45.874	12.936	23.628	351.44	19.186	9.4948e-07	0.016422
19.610	0.080404	71.695	0.013948	-0.017292	-0.015031	-0.72235	11.311	18.875	1139.6	-1.0317	1.4375e-05	0.10347	0.0020429	1.0820	0.92421	0.74592	0.89572	45.721	12.942	23.687	351.97	19.090	9.5421e-07	0.016524
19.694	0.082552	71.603	0.013966	-0.015723	-0.013399	-0.64236	11.323	18.963	1137.4	-1.0231	1.4273e-05	0.10351	0.0020283	1.1079	0.90261	0.74654	0.89675	45.572	12.948	23.747	352.48	18.997	9.5885e-07	0.016625
19.777	0.084700	71.512	0.013984	-0.014177	-0.011789	-0.56386	11.334	19.051	1135.2	-1.0147	1.4173e-05	0.10354	0.0020140	1.1337	0.88204	0.74714	0.89774	45.426	12.954	23.806	352.98	18.907	9.6341e-07	0.016724
19.858	0.086849	71.423	0.014001	-0.012652	-0.010201	-0.48677	11.344	19.138	1133.0	-1.0064	1.4077e-05	0.10357	0.0020000	1.1595	0.86242	0.74772	0.89871	45.284	12.960	23.866	353.47	18.818	9.6790e-07	0.016822
19.937	0.088997	71.335	0.014018	-0.011148	-0.0086334	-0.41104	11.355	19.223	1130.8	-0.99823	1.3983e-05	0.10359	0.0019863	1.1853	0.84369	0.74828	0.89964	45.146	12.966	23.925	353.94	18.733	9.7231e-07	0.016919
20.015	0.091146	71.247	0.014036	-0.0096646	-0.0070858	-0.33661	11.365	19.308	1128.7	-0.99018	1.3892e-05	0.10362	0.0019727	1.2110	0.82578	0.74883	0.90055	45.010	12.972	23.984	354.40	18.649	9.7665e-07	0.017014
20.092	0.093294	71.161	0.014053	-0.0082000	-0.0055572	-0.26342	11.375	19.392	1126.6	-0.98224	1.3803e-05	0.10364	0.0019594	1.2366	0.80865	0.74936	0.90144	44.878	12.978	24.043	354.84	18.567	9.8092e-07	0.017109
20.168	0.095442	71.076	0.014069	-0.0067539	-0.0040469	-0.19142	11.385	19.476	1124.5	-0.97442	1.3716e-05	0.10366	0.0019464	1.2622	0.79224	0.74988	0.90230	44.749	12.984	24.102	355.28	18.488	9.8512e-07	0.017202
