Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.6622	0.60163	17.946	20.023	93.517	25.715	34.523	284.20	25.434	1.0436e-05	0.011585	vapor
263.15	0.10132	1.5965	0.62636	18.205	20.368	94.853	25.740	34.484	289.90	23.138	1.0866e-05	0.012143	vapor
273.15	0.10132	1.5361	0.65102	18.465	20.713	96.139	25.785	34.476	295.46	21.152	1.1298e-05	0.012706	vapor
283.15	0.10132	1.4802	0.67560	18.725	21.058	97.379	25.846	34.493	300.88	19.421	1.1733e-05	0.013276	vapor
293.15	0.10132	1.4283	0.70013	18.985	21.403	98.577	25.922	34.532	306.16	17.904	1.2169e-05	0.013852	vapor
303.15	0.10132	1.3801	0.72461	19.246	21.748	99.736	26.011	34.589	311.33	16.565	1.2605e-05	0.014433	vapor
313.15	0.10132	1.3350	0.74905	19.508	22.095	100.86	26.110	34.662	316.38	15.376	1.3043e-05	0.015019	vapor
323.15	0.10132	1.2929	0.77345	19.771	22.442	101.95	26.218	34.747	321.32	14.317	1.3482e-05	0.015611	vapor
333.15	0.10132	1.2534	0.79782	20.035	22.790	103.01	26.335	34.845	326.16	13.368	1.3920e-05	0.016209	vapor
343.15	0.10132	1.2163	0.82217	20.299	23.139	104.04	26.460	34.952	330.91	12.514	1.4359e-05	0.016811	vapor
353.15	0.10132	1.1814	0.84649	20.566	23.489	105.05	26.591	35.068	335.57	11.742	1.4798e-05	0.017419	vapor
363.15	0.10132	1.1484	0.87079	20.833	23.840	106.03	26.727	35.191	340.14	11.041	1.5237e-05	0.018032	vapor
373.15	0.10132	1.1172	0.89508	21.102	24.193	106.99	26.868	35.321	344.64	10.404	1.5676e-05	0.018650	vapor
383.15	0.10132	1.0877	0.91934	21.372	24.546	107.92	27.014	35.456	349.06	9.8212	1.6114e-05	0.019273	vapor
393.15	0.10132	1.0598	0.94360	21.643	24.902	108.84	27.164	35.597	353.40	9.2873	1.6552e-05	0.019900	vapor
403.15	0.10132	1.0332	0.96784	21.916	25.258	109.73	27.317	35.742	357.68	8.7966	1.6989e-05	0.020532	vapor
413.15	0.10132	1.0080	0.99207	22.191	25.617	110.61	27.474	35.890	361.89	8.3443	1.7426e-05	0.021169	vapor
423.15	0.10132	0.98397	1.0163	22.467	25.976	111.47	27.633	36.043	366.03	7.9262	1.7862e-05	0.021810	vapor
433.15	0.10132	0.96108	1.0405	22.744	26.337	112.32	27.794	36.198	370.12	7.5388	1.8297e-05	0.022457	vapor
443.15	0.10132	0.93923	1.0647	23.023	26.700	113.14	27.958	36.357	374.15	7.1790	1.8731e-05	0.023107	vapor
453.15	0.10132	0.91836	1.0889	23.304	27.065	113.96	28.124	36.517	378.12	6.8441	1.9165e-05	0.023762	vapor
