Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
187.69	0.023250	992.32	0.0010077	-1.7214	-1.7206	-8.5898	44.390	68.835	1437.9	-0.34040	undefined	undefined	0.033767	0.51186	1.9537	16.328	17.876	95.817	25.347	34.000	245.84	55.735	undefined	undefined
195.40	0.038211	979.31	0.0010211	-1.1925	-1.1912	-5.8284	43.525	68.448	1397.5	-0.33596	0.00042581	0.26294	0.032080	0.81091	1.2332	16.506	18.112	92.960	25.488	34.285	250.29	49.855	7.9937e-06	0.0085592
200.94	0.053172	969.85	0.0010311	-0.81412	-0.81225	-3.9187	42.945	68.241	1368.5	-0.33175	0.00037022	0.25636	0.030876	1.1007	0.90847	16.632	18.278	91.086	25.607	34.532	253.32	46.206	8.2279e-06	0.0088242
205.34	0.068134	962.28	0.0010392	-0.51447	-0.51206	-2.4435	42.508	68.119	1345.4	-0.32776	0.00033698	0.25115	0.029926	1.3842	0.72242	16.730	18.407	89.693	25.714	34.756	255.63	43.601	8.4159e-06	0.0090354
209.02	0.083095	955.89	0.0010461	-0.26400	-0.26103	-1.2344	42.158	68.044	1326.1	-0.32396	0.00031440	0.24680	0.029135	1.6629	0.60134	16.811	18.513	88.586	25.810	34.963	257.48	41.597	8.5747e-06	0.0092129
212.21	0.098056	950.32	0.0010523	-0.047407	-0.043891	-0.20596	41.865	68.001	1309.4	-0.32030	0.00029779	0.24308	0.028453	1.9378	0.51604	16.879	18.604	87.668	25.900	35.158	259.03	39.980	8.7130e-06	0.0093673
215.03	0.11302	945.36	0.0010578	0.14428	0.14835	0.69146	41.613	67.978	1294.6	-0.31678	0.00028489	0.23979	0.027851	2.2096	0.45258	16.939	18.683	86.884	25.984	35.343	260.36	38.632	8.8363e-06	0.0095046
217.58	0.12798	940.86	0.0010629	0.31682	0.32145	1.4892	41.393	67.971	1281.2	-0.31336	0.00027447	0.23683	0.027311	2.4786	0.40345	16.993	18.753	86.201	26.063	35.520	261.51	37.481	8.9479e-06	0.0096289
219.89	0.14294	936.73	0.0010675	0.47413	0.47933	2.2085	41.196	67.975	1269.0	-0.31004	0.00026581	0.23413	0.026821	2.7454	0.36424	17.041	18.815	85.595	26.139	35.690	262.54	36.481	9.0501e-06	0.0097428
222.03	0.15790	932.91	0.0010719	0.61902	0.62479	2.8644	41.020	67.987	1257.7	-0.30680	0.00025843	0.23166	0.026370	3.0102	0.33220	17.085	18.872	85.051	26.211	35.854	263.45	35.598	9.1446e-06	0.0098484
224.01	0.17286	929.34	0.0010760	0.75356	0.75990	3.4677	40.859	68.007	1247.3	-0.30363	0.00025202	0.22937	0.025953	3.2732	0.30551	17.125	18.925	84.557	26.280	36.014	264.28	34.810	9.2327e-06	0.0099469
225.86	0.18782	925.99	0.0010799	0.87932	0.88624	4.0270	40.712	68.033	1237.5	-0.30052	0.00024639	0.22724	0.025564	3.5347	0.28291	17.162	18.973	84.105	26.347	36.169	265.03	34.100	9.3153e-06	0.010040
227.61	0.20278	922.82	0.0010836	0.99756	1.0050	4.5485	40.576	68.063	1228.3	-0.29746	0.00024136	0.22523	0.025199	3.7947	0.26352	17.197	19.018	83.689	26.411	36.320	265.72	33.455	9.3932e-06	0.010127
229.25	0.21775	919.82	0.0010872	1.1092	1.1173	5.0376	40.450	68.098	1219.6	-0.29446	0.00023684	0.22335	0.024856	4.0535	0.24670	17.229	19.060	83.303	26.473	36.468	266.36	32.864	9.4669e-06	0.010211
230.81	0.23271	916.96	0.0010906	1.2152	1.2238	5.4982	40.333	68.135	1211.3	-0.29151	0.00023272	0.22157	0.024531	4.3111	0.23196	17.259	19.099	82.943	26.534	36.613	266.94	32.321	9.5370e-06	0.010290
232.29	0.24767	914.23	0.0010938	1.3160	1.3252	5.9338	40.222	68.176	1203.4	-0.28859	0.00022896	0.21988	0.024222	4.5676	0.21893	17.288	19.136	82.606	26.593	36.755	267.49	31.818	9.6039e-06	0.010366
233.71	0.26263	911.61	0.0010970	1.4123	1.4221	6.3471	40.119	68.218	1195.9	-0.28571	0.00022548	0.21827	0.023928	4.8232	0.20733	17.315	19.170	82.289	26.650	36.895	268.00	31.350	9.6678e-06	0.010440
235.06	0.27759	909.09	0.0011000	1.5045	1.5149	6.7406	40.021	68.263	1188.7	-0.28287	0.00022226	0.21673	0.023648	5.0779	0.19693	17.340	19.203	81.990	26.706	37.032	268.47	30.914	9.7292e-06	0.010510
236.36	0.29255	906.66	0.0011029	1.5930	1.6040	7.1161	39.929	68.310	1181.7	-0.28006	0.00021926	0.21526	0.023379	5.3318	0.18755	17.364	19.234	81.706	26.760	37.167	268.91	30.505	9.7881e-06	0.010578
237.61	0.30751	904.32	0.0011058	1.6781	1.6897	7.4755	39.841	68.359	1175.1	-0.27727	0.00021646	0.21385	0.023121	5.5850	0.17905	17.388	19.264	81.437	26.813	37.300	269.33	30.121	9.8449e-06	0.010644
238.82	0.32248	902.06	0.0011086	1.7602	1.7723	7.8201	39.757	68.409	1168.6	-0.27452	0.00021382	0.21250	0.022873	5.8374	0.17131	17.410	19.292	81.181	26.866	37.431	269.72	29.759	9.8998e-06	0.010709
239.98	0.33744	899.86	0.0011113	1.8394	1.8522	8.1512	39.678	68.460	1162.4	-0.27178	0.00021133	0.21119	0.022634	6.0892	0.16423	17.431	19.319	80.937	26.917	37.561	270.09	29.417	9.9528e-06	0.010771
