Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	602.91	0.0016586	9.0181	9.0279	48.274	88.190	126.84	1075.6	-0.41234	0.00025199	0.10667	liquid
261.40	0.10132	593.82	0.0016840	10.074	10.084	52.379	89.823	129.16	1028.1	-0.38606	0.00022777	0.10329	liquid
261.40	0.10133	2.8266	0.35378	29.221	31.304	133.56	79.802	89.889	196.53	34.366	6.5791e-06	0.013201	vapor
263.15	0.10132	2.8050	0.35650	29.362	31.462	134.16	80.216	90.254	197.28	33.565	6.6235e-06	0.013369	vapor
273.15	0.10132	2.6887	0.37193	30.185	32.375	137.56	82.637	92.427	201.47	29.462	6.8759e-06	0.014343	vapor
283.15	0.10132	2.5828	0.38718	31.031	33.311	140.93	85.136	94.728	205.50	26.043	7.1261e-06	0.015341	vapor
293.15	0.10132	2.4858	0.40228	31.901	34.270	144.26	87.698	97.130	209.39	23.165	7.3744e-06	0.016365	vapor
303.15	0.10132	2.3965	0.41727	32.796	35.254	147.56	90.311	99.610	213.16	20.720	7.6208e-06	0.017414	vapor
313.15	0.10132	2.3140	0.43216	33.717	36.262	150.83	92.962	102.15	216.82	18.628	7.8656e-06	0.018488	vapor
323.15	0.10132	2.2373	0.44697	34.665	37.297	154.08	95.641	104.74	220.39	16.823	8.1086e-06	0.019587	vapor
333.15	0.10132	2.1659	0.46170	35.638	38.357	157.31	98.338	107.35	223.87	15.259	8.3502e-06	0.020712	vapor
343.15	0.10132	2.0992	0.47638	36.638	39.444	160.53	101.04	109.99	227.28	13.897	8.5902e-06	0.021861	vapor
353.15	0.10132	2.0366	0.49100	37.666	40.557	163.72	103.75	112.65	230.61	12.702	8.8289e-06	0.023036	vapor
363.15	0.10132	1.9779	0.50558	38.719	41.697	166.91	106.46	115.30	233.89	11.650	9.0661e-06	0.024237	vapor
373.15	0.10132	1.9226	0.52012	39.800	42.863	170.08	109.16	117.96	237.10	10.718	9.3021e-06	0.025463	vapor
383.15	0.10132	1.8705	0.53463	40.907	44.056	173.23	111.84	120.60	240.26	9.8893	9.5368e-06	0.026714	vapor
393.15	0.10132	1.8212	0.54910	42.041	45.275	176.37	114.50	123.22	243.37	9.1502	9.7702e-06	0.027991	vapor
403.15	0.10132	1.7745	0.56355	43.202	46.520	179.50	117.14	125.83	246.43	8.4888	1.0002e-05	0.029293	vapor
413.15	0.10132	1.7302	0.57797	44.388	47.792	182.61	119.75	128.42	249.45	7.8946	1.0234e-05	0.030621	vapor
423.15	0.10132	1.6881	0.59237	45.600	49.089	185.71	122.33	130.97	252.42	7.3591	1.0464e-05	0.031975	vapor
433.15	0.10132	1.6481	0.60675	46.838	50.411	188.80	124.88	133.50	255.35	6.8749	1.0692e-05	0.033354	vapor
443.15	0.10132	1.6100	0.62112	48.101	51.759	191.88	127.40	136.00	258.25	6.4358	1.0920e-05	0.034759	vapor
453.15	0.10132	1.5736	0.63547	49.388	53.131	194.94	129.88	138.46	261.11	6.0365	1.1147e-05	0.036189	vapor
