Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
113.73	2.2890e-08	740.34	0.0013507	-6.5316	-6.5316	-39.514	68.242	98.159	1999.8	-0.68375	0.0087673	0.15792	0.031720	1.4070e-06	7.1076e+05	20.462	21.408	206.15	42.812	51.127	139.39	577.37	2.8476e-06	0.0022717
206.59	0.0060484	651.16	0.0015357	3.3858	3.3863	23.723	80.170	115.73	1349.0	-0.52703	0.00048903	0.12630	0.020653	0.20573	4.8606	25.475	27.184	138.92	65.243	73.771	181.85	69.219	5.2443e-06	0.0085422
217.50	0.012097	640.19	0.0015620	4.6611	4.6622	29.739	81.865	118.09	1283.4	-0.50395	0.00041104	0.12166	0.019355	0.39223	2.5495	26.183	27.975	136.93	67.936	76.609	185.66	58.805	5.5147e-06	0.0094160
224.53	0.018145	633.03	0.0015797	5.4968	5.4984	33.520	83.015	119.68	1241.7	-0.48803	0.00037005	0.11866	0.018521	0.57170	1.7492	26.650	28.494	135.94	69.720	78.519	187.92	53.293	5.6874e-06	0.0099930
229.85	0.024193	627.55	0.0015935	6.1364	6.1387	36.336	83.917	120.92	1210.4	-0.47537	0.00034285	0.11640	0.017891	0.74675	1.3391	27.008	28.891	135.33	71.098	80.012	189.51	49.633	5.8172e-06	0.010437
234.18	0.030242	623.05	0.0016050	6.6623	6.6652	38.602	84.672	121.96	1185.0	-0.46463	0.00032276	0.11457	0.017379	0.91861	1.0886	27.304	29.217	134.90	72.238	81.261	190.73	46.934	5.9225e-06	0.010802
237.86	0.036290	619.19	0.0016150	7.1129	7.1164	40.512	85.328	122.87	1163.6	-0.45517	0.00030698	0.11302	0.016945	1.0880	0.91913	27.557	29.496	134.60	73.221	82.347	191.71	44.818	6.0118e-06	0.011117
241.08	0.042338	615.80	0.0016239	7.5097	7.5137	42.168	85.912	123.68	1144.9	-0.44663	0.00029406	0.11166	0.016566	1.2554	0.79658	27.780	29.741	134.36	74.090	83.316	192.52	43.092	6.0896e-06	0.011394
243.96	0.048387	612.75	0.0016320	7.8657	7.8703	43.637	86.442	124.41	1128.2	-0.43879	0.00028317	0.11046	0.016229	1.4211	0.70369	27.981	29.960	134.18	74.874	84.197	193.21	41.642	6.1589e-06	0.011643
246.56	0.054435	609.98	0.0016394	8.1897	8.1949	44.958	86.928	125.08	1113.2	-0.43151	0.00027380	0.10938	0.015924	1.5854	0.63077	28.163	30.159	134.04	75.590	85.006	193.79	40.397	6.2216e-06	0.011870
248.94	0.060483	607.43	0.0016463	8.4880	8.4938	46.162	87.378	125.71	1099.5	-0.42469	0.00026560	0.10839	0.015645	1.7484	0.57194	28.331	30.341	133.93	76.251	85.759	194.30	39.312	6.2789e-06	0.012080
251.14	0.066532	605.06	0.0016527	8.7648	8.7712	47.269	87.799	126.30	1086.9	-0.41823	0.00025832	0.10748	0.015387	1.9104	0.52344	28.486	30.510	133.83	76.867	86.465	194.75	38.352	6.3319e-06	0.012275
253.18	0.072580	602.84	0.0016588	9.0236	9.0306	48.296	88.195	126.86	1075.1	-0.41209	0.00025179	0.10664	0.015148	2.0715	0.48275	28.632	30.668	133.76	77.444	87.130	195.15	37.494	6.3811e-06	0.012457
255.10	0.078628	600.75	0.0016646	9.2671	9.2747	49.254	88.569	127.38	1064.1	-0.40622	0.00024588	0.10585	0.014925	2.2317	0.44810	28.768	30.816	133.70	77.989	87.761	195.50	36.721	6.4273e-06	0.012629
256.91	0.084677	598.78	0.0016701	9.4971	9.5054	50.152	88.925	127.88	1053.8	-0.40058	0.00024050	0.10511	0.014714	2.3911	0.41822	28.898	30.956	133.65	78.504	88.362	195.82	36.017	6.4708e-06	0.012792
