Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	4.0481	0.24703	9.7254	11.823	91.004	12.502	20.937	204.38	10.625	2.1820e-05	0.0081309	vapor
263.15	0.10132	3.8928	0.25689	9.8510	12.032	91.815	12.498	20.922	208.42	9.9516	2.2621e-05	0.0084287	vapor
273.15	0.10132	3.7490	0.26674	9.9765	12.241	92.595	12.494	20.908	212.38	9.3457	2.3411e-05	0.0087225	vapor
283.15	0.10132	3.6155	0.27659	10.102	12.450	93.347	12.492	20.897	216.26	8.7972	2.4191e-05	0.0090123	vapor
293.15	0.10132	3.4912	0.28643	10.227	12.659	94.072	12.489	20.887	220.07	8.2982	2.4960e-05	0.0092982	vapor
303.15	0.10132	3.3753	0.29627	10.352	12.868	94.772	12.487	20.879	223.82	7.8421	2.5719e-05	0.0095801	vapor
313.15	0.10132	3.2668	0.30611	10.478	13.077	95.450	12.486	20.871	227.50	7.4235	2.6467e-05	0.0098583	vapor
323.15	0.10132	3.1652	0.31594	10.603	13.286	96.106	12.484	20.865	231.12	7.0379	2.7205e-05	0.010133	vapor
333.15	0.10132	3.0697	0.32577	10.728	13.494	96.741	12.483	20.859	234.69	6.6815	2.7934e-05	0.010404	vapor
343.15	0.10132	2.9798	0.33560	10.853	13.703	97.358	12.482	20.854	238.20	6.3509	2.8654e-05	0.010671	vapor
353.15	0.10132	2.8950	0.34542	10.978	13.911	97.957	12.481	20.849	241.66	6.0435	2.9364e-05	0.010935	vapor
363.15	0.10132	2.8150	0.35524	11.103	14.120	98.539	12.480	20.845	245.07	5.7568	3.0066e-05	0.011196	vapor
373.15	0.10132	2.7392	0.36506	11.228	14.328	99.106	12.480	20.841	248.43	5.4888	3.0759e-05	0.011454	vapor
383.15	0.10132	2.6675	0.37488	11.353	14.536	99.657	12.479	20.838	251.75	5.2377	3.1444e-05	0.011709	vapor
393.15	0.10132	2.5994	0.38470	11.478	14.745	100.19	12.478	20.834	255.02	5.0018	3.2121e-05	0.011961	vapor
403.15	0.10132	2.5347	0.39452	11.603	14.953	100.72	12.478	20.832	258.25	4.7799	3.2791e-05	0.012210	vapor
413.15	0.10132	2.4732	0.40433	11.728	15.161	101.23	12.478	20.829	261.44	4.5707	3.3454e-05	0.012456	vapor
423.15	0.10132	2.4146	0.41414	11.853	15.370	101.73	12.477	20.827	264.59	4.3732	3.4109e-05	0.012700	vapor
433.15	0.10132	2.3587	0.42396	11.978	15.578	102.21	12.477	20.825	267.70	4.1863	3.4758e-05	0.012941	vapor
443.15	0.10132	2.3054	0.43377	12.103	15.786	102.69	12.477	20.823	270.78	4.0093	3.5400e-05	0.013180	vapor
453.15	0.10132	2.2544	0.44358	12.228	15.994	103.15	12.476	20.821	273.82	3.8414	3.6035e-05	0.013416	vapor
