Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
115.77	0.073530	2446.6	0.00040872	-0.17518	-0.17266	-1.4582	21.225	43.334	698.95	-0.50798	undefined	undefined	0.016418	6.5735	0.15213	7.9735	8.9108	77.000	13.270	22.597	136.13	49.753	undefined	undefined
117.18	0.082616	2436.0	0.00041050	-0.11431	-0.11147	-0.93558	21.111	43.408	693.14	-0.50299	0.00043591	0.094188	0.016112	7.3138	0.13673	7.9861	8.9326	76.245	13.328	22.744	136.77	48.321	1.0123e-05	0.0037838
118.47	0.091702	2426.2	0.00041216	-0.058359	-0.055192	-0.46060	21.008	43.481	687.79	-0.49816	0.00042155	0.093272	0.015832	8.0475	0.12426	7.9973	8.9522	75.569	13.384	22.885	137.34	47.065	1.0246e-05	0.0038315
119.67	0.10079	2417.1	0.00041371	-0.0064712	-0.0029771	-0.024715	20.915	43.555	682.82	-0.49349	0.00040890	0.092426	0.015574	8.7753	0.11396	8.0075	8.9699	74.958	13.438	23.023	137.86	45.948	1.0360e-05	0.0038761
120.78	0.10987	2408.6	0.00041518	0.041993	0.045815	0.37851	20.830	43.629	678.18	-0.48894	0.00039761	0.091639	0.015333	9.4979	0.10529	8.0168	8.9861	74.399	13.490	23.156	138.33	44.944	1.0467e-05	0.0039181
121.83	0.11896	2400.5	0.00041657	0.087529	0.091682	0.75401	20.751	43.703	673.82	-0.48450	0.00038745	0.090910	0.015109	10.216	0.097887	8.0253	9.0010	73.885	13.539	23.287	138.77	44.034	1.0568e-05	0.0039579
122.81	0.12804	2392.9	0.00041790	0.13053	0.13501	1.1057	20.678	43.776	669.69	-0.48017	0.00037823	0.090219	0.014897	10.930	0.091495	8.0331	9.0148	73.409	13.588	23.414	139.17	43.203	1.0664e-05	0.0039958
123.75	0.13713	2385.7	0.00041917	0.17131	0.17613	1.4366	20.609	43.849	665.78	-0.47593	0.00036981	0.089565	0.014698	11.639	0.085915	8.0404	9.0276	72.965	13.635	23.539	139.54	42.439	1.0755e-05	0.0040320
124.64	0.14622	2378.8	0.00042039	0.21013	0.21528	1.7493	20.545	43.922	662.05	-0.47177	0.00036207	0.088944	0.014508	12.346	0.080999	8.0471	9.0396	72.550	13.680	23.662	139.89	41.732	1.0842e-05	0.0040668
125.48	0.15530	2372.1	0.00042156	0.24720	0.25269	2.0458	20.485	43.994	658.49	-0.46768	0.00035491	0.088352	0.014328	13.049	0.076634	8.0534	9.0507	72.159	13.724	23.782	140.22	41.076	1.0925e-05	0.0041002
126.29	0.16439	2365.8	0.00042269	0.28270	0.28853	2.3280	20.428	44.066	655.08	-0.46366	0.00034827	0.087786	0.014157	13.749	0.072732	8.0593	9.0612	71.791	13.768	23.900	140.52	40.463	1.1006e-05	0.0041324
127.07	0.17347	2359.7	0.00042379	0.31679	0.32295	2.5972	20.374	44.137	651.80	-0.45970	0.00034209	0.087244	0.013992	14.447	0.069220	8.0648	9.0710	71.442	13.810	24.017	140.81	39.889	1.1083e-05	0.0041635
127.82	0.18256	2353.7	0.00042485	0.34960	0.35610	2.8547	20.322	44.208	648.64	-0.45579	0.00033630	0.086724	0.013835	15.142	0.066043	8.0700	9.0803	71.112	13.851	24.132	141.08	39.350	1.1157e-05	0.0041937
128.53	0.19165	2348.0	0.00042589	0.38123	0.38807	3.1016	20.273	44.279	645.59	-0.45194	0.00033086	0.086224	0.013683	15.834	0.063155	8.0749	9.0891	70.797	13.892	24.245	141.34	38.841	1.1229e-05	0.0042230
129.23	0.20073	2342.5	0.00042689	0.41179	0.41897	3.3389	20.227	44.350	642.64	-0.44814	0.00032574	0.085741	0.013538	16.524	0.060516	8.0795	9.0975	70.496	13.931	24.357	141.58	38.360	1.1299e-05	0.0042515
129.90	0.20982	2337.2	0.00042787	0.44136	0.44889	3.5673	20.182	44.420	639.79	-0.44438	0.00032091	0.085275	0.013397	17.213	0.058096	8.0839	9.1054	70.208	13.970	24.468	141.81	37.904	1.1367e-05	0.0042793
130.55	0.21890	2332.0	0.00042883	0.47002	0.47789	3.7875	20.139	44.489	637.03	-0.44066	0.00031634	0.084825	0.013261	17.899	0.055868	8.0880	9.1129	69.933	14.008	24.578	142.03	37.471	1.1433e-05	0.0043063
131.17	0.22799	2326.9	0.00042976	0.49783	0.50604	4.0001	20.098	44.559	634.34	-0.43699	0.00031201	0.084389	0.013130	18.584	0.053810	8.0920	9.1200	69.669	14.045	24.686	142.24	37.058	1.1497e-05	0.0043328
131.78	0.23707	2322.0	0.00043067	0.52486	0.53341	4.2058	20.058	44.628	631.73	-0.43334	0.00030788	0.083966	0.013003	19.267	0.051902	8.0957	9.1268	69.414	14.082	24.793	142.44	36.665	1.1559e-05	0.0043586
132.38	0.24616	2317.2	0.00043156	0.55115	0.56005	4.4050	20.020	44.697	629.19	-0.42974	0.00030396	0.083555	0.012879	19.948	0.050129	8.0992	9.1333	69.169	14.118	24.899	142.63	36.289	1.1620e-05	0.0043839
132.95	0.25525	2312.5	0.00043244	0.57676	0.58601	4.5982	19.983	44.765	626.72	-0.42616	0.00030021	0.083155	0.012760	20.628	0.048477	8.1026	9.1395	68.933	14.154	25.005	142.82	35.929	1.1680e-05	0.0044087
