Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	0.77468	1.2909	10.921	13.019	101.34	26.053	34.483	415.44	6.0477	9.5791e-06	0.028041	vapor
263.15	0.10132	0.74496	1.3424	11.183	13.365	102.68	26.300	34.720	423.17	5.6164	9.9192e-06	0.029307	vapor
273.15	0.10132	0.71746	1.3938	11.448	13.714	103.98	26.579	34.990	430.67	5.2231	1.0255e-05	0.030599	vapor
283.15	0.10132	0.69193	1.4452	11.716	14.065	105.24	26.889	35.292	437.94	4.8630	1.0586e-05	0.031920	vapor
293.15	0.10132	0.66816	1.4966	11.987	14.420	106.47	27.229	35.625	445.01	4.5326	1.0914e-05	0.033271	vapor
303.15	0.10132	0.64598	1.5480	12.261	14.778	107.67	27.598	35.987	451.88	4.2285	1.1237e-05	0.034654	vapor
313.15	0.10132	0.62523	1.5994	12.540	15.139	108.85	27.994	36.378	458.57	3.9481	1.1556e-05	0.036070	vapor
323.15	0.10132	0.60578	1.6508	12.822	15.505	110.00	28.416	36.794	465.08	3.6892	1.1872e-05	0.037520	vapor
333.15	0.10132	0.58751	1.7021	13.109	15.875	111.13	28.861	37.234	471.44	3.4498	1.2183e-05	0.039004	vapor
343.15	0.10132	0.57031	1.7534	13.400	16.250	112.23	29.327	37.697	477.64	3.2281	1.2491e-05	0.040523	vapor
353.15	0.10132	0.55410	1.8047	13.696	16.629	113.32	29.814	38.180	483.71	3.0227	1.2796e-05	0.042075	vapor
363.15	0.10132	0.53878	1.8560	13.997	17.014	114.40	30.318	38.680	489.64	2.8321	1.3096e-05	0.043660	vapor
373.15	0.10132	0.52429	1.9073	14.303	17.403	115.45	30.838	39.198	495.46	2.6552	1.3394e-05	0.045278	vapor
383.15	0.10132	0.51057	1.9586	14.614	17.798	116.50	31.372	39.729	501.17	2.4908	1.3688e-05	0.046929	vapor
393.15	0.10132	0.49754	2.0099	14.931	18.198	117.53	31.919	40.273	506.78	2.3379	1.3978e-05	0.048611	vapor
403.15	0.10132	0.48516	2.0612	15.253	18.603	118.55	32.477	40.829	512.29	2.1957	1.4266e-05	0.050323	vapor
413.15	0.10132	0.47339	2.1124	15.581	19.014	119.55	33.044	41.394	517.71	2.0632	1.4550e-05	0.052064	vapor
423.15	0.10132	0.46218	2.1637	15.914	19.431	120.55	33.620	41.968	523.05	1.9396	1.4832e-05	0.053833	vapor
433.15	0.10132	0.45148	2.2149	16.253	19.854	121.54	34.202	42.548	528.32	1.8244	1.5111e-05	0.055630	vapor
443.15	0.10132	0.44127	2.2662	16.598	20.282	122.52	34.790	43.135	533.51	1.7168	1.5386e-05	0.057453	vapor
453.15	0.10132	0.43152	2.3174	16.949	20.716	123.49	35.383	43.726	538.63	1.6163	1.5660e-05	0.059301	vapor
