Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
90.694	0.011696	451.48	0.0022150	-1.1526	-1.1522	-11.389	34.776	54.029	1538.6	-0.48191	0.00019357	0.21119	0.017063	0.25074	3.9882	6.8310	7.5793	84.885	25.243	33.851	249.13	47.921	3.5978e-06	0.0087984
94.793	0.019342	445.99	0.0022422	-0.93074	-0.93005	-8.9968	34.370	54.280	1501.0	-0.47240	0.00017213	0.20622	0.016249	0.39809	2.5120	6.9273	7.7068	82.116	25.340	34.071	254.15	42.941	3.7355e-06	0.0092727
97.736	0.026988	441.99	0.0022625	-0.77079	-0.76981	-7.3350	34.103	54.497	1473.5	-0.46463	0.00015953	0.20250	0.015665	0.54038	1.8505	6.9953	7.7965	80.313	25.420	34.260	257.57	39.906	3.8359e-06	0.0096231
100.07	0.034634	438.79	0.0022790	-0.64336	-0.64210	-6.0464	33.902	54.687	1451.4	-0.45791	0.00015071	0.19946	0.015203	0.67920	1.4723	7.0485	7.8665	78.979	25.489	34.431	260.17	37.764	3.9163e-06	0.0099077
102.03	0.042279	436.08	0.0022932	-0.53630	-0.53474	-4.9868	33.739	54.857	1432.6	-0.45188	0.00014396	0.19688	0.014816	0.81539	1.2264	7.0925	7.9243	77.922	25.551	34.588	262.27	36.127	3.9842e-06	0.010151
103.72	0.049925	433.71	0.0023057	-0.44333	-0.44148	-4.0829	33.602	55.013	1416.3	-0.44637	0.00013852	0.19461	0.014481	0.94950	1.0532	7.1301	7.9736	77.048	25.608	34.735	264.02	34.814	4.0433e-06	0.010364
105.22	0.057571	431.60	0.0023170	-0.36074	-0.35860	-3.2923	33.482	55.157	1401.7	-0.44124	0.00013397	0.19258	0.014185	1.0819	0.92432	7.1631	8.0168	76.304	25.660	34.874	265.53	33.725	4.0959e-06	0.010557
106.58	0.065217	429.68	0.0023273	-0.28616	-0.28373	-2.5880	33.376	55.292	1388.5	-0.43642	0.00013007	0.19074	0.013919	1.2128	0.82454	7.1925	8.0552	75.655	25.710	35.007	266.85	32.798	4.1435e-06	0.010732
107.81	0.072863	427.93	0.0023369	-0.21797	-0.21524	-1.9518	33.281	55.419	1376.4	-0.43184	0.00012665	0.18905	0.013676	1.3425	0.74490	7.2190	8.0897	75.082	25.756	35.135	268.02	31.995	4.1871e-06	0.010895
108.95	0.080509	426.30	0.0023458	-0.15501	-0.15198	-1.3707	33.194	55.541	1365.1	-0.42747	0.00012362	0.18748	0.013453	1.4710	0.67980	7.2432	8.1212	74.567	25.800	35.259	269.07	31.289	4.2273e-06	0.011046
110.00	0.088154	424.77	0.0023542	-0.096404	-0.093075	-0.83527	33.115	55.657	1354.7	-0.42327	0.00012089	0.18602	0.013246	1.5986	0.62554	7.2655	8.1502	74.101	25.842	35.379	270.02	30.660	4.2648e-06	0.011188
110.99	0.095800	423.34	0.0023622	-0.041507	-0.037876	-0.33834	33.041	55.768	1344.9	-0.41922	0.00011842	0.18465	0.013053	1.7253	0.57960	7.2862	8.1770	73.675	25.883	35.495	270.88	30.095	4.3000e-06	0.011322
111.92	0.10345	421.99	0.0023697	0.010202	0.014134	0.12571	32.972	55.876	1335.6	-0.41530	0.00011616	0.18335	0.012871	1.8513	0.54017	7.3054	8.2019	73.283	25.921	35.609	271.68	29.583	4.3331e-06	0.011450
112.80	0.11109	420.70	0.0023770	0.059132	0.063369	0.56131	32.908	55.980	1326.8	-0.41149	0.00011408	0.18212	0.012700	1.9765	0.50594	7.3234	8.2251	72.920	25.959	35.720	272.41	29.115	4.3645e-06	0.011571
113.63	0.11874	419.48	0.0023839	0.10562	0.11016	0.97204	32.847	56.081	1318.4	-0.40778	0.00011215	0.18096	0.012538	2.1011	0.47594	7.3404	8.2470	72.581	25.995	35.829	273.09	28.685	4.3943e-06	0.011688
114.42	0.12638	418.31	0.0023906	0.14994	0.15478	1.3608	32.790	56.180	1310.4	-0.40416	0.00011035	0.17985	0.012384	2.2251	0.44942	7.3564	8.2676	72.264	26.030	35.936	273.72	28.288	4.4228e-06	0.011800
115.18	0.13403	417.19	0.0023970	0.19231	0.19747	1.7301	32.736	56.276	1302.8	-0.40062	0.00010867	0.17878	0.012237	2.3486	0.42579	7.3715	8.2871	71.967	26.064	36.041	274.31	27.919	4.4500e-06	0.011907
115.90	0.14168	416.11	0.0024032	0.23295	0.23841	2.0819	32.684	56.370	1295.5	-0.39715	0.00010709	0.17776	0.012097	2.4715	0.40461	7.3859	8.3055	71.686	26.097	36.145	274.86	27.576	4.4761e-06	0.012011
116.59	0.14932	415.07	0.0024093	0.27200	0.27777	2.4180	32.635	56.462	1288.4	-0.39374	0.00010560	0.17678	0.011962	2.5940	0.38550	7.3996	8.3231	71.420	26.129	36.246	275.38	27.254	4.5012e-06	0.012112
117.26	0.15697	414.06	0.0024151	0.30961	0.31569	2.7397	32.588	56.552	1281.6	-0.39039	0.00010420	0.17584	0.011833	2.7161	0.36817	7.4127	8.3398	71.168	26.161	36.347	275.87	26.953	4.5254e-06	0.012209
117.91	0.16461	413.09	0.0024208	0.34591	0.35230	3.0485	32.544	56.640	1275.0	-0.38709	0.00010287	0.17492	0.011708	2.8378	0.35238	7.4252	8.3558	70.928	26.192	36.446	276.33	26.669	4.5487e-06	0.012304
118.53	0.17226	412.15	0.0024263	0.38099	0.38770	3.3455	32.500	56.728	1268.6	-0.38384	0.00010160	0.17404	0.011588	2.9591	0.33794	7.4372	8.3711	70.700	26.222	36.544	276.77	26.401	4.5713e-06	0.012396
119.13	0.17990	411.23	0.0024317	0.41497	0.42199	3.6315	32.459	56.814	1262.4	-0.38064	0.00010039	0.17319	0.011472	3.0801	0.32467	7.4487	8.3857	70.481	26.251	36.642	277.18	26.148	4.5932e-06	0.012486
119.71	0.18755	410.34	0.0024370	0.44791	0.45524	3.9075	32.419	56.898	1256.5	-0.37748	9.9244e-05	0.17236	0.011360	3.2007	0.31243	7.4597	8.3998	70.271	26.280	36.738	277.57	25.907	4.6144e-06	0.012573
120.28	0.19520	409.48	0.0024421	0.47989	0.48754	4.1741	32.381	56.982	1250.6	-0.37436	9.8144e-05	0.17156	0.011252	3.3211	0.30111	7.4704	8.4133	70.070	26.309	36.833	277.94	25.678	4.6351e-06	0.012658
120.82	0.20284	408.64	0.0024472	0.51098	0.51894	4.4322	32.344	57.064	1245.0	-0.37127	9.7090e-05	0.17078	0.011147	3.4412	0.29060	7.4806	8.4263	69.877	26.336	36.927	278.30	25.461	4.6551e-06	0.012742
121.36	0.21049	407.81	0.0024521	0.54124	0.54952	4.6822	32.308	57.146	1239.4	-0.36821	9.6078e-05	0.17003	0.011045	3.5610	0.28082	7.4905	8.4388	69.691	26.364	37.021	278.63	25.253	4.6746e-06	0.012824
121.87	0.21813	407.01	0.0024569	0.57071	0.57931	4.9247	32.273	57.226	1234.1	-0.36519	9.5107e-05	0.16929	0.010945	3.6805	0.27170	7.5001	8.4509	69.512	26.391	37.114	278.96	25.054	4.6937e-06	0.012904
122.38	0.22578	406.23	0.0024617	0.59946	0.60837	5.1602	32.240	57.306	1228.8	-0.36219	9.4172e-05	0.16857	0.010849	3.7999	0.26317	7.5093	8.4625	69.339	26.417	37.206	279.26	24.864	4.7122e-06	0.012982
122.87	0.23343	405.46	0.0024663	0.62751	0.63675	5.3891	32.207	57.385	1223.7	-0.35922	9.3271e-05	0.16787	0.010755	3.9190	0.25517	7.5183	8.4738	69.172	26.444	37.298	279.56	24.682	4.7304e-06	0.013059
123.35	0.24107	404.71	0.0024709	0.65492	0.66448	5.6119	32.176	57.463	1218.6	-0.35627	9.2402e-05	0.16718	0.010663	4.0379	0.24766	7.5269	8.4847	69.010	26.469	37.389	279.84	24.507	4.7481e-06	0.013134
123.82	0.24872	403.97	0.0024754	0.68172	0.69159	5.8288	32.145	57.541	1213.7	-0.35335	9.1562e-05	0.16652	0.010574	4.1566	0.24058	7.5353	8.4953	68.853	26.495	37.479	280.10	24.339	4.7655e-06	0.013209
124.28	0.25636	403.25	0.0024798	0.70793	0.71813	6.0403	32.115	57.618	1208.9	-0.35045	9.0751e-05	0.16586	0.010486	4.2751	0.23391	7.5435	8.5055	68.701	26.520	37.569	280.36	24.177	4.7824e-06	0.013282
