Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	828.60	0.0012069	-6.8708	-6.8669	-23.297	60.695	74.413	1255.6	-0.36880	0.0011622	0.20875	liquid
263.15	0.10132	819.13	0.0012208	-6.1210	-6.1171	-20.392	61.960	75.578	1219.1	-0.36076	0.00096171	0.20686	liquid
273.15	0.10132	809.73	0.0012350	-5.3587	-5.3547	-17.549	63.381	76.933	1183.7	-0.35164	0.00080596	0.20496	liquid
283.15	0.10132	800.37	0.0012494	-4.5818	-4.5777	-14.755	64.945	78.489	1149.4	-0.34129	0.00068323	0.20306	liquid
293.15	0.10132	791.01	0.0012642	-3.7883	-3.7842	-12.001	66.638	80.252	1116.2	-0.32962	0.00058530	0.20116	liquid
303.15	0.10132	781.63	0.0012794	-2.9762	-2.9720	-9.2771	68.441	82.223	1084.0	-0.31654	0.00050623	0.19926	liquid
313.15	0.10132	772.17	0.0012951	-2.1433	-2.1391	-6.5741	70.333	84.395	1052.5	-0.30198	0.00044164	0.19735	liquid
323.15	0.10132	762.58	0.0013113	-1.2877	-1.2834	-3.8846	72.296	86.766	1021.5	-0.28588	0.00038830	0.19543	liquid
333.15	0.10132	752.81	0.0013284	-0.40743	-0.40312	-1.2019	74.313	89.331	990.74	-0.26812	0.00034376	0.19350	liquid
337.63	0.10133	748.36	0.0013363	-0.0043384	5.2980e-15	0.0000	75.231	90.543	976.91	-0.25958	0.00032614	0.19263	liquid
337.63	0.10133	1.2208	0.81914	32.621	35.281	104.49	111.11	142.07	309.63	200.66	1.0817e-05	0.018965	vapor
363.15	0.10132	1.1002	0.90895	34.383	37.334	110.39	47.334	58.125	331.93	83.961	1.1700e-05	0.021521	vapor
373.15	0.10132	1.0666	0.93755	34.854	37.898	111.92	45.144	55.150	337.18	64.809	1.2044e-05	0.022580	vapor
383.15	0.10132	1.0359	0.96536	35.309	38.444	113.36	44.625	54.235	341.86	53.163	1.2387e-05	0.023668	vapor
393.15	0.10132	1.0073	0.99271	35.762	38.985	114.76	44.744	54.114	346.25	45.209	1.2731e-05	0.024785	vapor
403.15	0.10132	0.98061	1.0198	36.216	39.527	116.12	45.142	54.344	350.47	39.224	1.3074e-05	0.025929	vapor
413.15	0.10132	0.95545	1.0466	36.674	40.072	117.46	45.678	54.752	354.56	34.425	1.3418e-05	0.027100	vapor
423.15	0.10132	0.93171	1.0733	37.138	40.622	118.77	46.293	55.265	358.56	30.430	1.3761e-05	0.028295	vapor
433.15	0.10132	0.90922	1.0998	37.607	41.178	120.07	46.955	55.843	362.48	27.026	1.4105e-05	0.029516	vapor
443.15	0.10132	0.88789	1.1263	38.083	41.739	121.35	47.649	56.466	366.33	24.085	1.4448e-05	0.030759	vapor
453.15	0.10132	0.86761	1.1526	38.565	42.307	122.62	48.364	57.120	370.11	21.518	1.4792e-05	0.032026	vapor
