Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
293.81	0.013506	790.31	0.0012653	-3.7337	-3.7332	-11.815	66.756	80.380	1113.5	-0.32871	0.00057921	0.20099	0.022511	0.18116	5.5199	31.546	33.935	116.39	92.179	112.68	294.74	983.55	9.4858e-06	0.014754
307.39	0.027012	777.55	0.0012861	-2.6244	-2.6232	-8.1246	69.235	83.124	1070.1	-0.31046	0.00047704	0.19841	0.021375	0.34896	2.8656	31.888	34.368	112.22	99.316	122.76	299.92	566.91	9.9064e-06	0.015957
316.01	0.040518	769.38	0.0012998	-1.9003	-1.8986	-5.8016	70.889	85.057	1043.2	-0.29746	0.00042521	0.19677	0.020654	0.51211	1.9527	32.102	34.637	109.82	103.22	128.64	302.98	411.08	1.0170e-05	0.016764
322.45	0.054024	763.20	0.0013103	-1.3472	-1.3449	-4.0689	72.159	86.598	1023.3	-0.28698	0.00039158	0.19554	0.020111	0.67240	1.4872	32.260	34.834	108.13	105.83	132.82	305.13	327.63	1.0366e-05	0.017393
327.66	0.067529	758.16	0.0013190	-0.89307	-0.89022	-2.6718	73.202	87.902	1007.4	-0.27802	0.00036715	0.19455	0.019669	0.83068	1.2038	32.386	34.991	106.83	107.77	136.07	306.76	275.03	1.0522e-05	0.017917
332.06	0.081035	753.86	0.0013265	-0.50431	-0.50087	-1.4932	74.092	89.044	993.94	-0.27010	0.00034820	0.19370	0.019293	0.98745	1.0127	32.491	35.120	105.78	109.30	138.74	308.07	238.57	1.0653e-05	0.018372
335.88	0.094541	750.10	0.0013332	-0.16229	-0.15825	-0.46906	74.872	90.065	982.26	-0.26295	0.00033285	0.19297	0.018964	1.1430	0.87487	32.580	35.231	104.89	110.55	141.03	309.15	211.69	1.0766e-05	0.018777
339.27	0.10805	746.72	0.0013392	0.14447	0.14911	0.43970	75.568	90.995	971.89	-0.25638	0.00032002	0.19231	0.018671	1.2976	0.77064	32.659	35.327	104.13	111.61	143.05	310.06	190.97	1.0866e-05	0.019144
342.33	0.12155	743.66	0.0013447	0.42357	0.42880	1.2587	76.199	91.852	962.52	-0.25027	0.00030906	0.19172	0.018404	1.4514	0.68898	32.729	35.412	103.45	112.53	144.85	310.84	174.47	1.0955e-05	0.019481
345.12	0.13506	740.84	0.0013498	0.68031	0.68615	2.0057	76.775	92.649	953.96	-0.24455	0.00029953	0.19119	0.018160	1.6046	0.62322	32.791	35.488	102.85	113.34	146.50	311.51	160.99	1.1035e-05	0.019794
347.68	0.14856	738.23	0.0013546	0.91858	0.92503	2.6936	77.308	93.396	946.06	-0.23915	0.00029111	0.19069	0.017933	1.7571	0.56911	32.848	35.557	102.30	114.07	148.03	312.10	149.75	1.1109e-05	0.020088
