Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	0.97093	1.0299	4.3576	6.4634	111.12	12.473	20.794	417.21	-0.12751	2.8403e-05	0.043896	vapor
263.15	0.10132	0.93404	1.0706	4.4823	6.6714	111.93	12.473	20.793	425.36	-0.16304	2.9160e-05	0.045066	vapor
273.15	0.10132	0.89985	1.1113	4.6071	6.8793	112.70	12.473	20.793	433.36	-0.19564	2.9905e-05	0.046215	vapor
283.15	0.10132	0.86807	1.1520	4.7318	7.0872	113.45	12.473	20.792	441.21	-0.22563	3.0637e-05	0.047346	vapor
293.15	0.10132	0.83847	1.1927	4.8566	7.2951	114.17	12.473	20.792	448.93	-0.25329	3.1357e-05	0.048459	vapor
303.15	0.10132	0.81081	1.2333	4.9813	7.5030	114.87	12.473	20.791	456.52	-0.27888	3.2066e-05	0.049555	vapor
313.15	0.10132	0.78493	1.2740	5.1061	7.7110	115.55	12.473	20.791	463.98	-0.30260	3.2766e-05	0.050635	vapor
323.15	0.10132	0.76064	1.3147	5.2308	7.9189	116.20	12.473	20.791	471.32	-0.32465	3.3456e-05	0.051701	vapor
333.15	0.10132	0.73782	1.3553	5.3556	8.1268	116.83	12.473	20.790	478.55	-0.34517	3.4137e-05	0.052753	vapor
343.15	0.10132	0.71632	1.3960	5.4803	8.3347	117.45	12.473	20.790	485.67	-0.36432	3.4809e-05	0.053792	vapor
353.15	0.10132	0.69604	1.4367	5.6051	8.5426	118.05	12.473	20.790	492.69	-0.38221	3.5473e-05	0.054818	vapor
363.15	0.10132	0.67688	1.4774	5.7298	8.7505	118.63	12.473	20.790	499.61	-0.39896	3.6130e-05	0.055833	vapor
373.15	0.10132	0.65875	1.5180	5.8545	8.9584	119.19	12.473	20.789	506.44	-0.41466	3.6779e-05	0.056836	vapor
383.15	0.10132	0.64156	1.5587	5.9793	9.1663	119.74	12.473	20.789	513.18	-0.42941	3.7422e-05	0.057829	vapor
393.15	0.10132	0.62525	1.5994	6.1040	9.3741	120.28	12.473	20.789	519.82	-0.44327	3.8058e-05	0.058811	vapor
403.15	0.10132	0.60974	1.6400	6.2288	9.5820	120.80	12.473	20.789	526.39	-0.45633	3.8688e-05	0.059784	vapor
413.15	0.10132	0.59499	1.6807	6.3535	9.7899	121.31	12.473	20.789	532.87	-0.46863	3.9312e-05	0.060748	vapor
423.15	0.10132	0.58093	1.7214	6.4782	9.9978	121.80	12.473	20.789	539.28	-0.48024	3.9930e-05	0.061703	vapor
433.15	0.10132	0.56752	1.7620	6.6030	10.206	122.29	12.473	20.788	545.61	-0.49122	4.0542e-05	0.062649	vapor
443.15	0.10132	0.55472	1.8027	6.7277	10.414	122.76	12.473	20.788	551.86	-0.50160	4.1149e-05	0.063587	vapor
453.15	0.10132	0.54248	1.8434	6.8524	10.621	123.23	12.473	20.788	558.05	-0.51142	4.1751e-05	0.064517	vapor
