Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
24.556	0.043355	1249.7	0.00080019	-0.097036	-0.096336	-3.6952	18.692	37.165	636.98	-0.29027	0.00017136	0.10841	0.0056271	4.4134	0.22659	1.4967	1.6950	69.252	12.838	22.087	128.03	17.969	3.6929e-06	0.0057165
24.819	0.047719	1245.3	0.00080304	-0.087293	-0.086520	-3.3004	18.619	37.245	632.78	-0.28789	0.00016630	0.10738	0.0055394	4.8164	0.20762	1.4991	1.6991	68.645	12.868	22.187	128.58	17.633	3.7360e-06	0.0057847
25.063	0.052083	1241.1	0.00080571	-0.078197	-0.077350	-2.9356	18.553	37.325	628.84	-0.28557	0.00016178	0.10642	0.0054577	5.2163	0.19171	1.5013	1.7028	68.091	12.896	22.286	129.07	17.329	3.7764e-06	0.0058488
25.293	0.056446	1237.2	0.00080825	-0.069652	-0.068732	-2.5961	18.491	37.405	625.14	-0.28329	0.00015772	0.10553	0.0053812	5.6134	0.17814	1.5033	1.7063	67.582	12.924	22.382	129.53	17.050	3.8146e-06	0.0059096
25.509	0.060810	1233.5	0.00081067	-0.061584	-0.060589	-2.2784	18.434	37.484	621.64	-0.28106	0.00015403	0.10470	0.0053092	6.0080	0.16645	1.5052	1.7095	67.110	12.950	22.476	129.96	16.794	3.8509e-06	0.0059674
25.714	0.065174	1230.0	0.00081298	-0.053933	-0.052864	-1.9795	18.380	37.563	618.32	-0.27887	0.00015066	0.10391	0.0052411	6.4002	0.15625	1.5069	1.7124	66.672	12.976	22.568	130.35	16.558	3.8854e-06	0.0060226
25.908	0.069538	1226.7	0.00081520	-0.046649	-0.045506	-1.6972	18.330	37.641	615.14	-0.27672	0.00014756	0.10317	0.0051765	6.7903	0.14727	1.5085	1.7152	66.262	13.001	22.659	130.72	16.338	3.9184e-06	0.0060755
26.094	0.073902	1223.5	0.00081734	-0.039693	-0.038475	-1.4296	18.283	37.719	612.11	-0.27459	0.00014470	0.10247	0.0051149	7.1785	0.13930	1.5101	1.7178	65.877	13.026	22.749	131.07	16.133	3.9500e-06	0.0061263
26.271	0.078265	1220.4	0.00081940	-0.033031	-0.031737	-1.1750	18.239	37.797	609.20	-0.27250	0.00014204	0.10179	0.0050561	7.5649	0.13219	1.5115	1.7202	65.514	13.050	22.837	131.40	15.940	3.9805e-06	0.0061754
26.441	0.082629	1217.5	0.00082139	-0.026633	-0.025263	-0.93210	18.196	37.874	606.40	-0.27044	0.00013956	0.10115	0.0049998	7.9497	0.12579	1.5128	1.7225	65.171	13.073	22.924	131.70	15.759	4.0098e-06	0.0062228
