Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.3496	0.74098	5.2475	7.3508	186.71	20.809	29.181	324.36	3.0121	1.5656e-05	0.022492	vapor
263.15	0.10132	1.2981	0.77037	5.4559	7.6426	187.84	20.809	29.177	330.73	2.7893	1.6146e-05	0.023251	vapor
273.15	0.10132	1.2504	0.79975	5.6643	7.9343	188.93	20.811	29.174	336.97	2.5860	1.6629e-05	0.024001	vapor
283.15	0.10132	1.2061	0.82913	5.8726	8.2261	189.97	20.813	29.172	343.09	2.3999	1.7104e-05	0.024741	vapor
293.15	0.10132	1.1648	0.85849	6.0810	8.5178	190.99	20.816	29.172	349.10	2.2289	1.7573e-05	0.025473	vapor
303.15	0.10132	1.1263	0.88786	6.2894	8.8095	191.97	20.820	29.172	355.01	2.0713	1.8035e-05	0.026195	vapor
313.15	0.10132	1.0903	0.91721	6.4978	9.1012	192.91	20.825	29.175	360.81	1.9255	1.8490e-05	0.026910	vapor
323.15	0.10132	1.0565	0.94656	6.7062	9.3930	193.83	20.832	29.179	366.52	1.7903	1.8940e-05	0.027616	vapor
333.15	0.10132	1.0247	0.97591	6.9147	9.6848	194.72	20.840	29.185	372.14	1.6646	1.9383e-05	0.028315	vapor
343.15	0.10132	0.99477	1.0053	7.1233	9.9767	195.58	20.849	29.192	377.66	1.5474	1.9821e-05	0.029006	vapor
353.15	0.10132	0.96656	1.0346	7.3320	10.269	196.42	20.861	29.201	383.10	1.4380	2.0253e-05	0.029690	vapor
363.15	0.10132	0.93991	1.0639	7.5408	10.561	197.24	20.874	29.213	388.46	1.3355	2.0680e-05	0.030368	vapor
373.15	0.10132	0.91469	1.0933	7.7497	10.853	198.03	20.889	29.226	393.73	1.2394	2.1101e-05	0.031038	vapor
383.15	0.10132	0.89079	1.1226	7.9588	11.145	198.80	20.906	29.242	398.93	1.1492	2.1518e-05	0.031702	vapor
393.15	0.10132	0.86811	1.1519	8.1681	11.438	199.56	20.925	29.260	404.05	1.0642	2.1929e-05	0.032360	vapor
403.15	0.10132	0.84656	1.1813	8.3775	11.730	200.29	20.946	29.280	409.10	0.98411	2.2336e-05	0.033011	vapor
413.15	0.10132	0.82605	1.2106	8.5872	12.023	201.01	20.969	29.302	414.07	0.90851	2.2739e-05	0.033657	vapor
423.15	0.10132	0.80651	1.2399	8.7971	12.317	201.71	20.995	29.327	418.98	0.83705	2.3137e-05	0.034297	vapor
433.15	0.10132	0.78788	1.2692	9.0073	12.610	202.40	21.023	29.354	423.82	0.76943	2.3530e-05	0.034931	vapor
443.15	0.10132	0.77009	1.2985	9.2177	12.904	203.07	21.053	29.383	428.60	0.70535	2.3920e-05	0.035560	vapor
453.15	0.10132	0.75309	1.3279	9.4285	13.198	203.72	21.086	29.415	433.31	0.64457	2.4306e-05	0.036184	vapor
