Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
63.151	0.012520	867.22	0.0011531	-4.2230	-4.2226	67.951	32.951	56.033	995.28	-0.40419	0.00031159	0.17328	0.012205	0.67427	1.4831	1.2945	1.8147	163.55	21.007	29.647	161.11	40.718	4.3763e-06	0.0056209
65.247	0.018159	858.57	0.0011647	-4.1055	-4.1049	69.781	32.544	56.134	973.84	-0.39750	0.00027844	0.16905	0.011702	0.94941	1.0533	1.3346	1.8704	161.36	21.066	29.809	163.47	37.961	4.5305e-06	0.0058426
66.871	0.023797	851.79	0.0011740	-4.0144	-4.0136	71.162	32.232	56.224	957.35	-0.39182	0.00025621	0.16579	0.011314	1.2174	0.82143	1.3651	1.9127	159.78	21.118	29.956	165.23	36.051	4.6505e-06	0.0060159
68.212	0.029436	846.14	0.0011818	-3.9390	-3.9380	72.278	31.978	56.307	943.78	-0.38677	0.00023978	0.16310	0.010997	1.4801	0.67564	1.3898	1.9470	158.55	21.166	30.093	166.63	34.604	4.7500e-06	0.0061603
69.363	0.035075	841.24	0.0011887	-3.8742	-3.8730	73.220	31.763	56.386	932.17	-0.38215	0.00022691	0.16079	0.010725	1.7386	0.57517	1.4108	1.9759	157.54	21.210	30.223	167.79	33.446	4.8358e-06	0.0062851
70.376	0.040714	836.90	0.0011949	-3.8171	-3.8158	74.037	31.577	56.462	921.95	-0.37785	0.00021642	0.15877	0.010488	1.9938	0.50156	1.4289	2.0010	156.69	21.251	30.346	168.79	32.487	4.9116e-06	0.0063958
71.284	0.046353	832.98	0.0012005	-3.7659	-3.7643	74.760	31.412	56.535	912.79	-0.37380	0.00020763	0.15695	0.010275	2.2461	0.44522	1.4450	2.0231	155.95	21.290	30.465	169.65	31.670	4.9799e-06	0.0064959
72.110	0.051991	829.40	0.0012057	-3.7193	-3.7175	75.411	31.264	56.607	904.47	-0.36994	0.00020009	0.15530	0.010083	2.4959	0.40065	1.4593	2.0429	155.29	21.328	30.580	170.42	30.962	5.0422e-06	0.0065874
72.868	0.057630	826.09	0.0012105	-3.6764	-3.6744	76.002	31.129	56.677	896.82	-0.36625	0.00019353	0.15379	0.0099073	2.7436	0.36448	1.4724	2.0608	154.71	21.363	30.692	171.11	30.337	5.0996e-06	0.0066722
73.571	0.063269	823.00	0.0012151	-3.6366	-3.6344	76.546	31.006	56.746	889.73	-0.36270	0.00018774	0.15238	0.0097449	2.9895	0.33451	1.4844	2.0772	154.18	21.398	30.801	171.73	29.780	5.1530e-06	0.0067512
74.227	0.068908	820.10	0.0012194	-3.5994	-3.5971	77.049	30.893	56.814	883.10	-0.35926	0.00018257	0.15108	0.0095937	3.2336	0.30925	1.4954	2.0923	153.70	21.431	30.908	172.30	29.278	5.2030e-06	0.0068255
74.843	0.074547	817.37	0.0012234	-3.5645	-3.5620	77.517	30.787	56.881	876.88	-0.35593	0.00017791	0.14985	0.0094523	3.4763	0.28766	1.5056	2.1063	153.25	21.464	31.012	172.82	28.822	5.2501e-06	0.0068957
75.423	0.080185	814.78	0.0012273	-3.5316	-3.5288	77.956	30.689	56.947	871.00	-0.35268	0.00017368	0.14869	0.0093193	3.7176	0.26899	1.5151	2.1193	152.84	21.495	31.115	173.30	28.404	5.2946e-06	0.0069624
75.974	0.085824	812.32	0.0012310	-3.5003	-3.4973	78.369	30.596	57.013	865.42	-0.34951	0.00016981	0.14760	0.0091936	3.9577	0.25267	1.5241	2.1315	152.46	21.526	31.215	173.75	28.019	5.3370e-06	0.0070260
76.497	0.091463	809.97	0.0012346	-3.4706	-3.4674	78.760	30.509	57.077	860.11	-0.34640	0.00016626	0.14655	0.0090745	4.1966	0.23829	1.5324	2.1430	152.10	21.555	31.315	174.16	27.662	5.3774e-06	0.0070868
76.996	0.097102	807.71	0.0012381	-3.4422	-3.4388	79.130	30.427	57.142	855.05	-0.34336	0.00016297	0.14556	0.0089611	4.4346	0.22550	1.5404	2.1538	151.76	21.585	31.413	174.55	27.331	5.4161e-06	0.0071452
77.473	0.10274	805.55	0.0012414	-3.4150	-3.4114	79.482	30.349	57.205	850.19	-0.34038	0.00015992	0.14461	0.0088529	4.6715	0.21406	1.5479	2.1640	151.45	21.613	31.509	174.91	27.021	5.4532e-06	0.0072015
77.931	0.10838	803.46	0.0012446	-3.3889	-3.3851	79.818	30.275	57.268	845.53	-0.33744	0.00015707	0.14370	0.0087494	4.9076	0.20376	1.5550	2.1736	151.15	21.641	31.605	175.26	26.730	5.4889e-06	0.0072557
78.370	0.11402	801.45	0.0012477	-3.3638	-3.3598	80.139	30.205	57.331	841.04	-0.33455	0.00015440	0.14283	0.0086502	5.1429	0.19444	1.5617	2.1828	150.86	21.669	31.699	175.58	26.456	5.5233e-06	0.0073082
78.794	0.11966	799.51	0.0012508	-3.3396	-3.3354	80.447	30.137	57.394	836.71	-0.33170	0.00015190	0.14198	0.0085548	5.3775	0.18596	1.5682	2.1915	150.59	21.696	31.793	175.88	26.198	5.5565e-06	0.0073591
79.203	0.12530	797.63	0.0012537	-3.3162	-3.3118	80.743	30.073	57.456	832.53	-0.32889	0.00014955	0.14117	0.0084630	5.6113	0.17821	1.5744	2.1999	150.33	21.722	31.886	176.17	25.954	5.5887e-06	0.0074085
79.598	0.13093	795.80	0.0012566	-3.2936	-3.2890	81.028	30.011	57.518	828.49	-0.32611	0.00014732	0.14039	0.0083744	5.8445	0.17110	1.5802	2.2078	150.09	21.749	31.978	176.45	25.722	5.6199e-06	0.0074565
79.980	0.13657	794.03	0.0012594	-3.2717	-3.2669	81.303	29.952	57.579	824.56	-0.32336	0.00014522	0.13963	0.0082889	6.0771	0.16455	1.5859	2.2154	149.85	21.774	32.069	176.71	25.501	5.6501e-06	0.0075033
80.351	0.14221	792.30	0.0012621	-3.2504	-3.2454	81.568	29.894	57.641	820.76	-0.32064	0.00014322	0.13889	0.0082061	6.3091	0.15850	1.5913	2.2227	149.62	21.800	32.159	176.96	25.291	5.6795e-06	0.0075489
80.710	0.14785	790.63	0.0012648	-3.2298	-3.2246	81.824	29.839	57.702	817.06	-0.31795	0.00014132	0.13818	0.0081260	6.5406	0.15289	1.5965	2.2298	149.40	21.825	32.249	177.19	25.090	5.7082e-06	0.0075934
81.060	0.15349	788.99	0.0012674	-3.2097	-3.2043	82.072	29.786	57.763	813.46	-0.31528	0.00013951	0.13748	0.0080483	6.7716	0.14768	1.6015	2.2365	149.19	21.850	32.339	177.42	24.899	5.7361e-06	0.0076369
81.400	0.15913	787.39	0.0012700	-3.1902	-3.1845	82.313	29.735	57.823	809.95	-0.31264	0.00013779	0.13681	0.0079728	7.0021	0.14281	1.6063	2.2430	148.99	21.874	32.428	177.63	24.715	5.7633e-06	0.0076795
81.731	0.16477	785.83	0.0012725	-3.1712	-3.1653	82.547	29.686	57.884	806.53	-0.31002	0.00013614	0.13615	0.0078995	7.2322	0.13827	1.6110	2.2492	148.79	21.898	32.516	177.84	24.538	5.7898e-06	0.0077213
82.053	0.17041	784.30	0.0012750	-3.1526	-3.1465	82.774	29.638	57.944	803.19	-0.30742	0.00013456	0.13551	0.0078282	7.4619	0.13401	1.6155	2.2552	148.61	21.922	32.604	178.04	24.369	5.8158e-06	0.0077622
82.368	0.17605	782.81	0.0012774	-3.1345	-3.1282	82.994	29.591	58.005	799.93	-0.30484	0.00013304	0.13489	0.0077587	7.6912	0.13002	1.6198	2.2610	148.42	21.946	32.691	178.23	24.206	5.8412e-06	0.0078023
82.675	0.18168	781.35	0.0012798	-3.1168	-3.1102	83.209	29.546	58.065	796.74	-0.30227	0.00013159	0.13428	0.0076910	7.9201	0.12626	1.6240	2.2666	148.25	21.969	32.779	178.41	24.049	5.8660e-06	0.0078417
82.975	0.18732	779.92	0.0012822	-3.0994	-3.0927	83.418	29.502	58.125	793.62	-0.29972	0.00013019	0.13368	0.0076250	8.1487	0.12272	1.6281	2.2720	148.07	21.992	32.865	178.58	23.897	5.8904e-06	0.0078805
83.268	0.19296	778.51	0.0012845	-3.0825	-3.0756	83.622	29.460	58.185	790.56	-0.29719	0.00012884	0.13310	0.0075605	8.3770	0.11937	1.6320	2.2773	147.91	22.015	32.952	178.75	23.751	5.9143e-06	0.0079186
83.555	0.19860	777.13	0.0012868	-3.0659	-3.0587	83.821	29.419	58.245	787.57	-0.29467	0.00012755	0.13253	0.0074976	8.6050	0.11621	1.6358	2.2823	147.74	22.038	33.038	178.91	23.609	5.9377e-06	0.0079561
