Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	749.53	0.0013342	-52.018	-52.001	-155.08	208.93	264.27	1391.9	-0.47458	0.0013808	0.14070	liquid
263.15	0.10132	741.63	0.0013484	-49.357	-49.340	-144.77	212.94	268.02	1348.8	-0.46482	0.0011247	0.13736	liquid
273.15	0.10132	733.76	0.0013628	-46.657	-46.640	-134.70	217.17	272.05	1306.8	-0.45436	0.00094125	0.13415	liquid
283.15	0.10132	725.90	0.0013776	-43.916	-43.898	-124.84	221.57	276.33	1265.7	-0.44326	0.00080419	0.13108	liquid
293.15	0.10132	718.03	0.0013927	-41.130	-41.112	-115.18	226.13	280.82	1225.6	-0.43160	0.00069832	0.12812	liquid
303.15	0.10132	710.15	0.0014082	-38.299	-38.281	-105.68	230.82	285.50	1186.3	-0.41939	0.00061431	0.12528	liquid
313.15	0.10132	702.24	0.0014240	-35.420	-35.402	-96.336	235.61	290.34	1147.8	-0.40667	0.00054611	0.12255	liquid
323.15	0.10132	694.29	0.0014403	-32.492	-32.474	-87.132	240.49	295.32	1109.9	-0.39342	0.00048968	0.11992	liquid
333.15	0.10132	686.29	0.0014571	-29.514	-29.495	-78.054	245.44	300.42	1072.7	-0.37962	0.00044220	0.11738	liquid
343.15	0.10132	678.23	0.0014744	-26.484	-26.465	-69.093	250.44	305.63	1036.1	-0.36523	0.00040169	0.11493	liquid
353.15	0.10132	670.09	0.0014923	-23.402	-23.382	-60.238	255.48	310.93	999.89	-0.35019	0.00036668	0.11255	liquid
363.15	0.10132	661.86	0.0015109	-20.266	-20.246	-51.482	260.54	316.31	964.14	-0.33440	0.00033609	0.11026	liquid
373.15	0.10132	653.53	0.0015302	-17.076	-17.056	-42.816	265.61	321.77	928.75	-0.31776	0.00030909	0.10803	liquid
383.15	0.10132	645.08	0.0015502	-13.831	-13.811	-34.234	270.68	327.29	893.66	-0.30010	0.00028505	0.10587	liquid
393.15	0.10132	636.48	0.0015711	-10.530	-10.510	-25.730	275.75	332.88	858.78	-0.28125	0.00026348	0.10377	liquid
403.15	0.10132	627.73	0.0015930	-7.1735	-7.1528	-17.298	280.80	338.53	824.05	-0.26097	0.00024398	0.10172	liquid
413.15	0.10132	618.80	0.0016160	-3.7598	-3.7388	-8.9334	285.83	344.26	789.40	-0.23894	0.00022623	0.099725	liquid
423.15	0.10132	609.66	0.0016403	-0.28860	-0.26729	-0.63109	290.84	350.07	754.74	-0.21480	0.00020998	0.097770	liquid
423.91	0.10133	608.95	0.0016422	-0.021341	-3.9080e-16	0.0000	291.22	350.51	752.09	-0.21285	0.00020879	0.097622	liquid
423.91	0.10133	3.9151	0.25542	33.693	37.012	87.311	276.49	287.99	159.04	28.593	7.5669e-06	0.021182	vapor
433.15	0.10132	3.8119	0.26234	36.284	39.693	93.566	281.23	292.41	161.50	26.115	7.7367e-06	0.022108	vapor
443.15	0.10132	3.7076	0.26971	39.136	42.641	100.30	286.33	297.21	164.07	23.766	7.9195e-06	0.023130	vapor
453.15	0.10132	3.6101	0.27700	42.037	45.637	106.98	291.40	302.02	166.54	21.708	8.1013e-06	0.024171	vapor
