Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
219.70	4.4440e-07	776.20	0.0012883	-60.675	-60.675	-191.74	197.48	254.33	1544.5	-0.50071	0.0040376	0.15302	0.030103	3.1202e-05	32049.	-9.8811	-8.0544	47.771	161.61	169.93	122.37	363.95	4.0513e-06	0.0062016
332.21	0.0038021	686.94	0.0014557	-29.790	-29.789	-78.884	244.97	299.96	1075.5	-0.38073	0.00044589	0.11757	0.019187	0.17750	5.6339	11.491	14.238	53.646	221.93	230.51	148.76	67.823	6.0323e-06	0.012824
347.39	0.0076038	674.68	0.0014822	-25.177	-25.175	-65.307	252.56	307.89	1019.9	-0.35869	0.00038586	0.11386	0.017797	0.34071	2.9351	14.889	17.751	58.264	230.90	239.66	151.51	56.987	6.2927e-06	0.014034
357.10	0.011405	666.74	0.0014998	-22.162	-22.159	-56.746	257.47	313.07	984.96	-0.34377	0.00035376	0.11159	0.016919	0.49873	2.0051	17.125	20.058	61.477	236.67	245.59	153.10	51.303	6.4578e-06	0.014844
364.41	0.015207	660.70	0.0015135	-19.858	-19.855	-50.361	261.17	317.02	958.90	-0.33205	0.00033217	0.10992	0.016264	0.65352	1.5302	18.840	21.824	64.013	241.02	250.09	154.20	47.556	6.5814e-06	0.015472
370.35	0.019009	655.76	0.0015249	-17.968	-17.964	-45.215	264.18	320.26	937.90	-0.32221	0.00031603	0.10860	0.015737	0.80597	1.2407	20.250	23.275	66.137	244.56	253.77	155.03	44.812	6.6812e-06	0.015994
375.38	0.022810	651.54	0.0015348	-16.350	-16.346	-40.877	266.73	323.02	920.18	-0.31360	0.00030322	0.10750	0.015292	0.95663	1.0453	21.459	24.517	67.980	247.56	256.90	155.68	42.672	6.7654e-06	0.016444
379.76	0.026612	647.84	0.0015436	-14.928	-14.923	-37.111	268.96	325.44	904.80	-0.30588	0.00029263	0.10655	0.014907	1.1058	0.90428	22.522	25.609	69.618	250.18	259.64	156.20	40.936	6.8386e-06	0.016843
383.67	0.030414	644.53	0.0015515	-13.654	-13.648	-33.773	270.94	327.61	891.16	-0.29883	0.00028364	0.10571	0.014566	1.2539	0.79752	23.476	26.587	71.097	252.51	262.09	156.64	39.484	6.9036e-06	0.017203
387.19	0.034215	641.51	0.0015588	-12.496	-12.489	-30.767	272.73	329.57	878.86	-0.29231	0.00027583	0.10497	0.014259	1.4009	0.71382	24.344	27.477	72.451	254.62	264.31	157.01	38.245	6.9621e-06	0.017531
390.42	0.038017	638.74	0.0015656	-11.431	-11.423	-28.028	274.36	331.37	867.65	-0.28621	0.00026894	0.10430	0.013980	1.5471	0.64638	25.142	28.294	73.701	256.54	266.35	157.32	37.168	7.0155e-06	0.017835
393.39	0.041819	636.18	0.0015719	-10.443	-10.435	-25.509	275.87	333.04	857.33	-0.28046	0.00026279	0.10368	0.013724	1.6925	0.59085	25.882	29.051	74.865	258.31	268.24	157.59	36.220	7.0647e-06	0.018118
