Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	734.43	0.0013616	-38.999	-38.983	-120.53	188.47	237.70	1365.1	-0.47652	0.00099100	0.13946	liquid
263.15	0.10132	726.53	0.0013764	-36.605	-36.589	-111.26	191.65	241.11	1321.3	-0.46524	0.00083517	0.13601	liquid
273.15	0.10132	718.61	0.0013916	-34.176	-34.160	-102.20	195.01	244.70	1278.0	-0.45334	0.00071493	0.13265	liquid
283.15	0.10132	710.63	0.0014072	-31.711	-31.695	-93.334	198.54	248.47	1235.2	-0.44080	0.00062017	0.12938	liquid
293.15	0.10132	702.61	0.0014233	-29.207	-29.190	-84.643	202.24	252.42	1193.0	-0.42761	0.00054409	0.12620	liquid
303.15	0.10132	694.52	0.0014398	-26.662	-26.646	-76.108	206.07	256.54	1151.3	-0.41375	0.00048199	0.12309	liquid
313.15	0.10132	686.36	0.0014570	-24.076	-24.059	-67.713	210.04	260.80	1110.1	-0.39919	0.00043054	0.12005	liquid
323.15	0.10132	678.10	0.0014747	-21.446	-21.429	-59.447	214.13	265.21	1069.5	-0.38389	0.00038732	0.11708	liquid
333.15	0.10132	669.75	0.0014931	-18.772	-18.754	-51.295	218.31	269.76	1029.4	-0.36777	0.00035056	0.11418	liquid
343.15	0.10132	661.28	0.0015122	-16.051	-16.033	-43.249	222.58	274.43	989.68	-0.35073	0.00031893	0.11134	liquid
353.15	0.10132	652.68	0.0015322	-13.283	-13.265	-35.298	226.91	279.21	950.44	-0.33267	0.00029144	0.10856	liquid
363.15	0.10132	643.93	0.0015530	-10.467	-10.449	-27.434	231.31	284.10	911.59	-0.31341	0.00026730	0.10584	liquid
373.15	0.10132	635.01	0.0015748	-7.6012	-7.5829	-19.649	235.75	289.10	873.09	-0.29274	0.00024591	0.10317	liquid
383.15	0.10132	625.90	0.0015977	-4.6849	-4.6665	-11.936	240.22	294.21	834.87	-0.27040	0.00022680	0.10055	liquid
393.15	0.10132	616.57	0.0016219	-1.7171	-1.6983	-4.2891	244.72	299.43	796.87	-0.24603	0.00020959	0.097974	liquid
398.79	0.10133	611.20	0.0016361	-0.018937	5.8904e-15	0.0000	247.26	302.43	775.49	-0.23122	0.00020060	0.096539	liquid
398.79	0.10132	3.6988	0.27036	31.309	34.438	86.355	233.56	244.91	164.36	30.313	7.5288e-06	0.020135	vapor
403.15	0.10132	3.6496	0.27401	32.337	35.509	89.026	235.58	246.77	165.62	28.935	7.6129e-06	0.020569	vapor
413.15	0.10132	3.5425	0.28229	34.731	37.998	95.125	240.22	251.08	168.41	26.079	7.8050e-06	0.021582	vapor
423.15	0.10132	3.4429	0.29045	37.169	40.530	101.18	244.84	255.42	171.10	23.599	7.9962e-06	0.022619	vapor
433.15	0.10132	3.3499	0.29852	39.651	43.106	107.20	249.43	259.77	173.70	21.435	8.1866e-06	0.023677	vapor
443.15	0.10132	3.2627	0.30649	42.178	45.726	113.18	254.00	264.13	176.21	19.541	8.3762e-06	0.024756	vapor
453.15	0.10132	3.1808	0.31439	44.750	48.389	119.12	258.53	268.49	178.65	17.878	8.5652e-06	0.025854	vapor
