Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
216.37	2.0746e-06	763.31	0.0013101	-47.528	-47.528	-156.91	178.21	226.65	1529.6	-0.51281	0.0022520	0.15301	0.029731	0.00013173	7591.3	-2.1179	-0.31892	61.270	144.07	152.38	129.06	192.26	4.2034e-06	0.0061594
313.09	0.0041414	686.30	0.0014571	-24.085	-24.084	-67.741	210.02	260.80	1109.6	-0.39907	0.00043036	0.12002	0.019695	0.18273	5.4725	13.843	16.432	61.663	188.21	196.79	153.51	67.743	6.0007e-06	0.012101
327.75	0.0082807	674.17	0.0014833	-20.216	-20.214	-55.665	216.03	267.31	1050.2	-0.37633	0.00036932	0.11569	0.018307	0.35036	2.8542	16.620	19.319	64.956	195.63	204.40	156.40	58.088	6.2664e-06	0.013288
337.14	0.012420	666.28	0.0015009	-17.686	-17.684	-48.057	220.00	271.63	1012.7	-0.36081	0.00033707	0.11300	0.017433	0.51255	1.9510	18.446	21.214	67.322	200.47	209.40	158.08	52.756	6.4351e-06	0.014088
344.21	0.016559	660.27	0.0015145	-15.754	-15.751	-42.384	223.03	274.95	984.73	-0.34858	0.00031554	0.11100	0.016782	0.67133	1.4896	19.847	22.664	69.220	204.16	213.24	159.24	49.138	6.5615e-06	0.014710
349.95	0.020699	655.34	0.0015259	-14.168	-14.164	-37.814	225.52	277.70	962.18	-0.33826	0.00029956	0.10940	0.016258	0.82766	1.2082	20.999	23.855	70.828	207.19	216.41	160.11	46.436	6.6637e-06	0.015229
354.82	0.024838	651.12	0.0015358	-12.810	-12.806	-33.961	227.64	280.05	943.18	-0.32922	0.00028694	0.10806	0.015816	0.98212	1.0182	21.986	24.875	72.235	209.76	219.12	160.80	44.300	6.7501e-06	0.015678
359.07	0.028977	647.41	0.0015446	-11.616	-11.611	-30.617	229.51	282.12	926.69	-0.32110	0.00027655	0.10690	0.015433	1.1351	0.88101	22.855	25.771	73.492	212.02	221.51	161.36	42.547	6.8253e-06	0.016076
362.85	0.033117	644.09	0.0015526	-10.547	-10.541	-27.653	231.17	283.98	912.06	-0.31368	0.00026776	0.10587	0.015094	1.2868	0.77715	23.634	26.574	74.634	214.05	223.65	161.82	41.069	6.8922e-06	0.016436
366.27	0.037256	641.07	0.0015599	-9.5737	-9.5670	-24.984	232.69	285.68	898.89	-0.30681	0.00026016	0.10496	0.014789	1.4374	0.69570	24.343	27.304	75.683	215.88	225.60	162.21	39.798	6.9525e-06	0.016766
369.39	0.041395	638.29	0.0015667	-8.6793	-8.6719	-22.553	234.07	287.24	886.89	-0.30037	0.00025348	0.10413	0.014511	1.5871	0.63007	24.995	27.975	76.656	217.56	227.40	162.54	38.686	7.0076e-06	0.017072
372.27	0.045535	635.71	0.0015730	-7.8498	-7.8416	-20.316	235.36	288.69	875.86	-0.29431	0.00024752	0.10336	0.014256	1.7361	0.57601	25.600	28.596	77.565	219.11	229.07	162.82	37.703	7.0584e-06	0.017357
374.95	0.049674	633.30	0.0015790	-7.0750	-7.0660	-18.242	236.55	290.04	865.62	-0.28855	0.00024216	0.10266	0.014019	1.8843	0.53069	26.166	29.177	78.419	220.56	230.63	163.07	36.823	7.1057e-06	0.017625
377.46	0.053813	631.03	0.0015847	-6.3470	-6.3372	-16.307	237.67	291.31	856.07	-0.28305	0.00023728	0.10200	0.013799	2.0320	0.49213	26.697	29.722	79.225	221.92	232.10	163.28	36.030	7.1499e-06	0.017878
379.81	0.057952	628.88	0.0015901	-5.6594	-5.6489	-14.491	238.73	292.52	847.10	-0.27778	0.00023282	0.10139	0.013592	2.1791	0.45891	27.198	30.236	79.990	223.20	233.48	163.46	35.309	7.1915e-06	0.018119
382.04	0.062092	626.85	0.0015953	-5.0074	-4.9961	-12.779	239.72	293.66	838.65	-0.27271	0.00022871	0.10081	0.013397	2.3257	0.42998	27.674	30.723	80.718	224.41	234.80	163.62	34.650	7.2308e-06	0.018348
384.15	0.066231	624.91	0.0016002	-4.3868	-4.3747	-11.159	240.67	294.75	830.65	-0.26781	0.00022490	0.10026	0.013212	2.4719	0.40455	28.126	31.187	81.413	225.55	236.05	163.76	34.044	7.2681e-06	0.018566
386.16	0.070370	623.06	0.0016050	-3.7941	-3.7812	-9.6198	241.57	295.79	823.05	-0.26307	0.00022135	0.099747	0.013037	2.6177	0.38202	28.559	31.629	82.079	226.65	237.25	163.88	33.484	7.3037e-06	0.018776
388.08	0.074510	621.28	0.0016096	-3.2265	-3.2128	-8.1534	242.43	296.78	815.80	-0.25847	0.00021803	0.099255	0.012871	2.7631	0.36191	28.972	32.053	82.719	227.69	238.40	163.99	32.964	7.3377e-06	0.018978
389.91	0.078649	619.57	0.0016140	-2.6815	-2.6670	-6.7524	243.26	297.74	808.88	-0.25399	0.00021491	0.098786	0.012712	2.9083	0.34385	29.370	32.459	83.334	228.70	239.51	164.07	32.481	7.3702e-06	0.019173
391.67	0.082788	617.93	0.0016183	-2.1572	-2.1418	-5.4105	244.05	298.66	802.25	-0.24963	0.00021198	0.098338	0.012559	3.0531	0.32754	29.752	32.849	83.927	229.66	240.57	164.15	32.028	7.4015e-06	0.019361
393.36	0.086928	616.34	0.0016225	-1.6516	-1.6355	-4.1224	244.82	299.55	795.88	-0.24537	0.00020920	0.097908	0.012413	3.1977	0.31273	30.120	33.225	84.500	230.58	241.59	164.21	31.604	7.4317e-06	0.019543
394.99	0.091067	614.80	0.0016265	-1.1633	-1.1463	-2.8835	245.55	300.41	789.75	-0.24120	0.00020658	0.097496	0.012272	3.3420	0.29922	30.476	33.588	85.054	231.47	242.58	164.27	31.206	7.4608e-06	0.019719
396.57	0.095206	613.31	0.0016305	-0.69079	-0.67306	-1.6896	246.26	301.24	783.85	-0.23712	0.00020408	0.097099	0.012137	3.4861	0.28685	30.820	33.939	85.590	232.34	243.54	164.31	30.831	7.4889e-06	0.019890
398.08	0.099346	611.87	0.0016343	-0.23299	-0.21444	-0.53728	246.94	302.05	778.15	-0.23311	0.00020170	0.096717	0.012007	3.6301	0.27548	31.153	34.279	86.111	233.17	244.48	164.35	30.476	7.5161e-06	0.020057
399.56	0.10348	610.47	0.0016381	0.21121	0.23058	0.57662	247.61	302.83	772.64	-0.22918	0.00019943	0.096348	0.011881	3.7738	0.26498	31.476	34.608	86.617	233.97	245.38	164.37	30.140	7.5425e-06	0.020219
400.98	0.10762	609.11	0.0016418	0.64277	0.66295	1.6549	248.25	303.60	767.30	-0.22531	0.00019727	0.095991	0.011759	3.9174	0.25527	31.790	34.928	87.109	234.76	246.26	164.39	29.822	7.5682e-06	0.020377
402.36	0.11176	607.78	0.0016453	1.0625	1.0835	2.7000	248.88	304.34	762.12	-0.22151	0.00019519	0.095646	0.011640	4.0608	0.24625	32.095	35.239	87.587	235.52	247.11	164.40	29.520	7.5932e-06	0.020531
403.71	0.11590	606.48	0.0016489	1.4712	1.4931	3.7142	249.48	305.06	757.10	-0.21776	0.00019320	0.095311	0.011526	4.2041	0.23786	32.392	35.541	88.054	236.25	247.95	164.41	29.232	7.6175e-06	0.020681
405.01	0.12004	605.22	0.0016523	1.8696	1.8922	4.6995	250.07	305.76	752.22	-0.21406	0.00019129	0.094986	0.011414	4.3473	0.23003	32.682	35.836	88.508	236.97	248.76	164.41	28.957	7.6412e-06	0.020828
