Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1.5425	0.64831	5.2494	7.3514	200.22	20.907	29.285	303.14	3.6462	1.7982e-05	0.022723	vapor
263.15	0.10132	1.4836	0.67405	5.4589	7.6444	201.36	20.934	29.306	309.04	3.3982	1.8567e-05	0.023540	vapor
273.15	0.10132	1.4290	0.69977	5.6687	7.9376	202.45	20.966	29.334	314.81	3.1721	1.9143e-05	0.024350	vapor
283.15	0.10132	1.3784	0.72550	5.8788	8.2311	203.50	21.004	29.367	320.46	2.9650	1.9712e-05	0.025152	vapor
293.15	0.10132	1.3312	0.75121	6.0893	8.5249	204.52	21.046	29.405	326.00	2.7747	2.0273e-05	0.025946	vapor
303.15	0.10132	1.2871	0.77692	6.3002	8.8192	205.51	21.094	29.450	331.42	2.5992	2.0826e-05	0.026733	vapor
313.15	0.10132	1.2459	0.80263	6.5116	9.1139	206.47	21.147	29.500	336.74	2.4368	2.1372e-05	0.027514	vapor
323.15	0.10132	1.2073	0.82833	6.7235	9.4092	207.40	21.205	29.555	341.95	2.2863	2.1911e-05	0.028287	vapor
333.15	0.10132	1.1709	0.85402	6.9361	9.7051	208.30	21.269	29.616	347.07	2.1463	2.2443e-05	0.029054	vapor
343.15	0.10132	1.1367	0.87971	7.1493	10.002	209.17	21.336	29.681	352.09	2.0159	2.2968e-05	0.029815	vapor
353.15	0.10132	1.1045	0.90540	7.3631	10.299	210.03	21.408	29.751	357.02	1.8942	2.3487e-05	0.030570	vapor
363.15	0.10132	1.0740	0.93109	7.5777	10.597	210.86	21.485	29.826	361.87	1.7803	2.4000e-05	0.031318	vapor
373.15	0.10132	1.0452	0.95677	7.7931	10.895	211.67	21.565	29.904	366.63	1.6737	2.4507e-05	0.032061	vapor
383.15	0.10132	1.0179	0.98246	8.0093	11.195	212.46	21.648	29.986	371.32	1.5737	2.5008e-05	0.032799	vapor
393.15	0.10132	0.99193	1.0081	8.2263	11.495	213.24	21.735	30.072	375.93	1.4798	2.5503e-05	0.033530	vapor
403.15	0.10132	0.96729	1.0338	8.4442	11.796	213.99	21.825	30.160	380.47	1.3915	2.5993e-05	0.034257	vapor
413.15	0.10132	0.94385	1.0595	8.6630	12.098	214.73	21.917	30.251	384.94	1.3083	2.6478e-05	0.034978	vapor
423.15	0.10132	0.92152	1.0852	8.8828	12.401	215.46	22.011	30.345	389.34	1.2299	2.6958e-05	0.035695	vapor
433.15	0.10132	0.90023	1.1108	9.1035	12.705	216.17	22.108	30.440	393.68	1.1559	2.7432e-05	0.036406	vapor
443.15	0.10132	0.87989	1.1365	9.3251	13.010	216.86	22.206	30.537	397.96	1.0860	2.7902e-05	0.037113	vapor
453.15	0.10132	0.86046	1.1622	9.5477	13.316	217.55	22.305	30.635	402.19	1.0199	2.8367e-05	0.037815	vapor
