Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
54.361	0.00014628	1306.1	0.00076565	-6.1954	-6.1954	66.946	38.252	53.541	1123.4	-0.37992	0.00077362	0.20193	0.022601	0.010358	96.541	1.1195	1.5714	209.82	21.241	29.631	140.32	507.90	4.0962e-06	0.0044205
71.760	0.0085510	1228.9	0.00081375	-5.2628	-5.2626	81.828	32.244	53.701	1052.9	-0.35452	0.00034738	0.17723	0.017893	0.46099	2.1692	1.4748	2.0683	183.99	22.580	31.342	159.94	72.132	5.4959e-06	0.0061721
75.995	0.016956	1209.3	0.00082695	-5.0355	-5.0350	84.907	31.598	53.729	1019.6	-0.34809	0.00029815	0.17120	0.016779	0.86613	1.1546	1.5594	2.1858	179.92	22.472	31.314	164.35	48.194	5.8321e-06	0.0066081
78.753	0.025361	1196.3	0.00083588	-4.8873	-4.8866	86.822	31.203	53.777	997.48	-0.34308	0.00027188	0.16727	0.016060	1.2539	0.79754	1.6135	2.2608	177.58	22.320	31.224	167.13	38.925	6.0501e-06	0.0068961
80.851	0.033765	1186.4	0.00084286	-4.7745	-4.7736	88.236	30.913	53.834	980.55	-0.33874	0.00025433	0.16427	0.015517	1.6306	0.61329	1.6541	2.3167	175.93	22.181	31.144	169.19	33.999	6.2157e-06	0.0071181
82.567	0.042170	1178.3	0.00084871	-4.6821	-4.6810	89.367	30.683	53.897	966.66	-0.33480	0.00024130	0.16182	0.015076	1.9993	0.50018	1.6867	2.3616	174.66	22.062	31.082	170.82	30.951	6.3509e-06	0.0073016
84.031	0.050575	1171.2	0.00085379	-4.6033	-4.6019	90.313	30.490	53.962	954.76	-0.33114	0.00023104	0.15972	0.014702	2.3618	0.42341	1.7141	2.3993	173.63	21.960	31.039	172.18	28.882	6.4660e-06	0.0074597
85.314	0.058980	1165.1	0.00085833	-4.5341	-4.5325	91.130	30.325	54.030	944.31	-0.32770	0.00022261	0.15787	0.014375	2.7193	0.36774	1.7377	2.4318	172.76	21.875	31.013	173.34	27.386	6.5669e-06	0.0075997
86.460	0.067384	1159.5	0.00086245	-4.4722	-4.4704	91.851	30.180	54.098	934.95	-0.32442	0.00021548	0.15623	0.014084	3.0726	0.32546	1.7586	2.4603	172.01	21.804	31.002	174.35	26.254	6.6571e-06	0.0077261
87.500	0.075789	1154.4	0.00086624	-4.4160	-4.4139	92.497	30.050	54.167	926.44	-0.32128	0.00020934	0.15473	0.013821	3.4223	0.29221	1.7772	2.4858	171.35	21.744	31.002	175.24	25.366	6.7388e-06	0.0078416
