Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	664.40	0.0015051	-9.0921	-9.0811	-32.348	114.31	154.04	1227.7	-0.45613	0.00034381	0.12919	liquid
263.15	0.10132	655.08	0.0015265	-7.5392	-7.5280	-26.331	116.43	156.63	1177.6	-0.43801	0.00030887	0.12530	liquid
273.15	0.10132	645.62	0.0015489	-5.9593	-5.9480	-20.439	118.69	159.40	1127.9	-0.41826	0.00027898	0.12143	liquid
283.15	0.10132	636.00	0.0015723	-4.3508	-4.3394	-14.655	121.07	162.36	1078.5	-0.39673	0.00025311	0.11759	liquid
293.15	0.10132	626.19	0.0015970	-2.7119	-2.7003	-8.9665	123.56	165.49	1029.5	-0.37321	0.00023049	0.11381	liquid
303.15	0.10132	616.17	0.0016229	-1.0409	-1.0290	-3.3609	126.15	168.79	980.65	-0.34738	0.00021054	0.11010	liquid
309.21	0.10132	609.97	0.0016394	-0.011985	-5.7021e-16	0.0000	127.76	170.87	951.16	-0.33043	0.00019955	0.10790	liquid
309.21	0.10133	2.9745	0.33619	23.350	25.808	83.464	116.54	126.82	188.04	31.460	6.9776e-06	0.015599	vapor
313.15	0.10132	2.9311	0.34117	23.816	26.310	85.077	117.72	127.91	189.49	30.110	7.0713e-06	0.015993	vapor
323.15	0.10132	2.8273	0.35369	25.017	27.603	89.142	120.76	130.72	193.07	27.016	7.3082e-06	0.017018	vapor
333.15	0.10132	2.7315	0.36609	26.248	28.925	93.169	123.83	133.61	196.53	24.335	7.5441e-06	0.018079	vapor
343.15	0.10132	2.6428	0.37838	27.509	30.275	97.164	126.93	136.55	199.87	21.997	7.7789e-06	0.019176	vapor
353.15	0.10132	2.5603	0.39058	28.800	31.656	101.13	130.05	139.54	203.12	19.945	8.0125e-06	0.020306	vapor
363.15	0.10132	2.4833	0.40269	30.122	33.066	105.07	133.18	142.54	206.29	18.137	8.2449e-06	0.021468	vapor
373.15	0.10132	2.4112	0.41473	31.475	34.507	108.98	136.30	145.57	209.37	16.540	8.4761e-06	0.022661	vapor
383.15	0.10132	2.3435	0.42671	32.858	35.977	112.87	139.42	148.59	212.38	15.127	8.7060e-06	0.023884	vapor
393.15	0.10132	2.2798	0.43863	34.272	37.479	116.74	142.53	151.62	215.33	13.875	8.9345e-06	0.025135	vapor
403.15	0.10132	2.2197	0.45051	35.716	39.010	120.58	145.62	154.65	218.22	12.764	9.1617e-06	0.026412	vapor
413.15	0.10132	2.1629	0.46234	37.192	40.572	124.41	148.70	157.67	221.05	11.776	9.3875e-06	0.027715	vapor
423.15	0.10132	2.1091	0.47414	38.697	42.163	128.22	151.76	160.68	223.84	10.894	9.6118e-06	0.029043	vapor
433.15	0.10132	2.0580	0.48590	40.233	43.785	132.00	154.80	163.67	226.57	10.105	9.8346e-06	0.030393	vapor
443.15	0.10132	2.0095	0.49763	41.799	45.437	135.77	157.82	166.64	229.27	9.3975	1.0056e-05	0.031765	vapor
453.15	0.10132	1.9633	0.50934	43.394	47.118	139.52	160.81	169.60	231.92	8.7605	1.0276e-05	0.033158	vapor
