Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
143.47	7.8028e-08	763.65	0.0013095	-25.010	-25.010	-114.45	105.52	141.80	1787.9	-0.55023	0.0035464	0.16406	0.033269	4.7194e-06	2.1189e+05	8.2484	9.4412	125.68	76.087	84.402	135.43	156.97	3.2370e-06	0.0037269
244.75	0.0056126	672.07	0.0014879	-10.374	-10.373	-37.497	112.65	152.03	1269.3	-0.46997	0.00037773	0.13241	0.021465	0.20002	4.9995	16.801	18.825	81.801	96.137	104.65	174.32	59.643	5.5003e-06	0.0098736
257.22	0.011225	660.54	0.0015139	-8.4602	-8.4590	-29.872	115.15	155.08	1206.6	-0.44875	0.00032864	0.12756	0.020042	0.38204	2.6175	18.000	20.120	81.235	99.718	108.38	177.91	52.206	5.7866e-06	0.010846
265.23	0.016838	653.04	0.0015313	-7.2090	-7.2071	-25.081	116.89	157.20	1166.6	-0.43382	0.00030203	0.12444	0.019133	0.55750	1.7937	18.789	20.968	81.145	102.12	110.92	180.02	47.991	5.9706e-06	0.011503
271.29	0.022450	647.31	0.0015449	-6.2524	-6.2499	-21.515	118.26	158.89	1136.5	-0.42184	0.00028400	0.12210	0.018450	0.72885	1.3720	19.394	21.616	81.202	103.99	112.91	181.50	45.081	6.1096e-06	0.012016
276.21	0.028063	642.61	0.0015561	-5.4667	-5.4635	-18.645	119.40	160.31	1112.2	-0.41164	0.00027048	0.12021	0.017896	0.89722	1.1145	19.892	22.148	81.321	105.54	114.58	182.63	42.879	6.2226e-06	0.012445
280.39	0.033675	638.59	0.0015659	-4.7938	-4.7900	-16.227	120.40	161.54	1091.5	-0.40262	0.00025971	0.11861	0.017427	1.0633	0.94046	20.318	22.603	81.468	106.88	116.03	183.53	41.120	6.3184e-06	0.012818
284.05	0.039288	635.05	0.0015747	-4.2018	-4.1973	-14.129	121.29	162.65	1073.6	-0.39448	0.00025079	0.11721	0.017018	1.2275	0.81464	20.694	23.003	81.631	108.06	117.32	184.26	39.662	6.4022e-06	0.013149
287.31	0.044900	631.88	0.0015826	-3.6708	-3.6656	-12.271	122.09	163.65	1057.6	-0.38699	0.00024321	0.11598	0.016655	1.3902	0.71931	21.031	23.361	81.800	109.13	118.48	184.88	38.424	6.4767e-06	0.013450
290.25	0.050513	628.99	0.0015898	-3.1876	-3.1818	-10.597	122.83	164.58	1043.2	-0.38004	0.00023662	0.11487	0.016328	1.5516	0.64449	21.338	23.687	81.972	110.10	119.56	185.41	37.352	6.5442e-06	0.013726
292.95	0.056125	626.34	0.0015966	-2.7432	-2.7367	-9.0730	123.51	165.44	1030.0	-0.37351	0.00023081	0.11386	0.016029	1.7119	0.58415	21.620	23.985	82.145	111.00	120.55	185.87	36.409	6.6058e-06	0.013982
295.44	0.061738	623.87	0.0016029	-2.3307	-2.3236	-7.6709	124.15	166.24	1017.9	-0.36734	0.00022562	0.11293	0.015753	1.8712	0.53443	21.882	24.262	82.317	111.84	121.48	186.27	35.571	6.6628e-06	0.014221
297.75	0.067350	621.56	0.0016088	-1.9452	-1.9374	-6.3710	124.74	167.00	1006.6	-0.36147	0.00022093	0.11207	0.015498	2.0296	0.49272	22.126	24.520	82.488	112.62	122.36	186.62	34.819	6.7157e-06	0.014447
299.92	0.072963	619.39	0.0016145	-1.5828	-1.5743	-5.1581	125.30	167.71	996.12	-0.35585	0.00021665	0.11127	0.015259	2.1872	0.45721	22.356	24.763	82.656	113.35	123.18	186.93	34.137	6.7653e-06	0.014660
301.96	0.078575	617.34	0.0016198	-1.2403	-1.2311	-4.0200	125.84	168.39	986.22	-0.35047	0.00021274	0.11053	0.015034	2.3441	0.42660	22.573	24.991	82.821	114.05	123.97	187.20	33.516	6.8119e-06	0.014862
303.89	0.084188	615.39	0.0016250	-0.91533	-0.90546	-2.9472	126.34	169.04	976.88	-0.34528	0.00020912	0.10982	0.014823	2.5005	0.39993	22.779	25.208	82.984	114.71	124.72	187.45	32.947	6.8560e-06	0.015056
305.72	0.089800	613.54	0.0016299	-0.60584	-0.59528	-1.9317	126.83	169.67	968.03	-0.34026	0.00020576	0.10916	0.014622	2.6562	0.37647	22.975	25.414	83.144	115.33	125.44	187.67	32.422	6.8978e-06	0.015241
307.46	0.095413	611.76	0.0016346	-0.31013	-0.29888	-0.96707	127.29	170.27	959.61	-0.33540	0.00020263	0.10853	0.014432	2.8115	0.35569	23.162	25.610	83.302	115.93	126.12	187.86	31.936	6.9376e-06	0.015419
309.12	0.10103	610.06	0.0016392	-0.026801	-0.014854	-0.047930	127.73	170.84	951.58	-0.33067	0.00019970	0.10793	0.014250	2.9663	0.33712	23.341	25.798	83.456	116.51	126.79	188.03	31.484	6.9756e-06	0.015590
310.72	0.10664	608.42	0.0016436	0.24535	0.25800	0.83032	128.16	171.40	943.90	-0.32608	0.00019695	0.10736	0.014077	3.1206	0.32045	23.513	25.978	83.608	117.06	127.42	188.19	31.062	7.0120e-06	0.015756
312.24	0.11225	606.85	0.0016479	0.50735	0.52070	1.6716	128.57	171.94	936.54	-0.32159	0.00019435	0.10682	0.013910	3.2746	0.30538	23.678	26.151	83.757	117.59	128.04	188.33	30.667	7.0469e-06	0.015915
313.71	0.11786	605.32	0.0016520	0.76009	0.77414	2.4792	128.97	172.46	929.46	-0.31721	0.00019189	0.10629	0.013751	3.4282	0.29170	23.838	26.318	83.904	118.10	128.64	188.45	30.297	7.0805e-06	0.016070
315.13	0.12348	603.85	0.0016560	1.0043	1.0191	3.2561	129.35	172.96	922.65	-0.31293	0.00018956	0.10579	0.013597	3.5815	0.27921	23.991	26.479	84.048	118.60	129.22	188.56	29.948	7.1129e-06	0.016221
316.50	0.12909	602.42	0.0016600	1.2407	1.2562	4.0048	129.73	173.46	916.07	-0.30873	0.00018735	0.10531	0.013449	3.7345	0.26778	24.140	26.634	84.189	119.08	129.78	188.66	29.619	7.1441e-06	0.016367
317.82	0.13470	601.04	0.0016638	1.4699	1.4861	4.7275	130.09	173.94	909.72	-0.30461	0.00018524	0.10485	0.013306	3.8872	0.25726	24.285	26.785	84.328	119.54	130.33	188.75	29.308	7.1744e-06	0.016509
319.10	0.14031	599.69	0.0016675	1.6924	1.7093	5.4262	130.44	174.40	903.58	-0.30057	0.00018323	0.10440	0.013168	4.0396	0.24755	24.424	26.930	84.465	119.99	130.86	188.83	29.013	7.2036e-06	0.016648
320.34	0.14593	598.38	0.0016712	1.9086	1.9262	6.1026	130.78	174.86	897.63	-0.29659	0.00018130	0.10397	0.013034	4.1918	0.23856	24.560	27.072	84.600	120.43	131.38	188.89	28.732	7.2320e-06	0.016783
321.54	0.15154	597.11	0.0016747	2.1190	2.1373	6.7583	131.11	175.30	891.85	-0.29268	0.00017945	0.10355	0.012905	4.3438	0.23021	24.692	27.209	84.732	120.86	131.89	188.95	28.466	7.2596e-06	0.016915
