Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	2.1828	0.45812	22.583	24.630	113.94	57.229	66.619	229.14	28.270	6.8959e-06	0.013649	vapor
263.15	0.10132	2.0928	0.47782	23.169	25.304	116.55	58.945	68.193	233.71	25.068	7.1709e-06	0.014635	vapor
273.15	0.10132	2.0105	0.49739	23.772	25.994	119.12	60.722	69.853	238.13	22.343	7.4445e-06	0.015650	vapor
283.15	0.10132	1.9348	0.51684	24.392	26.701	121.66	62.550	71.584	242.42	20.007	7.7168e-06	0.016692	vapor
293.15	0.10132	1.8650	0.53619	25.030	27.426	124.18	64.422	73.374	246.59	17.992	7.9877e-06	0.017763	vapor
303.15	0.10132	1.8003	0.55547	25.687	28.169	126.67	66.328	75.212	250.65	16.246	8.2572e-06	0.018863	vapor
313.15	0.10132	1.7401	0.57467	26.363	28.930	129.14	68.262	77.087	254.63	14.724	8.5254e-06	0.019991	vapor
323.15	0.10132	1.6840	0.59382	27.057	29.711	131.60	70.217	78.992	258.52	13.393	8.7923e-06	0.021148	vapor
333.15	0.10132	1.6316	0.61291	27.772	30.510	134.03	72.188	80.919	262.33	12.223	9.0577e-06	0.022333	vapor
343.15	0.10132	1.5824	0.63196	28.505	31.329	136.45	74.167	82.861	266.07	11.193	9.3218e-06	0.023547	vapor
353.15	0.10132	1.5362	0.65097	29.259	32.167	138.86	76.152	84.813	269.75	10.282	9.5845e-06	0.024790	vapor
363.15	0.10132	1.4926	0.66995	30.032	33.025	141.26	78.137	86.769	273.36	9.4739	9.8457e-06	0.026061	vapor
373.15	0.10132	1.4516	0.68890	30.825	33.903	143.64	80.119	88.726	276.92	8.7548	1.0105e-05	0.027362	vapor
383.15	0.10132	1.4128	0.70782	31.637	34.800	146.01	82.093	90.678	280.43	8.1130	1.0364e-05	0.028691	vapor
393.15	0.10132	1.3761	0.72672	32.469	35.716	148.37	84.058	92.622	283.89	7.5382	1.0621e-05	0.030049	vapor
403.15	0.10132	1.3412	0.74559	33.321	36.652	150.73	86.009	94.556	287.30	7.0218	1.0876e-05	0.031436	vapor
413.15	0.10132	1.3081	0.76445	34.192	37.607	153.07	87.945	96.477	290.67	6.5565	1.1130e-05	0.032851	vapor
423.15	0.10132	1.2767	0.78329	35.082	38.582	155.40	89.864	98.381	293.99	6.1358	1.1382e-05	0.034296	vapor
433.15	0.10132	1.2467	0.80212	35.991	39.575	157.72	91.764	100.27	297.28	5.7543	1.1632e-05	0.035770	vapor
443.15	0.10132	1.2181	0.82094	36.919	40.587	160.03	93.643	102.14	300.53	5.4073	1.1881e-05	0.037272	vapor
453.15	0.10132	1.1908	0.83974	37.866	41.618	162.32	95.500	103.98	303.74	5.0908	1.2128e-05	0.038804	vapor
