Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
184.42	0.0070853	631.99	0.0015823	-0.011827	-0.011333	5.3833	60.023	91.792	1469.5	-0.52696	0.00035814	0.15747	0.021905	0.20483	4.8820	19.203	20.728	117.84	45.489	54.002	202.11	68.487	5.0396e-06	0.0077682
194.40	0.014171	621.42	0.0016092	0.91041	0.91141	10.253	60.590	93.022	1402.8	-0.50805	0.00030968	0.15131	0.020583	0.39005	2.5638	19.649	21.251	114.88	47.055	55.710	206.46	59.787	5.3093e-06	0.0085315
200.84	0.021256	614.51	0.0016273	1.5121	1.5136	13.298	61.026	93.899	1359.9	-0.49448	0.00028360	0.14735	0.019724	0.56812	1.7602	19.941	21.591	113.26	48.117	56.897	209.05	54.843	5.4822e-06	0.0090379
205.72	0.028341	609.23	0.0016414	1.9714	1.9735	15.558	61.394	94.609	1327.5	-0.48342	0.00026602	0.14437	0.019072	0.74167	1.3483	20.164	21.849	112.17	48.949	57.844	210.89	51.424	5.6126e-06	0.0094286
209.69	0.035427	604.89	0.0016532	2.3483	2.3509	17.372	61.715	95.220	1301.2	-0.47387	0.00025290	0.14195	0.018539	0.91197	1.0965	20.347	22.060	111.36	49.647	58.649	212.30	48.834	5.7184e-06	0.0097517
213.07	0.042512	601.17	0.0016634	2.6707	2.6738	18.898	62.005	95.763	1278.9	-0.46534	0.00024248	0.13990	0.018085	1.0797	0.92614	20.503	22.239	110.72	50.253	59.357	213.43	46.765	5.8082e-06	0.010030
216.02	0.049597	597.89	0.0016726	2.9542	2.9579	20.219	62.270	96.257	1259.4	-0.45755	0.00023389	0.13811	0.017688	1.2455	0.80290	20.640	22.396	110.20	50.794	59.995	214.38	45.053	5.8866e-06	0.010276
218.66	0.056683	594.95	0.0016808	3.2083	3.2125	21.389	62.515	96.711	1242.0	-0.45034	0.00022659	0.13653	0.017334	1.4095	0.70946	20.763	22.536	109.76	51.283	60.579	215.18	43.598	5.9564e-06	0.010498
221.05	0.063768	592.27	0.0016884	3.4395	3.4442	22.440	62.744	97.135	1226.3	-0.44358	0.00022027	0.13510	0.017013	1.5721	0.63609	20.874	22.663	109.38	51.733	61.120	215.87	42.339	6.0194e-06	0.010700
223.23	0.070853	589.80	0.0016955	3.6520	3.6573	23.397	62.960	97.534	1212.0	-0.43720	0.00021470	0.13380	0.016719	1.7334	0.57689	20.976	22.779	109.05	52.150	61.626	216.47	41.233	6.0771e-06	0.010888
225.25	0.077939	587.51	0.0017021	3.8491	3.8550	24.276	63.164	97.911	1198.7	-0.43113	0.00020973	0.13260	0.016448	1.8937	0.52808	21.071	22.886	108.76	52.539	62.102	217.01	40.249	6.1304e-06	0.011062
227.14	0.085024	585.36	0.0017083	4.0334	4.0398	25.091	63.359	98.270	1186.4	-0.42532	0.00020525	0.13149	0.016195	2.0529	0.48711	21.159	22.986	108.50	52.905	62.554	217.48	39.366	6.1799e-06	0.011225
228.90	0.092109	583.35	0.0017142	4.2065	4.2135	25.850	63.544	98.614	1174.8	-0.41974	0.00020118	0.13045	0.015959	2.2113	0.45222	21.242	23.079	108.27	53.251	62.984	217.91	38.566	6.2263e-06	0.011380
230.56	0.099195	581.44	0.0017199	4.3701	4.3776	26.562	63.722	98.944	1164.0	-0.41436	0.00019744	0.12947	0.015736	2.3689	0.42214	21.320	23.167	108.06	53.580	63.395	218.29	37.836	6.2700e-06	0.011526
232.12	0.10628	579.62	0.0017253	4.5253	4.5334	27.233	63.893	99.261	1153.7	-0.40915	0.00019400	0.12856	0.015526	2.5258	0.39592	21.394	23.249	107.86	53.893	63.790	218.63	37.166	6.3113e-06	0.011665
233.61	0.11337	577.89	0.0017304	4.6731	4.6817	27.868	64.058	99.568	1144.0	-0.40410	0.00019080	0.12769	0.015326	2.6820	0.37285	21.464	23.328	107.68	54.193	64.170	218.95	36.548	6.3504e-06	0.011798
235.03	0.12045	576.24	0.0017354	4.8143	4.8235	28.471	64.217	99.865	1134.7	-0.39919	0.00018783	0.12686	0.015136	2.8377	0.35240	21.531	23.403	107.52	54.480	64.537	219.23	35.976	6.3878e-06	0.011925
236.39	0.12754	574.65	0.0017402	4.9495	4.9593	29.045	64.371	100.15	1125.9	-0.39440	0.00018504	0.12608	0.014955	2.9929	0.33413	21.595	23.474	107.37	54.756	64.892	219.49	35.443	6.4234e-06	0.012048
237.69	0.13462	573.13	0.0017448	5.0794	5.0898	29.593	64.521	100.43	1117.4	-0.38973	0.00018242	0.12533	0.014782	3.1475	0.31771	21.656	23.542	107.23	55.023	65.236	219.73	34.945	6.4576e-06	0.012166
238.93	0.14171	571.66	0.0017493	5.2045	5.2154	30.118	64.666	100.71	1109.3	-0.38516	0.00017996	0.12461	0.014615	3.3017	0.30287	21.715	23.608	107.09	55.280	65.571	219.95	34.478	6.4904e-06	0.012280
240.13	0.14879	570.24	0.0017537	5.3251	5.3366	30.621	64.808	100.97	1101.4	-0.38068	0.00017763	0.12393	0.014455	3.4555	0.28940	21.772	23.671	106.97	55.529	65.896	220.14	34.040	6.5220e-06	0.012390
241.29	0.15588	568.86	0.0017579	5.4417	5.4538	31.106	64.945	101.23	1093.9	-0.37629	0.00017542	0.12327	0.014301	3.6089	0.27710	21.827	23.731	106.86	55.770	66.213	220.33	33.627	6.5524e-06	0.012497
242.40	0.16296	567.53	0.0017620	5.5545	5.5672	31.572	65.080	101.49	1086.6	-0.37198	0.00017332	0.12263	0.014153	3.7619	0.26582	21.879	23.790	106.75	56.004	66.523	220.49	33.236	6.5818e-06	0.012601
243.48	0.17005	566.24	0.0017660	5.6639	5.6772	32.023	65.211	101.73	1079.6	-0.36774	0.00017132	0.12202	0.014009	3.9146	0.25545	21.930	23.846	106.64	56.231	66.826	220.65	32.866	6.6103e-06	0.012702
244.53	0.17713	564.98	0.0017700	5.7701	5.7839	32.458	65.339	101.98	1072.7	-0.36357	0.00016941	0.12143	0.013870	4.0670	0.24588	21.980	23.900	106.55	56.453	67.122	220.79	32.516	6.6379e-06	0.012800
245.54	0.18422	563.76	0.0017738	5.8733	5.8877	32.879	65.465	102.22	1066.1	-0.35947	0.00016758	0.12086	0.013735	4.2191	0.23702	22.028	23.953	106.45	56.668	67.412	220.92	32.182	6.6647e-06	0.012896
246.53	0.19130	562.57	0.0017776	5.9738	5.9887	33.288	65.588	102.45	1059.7	-0.35542	0.00016583	0.12030	0.013605	4.3710	0.22878	22.075	24.004	106.37	56.879	67.696	221.03	31.864	6.6907e-06	0.012989
247.49	0.19839	561.41	0.0017812	6.0716	6.0872	33.684	65.708	102.68	1053.5	-0.35142	0.00016416	0.11977	0.013478	4.5226	0.22111	22.120	24.054	106.28	57.084	67.976	221.14	31.561	6.7161e-06	0.013081
248.42	0.20547	560.27	0.0017848	6.1670	6.1832	34.069	65.826	102.91	1047.4	-0.34748	0.00016254	0.11925	0.013354	4.6739	0.21395	22.164	24.102	106.20	57.285	68.250	221.24	31.272	6.7407e-06	0.013170
249.32	0.21256	559.17	0.0017884	6.2601	6.2769	34.443	65.943	103.13	1041.5	-0.34359	0.00016099	0.11874	0.013234	4.8251	0.20725	22.207	24.149	106.13	57.481	68.519	221.33	30.995	6.7648e-06	0.013257
250.21	0.21965	558.08	0.0017919	6.3511	6.3684	34.807	66.057	103.35	1035.7	-0.33974	0.00015950	0.11825	0.013117	4.9761	0.20096	22.249	24.195	106.05	57.673	68.785	221.41	30.729	6.7882e-06	0.013343
251.07	0.22673	557.02	0.0017953	6.4400	6.4579	35.162	66.169	103.57	1030.1	-0.33593	0.00015806	0.11777	0.013003	5.1268	0.19505	22.289	24.240	105.99	57.861	69.046	221.48	30.475	6.8112e-06	0.013427
251.91	0.23382	555.98	0.0017986	6.5270	6.5455	35.508	66.279	103.78	1024.6	-0.33216	0.00015666	0.11731	0.012892	5.2774	0.18949	22.329	24.283	105.92	58.046	69.303	221.55	30.230	6.8336e-06	0.013509
252.74	0.24090	554.96	0.0018019	6.6122	6.6313	35.846	66.387	104.00	1019.2	-0.32843	0.00015531	0.11685	0.012784	5.4279	0.18423	22.368	24.325	105.86	58.227	69.556	221.61	29.995	6.8555e-06	0.013590
253.54	0.24799	553.96	0.0018052	6.6956	6.7154	36.176	66.494	104.20	1013.9	-0.32473	0.00015401	0.11641	0.012678	5.5782	0.17927	22.406	24.367	105.79	58.404	69.806	221.66	29.769	6.8770e-06	0.013670
254.33	0.25507	552.98	0.0018084	6.7775	6.7978	36.498	66.599	104.41	1008.8	-0.32107	0.00015275	0.11598	0.012574	5.7284	0.17457	22.444	24.407	105.74	58.579	70.053	221.71	29.551	6.8980e-06	0.013748
255.10	0.26216	552.02	0.0018115	6.8577	6.8787	36.814	66.703	104.61	1003.7	-0.31743	0.00015152	0.11555	0.012473	5.8784	0.17011	22.480	24.447	105.68	58.750	70.297	221.75	29.341	6.9186e-06	0.013825
255.86	0.26924	551.07	0.0018146	6.9365	6.9581	37.122	66.805	104.81	998.81	-0.31383	0.00015033	0.11514	0.012373	6.0283	0.16588	22.516	24.485	105.63	58.918	70.538	221.78	29.138	6.9389e-06	0.013900
256.60	0.27633	550.14	0.0018177	7.0139	7.0360	37.424	66.905	105.01	993.97	-0.31026	0.00014918	0.11474	0.012276	6.1781	0.16186	22.551	24.523	105.57	59.084	70.775	221.82	28.942	6.9587e-06	0.013975
257.32	0.28341	549.23	0.0018207	7.0899	7.1126	37.720	67.005	105.21	989.22	-0.30671	0.00014806	0.11434	0.012181	6.3278	0.15803	22.585	24.560	105.52	59.247	71.011	221.84	28.752	6.9783e-06	0.014048
258.04	0.29050	548.33	0.0018237	7.1646	7.1880	38.010	67.103	105.40	984.56	-0.30318	0.00014696	0.11395	0.012087	6.4775	0.15438	22.619	24.596	105.47	59.408	71.243	221.86	28.569	6.9974e-06	0.014121
258.74	0.29758	547.44	0.0018267	7.2381	7.2620	38.295	67.199	105.59	979.98	-0.29969	0.00014590	0.11357	0.011996	6.6270	0.15090	22.652	24.632	105.43	59.566	71.473	221.88	28.392	7.0163e-06	0.014192
259.43	0.30467	546.57	0.0018296	7.3104	7.3349	38.574	67.295	105.78	975.48	-0.29621	0.00014487	0.11320	0.011906	6.7765	0.14757	22.684	24.667	105.38	59.722	71.701	221.89	28.220	7.0348e-06	0.014262
260.10	0.31175	545.71	0.0018325	7.3815	7.4067	38.848	67.389	105.97	971.06	-0.29275	0.00014386	0.11284	0.011818	6.9259	0.14439	22.716	24.701	105.34	59.875	71.927	221.90	28.053	7.0531e-06	0.014332
260.77	0.31884	544.86	0.0018353	7.4516	7.4774	39.117	67.483	106.16	966.72	-0.28932	0.00014287	0.11248	0.011731	7.0752	0.14134	22.747	24.735	105.30	60.027	72.150	221.90	27.892	7.0711e-06	0.014401
261.42	0.32593	544.03	0.0018381	7.5206	7.5470	39.382	67.575	106.34	962.44	-0.28590	0.00014191	0.11213	0.011646	7.2245	0.13842	22.778	24.768	105.26	60.176	72.372	221.91	27.735	7.0888e-06	0.014468
262.06	0.33301	543.20	0.0018409	7.5885	7.6156	39.641	67.666	106.53	958.24	-0.28250	0.00014097	0.11179	0.011562	7.3737	0.13562	22.808	24.800	105.22	60.324	72.591	221.90	27.583	7.1062e-06	0.014535
262.69	0.34010	542.39	0.0018437	7.6556	7.6832	39.897	67.756	106.71	954.10	-0.27912	0.00014006	0.11145	0.011480	7.5229	0.13293	22.838	24.832	105.18	60.469	72.809	221.90	27.435	7.1234e-06	0.014602
263.32	0.34718	541.58	0.0018464	7.7216	7.7499	40.148	67.846	106.89	950.02	-0.27576	0.00013916	0.11112	0.011399	7.6721	0.13034	22.868	24.863	105.14	60.613	73.025	221.89	27.291	7.1404e-06	0.014667
263.93	0.35427	540.79	0.0018491	7.7868	7.8157	40.396	67.934	107.07	946.01	-0.27241	0.00013829	0.11079	0.011319	7.8212	0.12786	22.896	24.894	105.10	60.755	73.239	221.88	27.151	7.1571e-06	0.014732
264.53	0.36135	540.01	0.0018518	7.8511	7.8806	40.639	68.021	107.25	942.05	-0.26908	0.00013743	0.11047	0.011241	7.9703	0.12547	22.925	24.924	105.07	60.895	73.452	221.86	27.015	7.1736e-06	0.014796
265.13	0.36844	539.23	0.0018545	7.9146	7.9447	40.879	68.108	107.42	938.15	-0.26576	0.00013659	0.11016	0.011164	8.1194	0.12316	22.953	24.954	105.03	61.034	73.663	221.84	26.882	7.1900e-06	0.014859
265.71	0.37552	538.47	0.0018571	7.9772	8.0080	41.115	68.193	107.60	934.30	-0.26245	0.00013577	0.10985	0.011088	8.2685	0.12094	22.980	24.983	105.00	61.171	73.872	221.82	26.753	7.2061e-06	0.014922
266.29	0.38261	537.71	0.0018597	8.0391	8.0704	41.348	68.278	107.77	930.51	-0.25916	0.00013496	0.10954	0.011013	8.4175	0.11880	23.007	25.012	104.97	61.306	74.080	221.80	26.627	7.2220e-06	0.014984
