Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	2.0765	0.48158	21.797	23.851	112.19	49.949	59.225	237.50	28.417	7.2124e-06	0.013129	vapor
263.15	0.10132	1.9916	0.50211	22.308	24.449	114.51	51.339	60.485	242.12	25.188	7.5148e-06	0.014034	vapor
273.15	0.10132	1.9139	0.52250	22.833	25.061	116.79	52.759	61.796	246.59	22.429	7.8157e-06	0.014970	vapor
283.15	0.10132	1.8424	0.54278	23.371	25.685	119.03	54.206	63.155	250.94	20.067	8.1150e-06	0.015938	vapor
293.15	0.10132	1.7763	0.56297	23.923	26.324	121.25	55.680	64.554	255.18	18.039	8.4126e-06	0.016936	vapor
303.15	0.10132	1.7150	0.58308	24.490	26.976	123.44	57.177	65.989	259.32	16.294	8.7084e-06	0.017964	vapor
313.15	0.10132	1.6580	0.60313	25.072	27.644	125.60	58.695	67.455	263.36	14.784	9.0024e-06	0.019020	vapor
323.15	0.10132	1.6048	0.62312	25.669	28.326	127.75	60.229	68.944	267.32	13.473	9.2945e-06	0.020105	vapor
333.15	0.10132	1.5551	0.64306	26.281	29.023	129.87	61.776	70.453	271.20	12.329	9.5846e-06	0.021216	vapor
343.15	0.10132	1.5084	0.66297	26.908	29.735	131.98	63.331	71.976	275.02	11.325	9.8727e-06	0.022354	vapor
353.15	0.10132	1.4645	0.68283	27.551	30.462	134.07	64.892	73.508	278.76	10.440	1.0159e-05	0.023516	vapor
363.15	0.10132	1.4231	0.70267	28.209	31.205	136.14	66.454	75.046	282.45	9.6553	1.0442e-05	0.024702	vapor
373.15	0.10132	1.3841	0.72248	28.883	31.963	138.20	68.016	76.586	286.08	8.9572	1.0724e-05	0.025910	vapor
383.15	0.10132	1.3472	0.74227	29.572	32.737	140.24	69.573	78.124	289.66	8.3329	1.1003e-05	0.027139	vapor
393.15	0.10132	1.3123	0.76204	30.276	33.526	142.28	71.124	79.658	293.18	7.7723	1.1280e-05	0.028389	vapor
403.15	0.10132	1.2791	0.78179	30.996	34.330	144.30	72.666	81.185	296.66	7.2667	1.1555e-05	0.029657	vapor
413.15	0.10132	1.2476	0.80152	31.732	35.149	146.30	74.197	82.703	300.10	6.8090	1.1828e-05	0.030944	vapor
423.15	0.10132	1.2177	0.82123	32.482	35.984	148.30	75.715	84.209	303.49	6.3933	1.2098e-05	0.032247	vapor
433.15	0.10132	1.1891	0.84094	33.248	36.833	150.28	77.220	85.703	306.84	6.0142	1.2366e-05	0.033566	vapor
443.15	0.10132	1.1619	0.86063	34.028	37.698	152.26	78.710	87.183	310.15	5.6676	1.2631e-05	0.034899	vapor
453.15	0.10132	1.1360	0.88031	34.824	38.577	154.22	80.183	88.647	313.43	5.3497	1.2895e-05	0.036246	vapor
