Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
181.21	0.0075917	662.48	0.0015095	-0.17751	-0.17703	4.1056	56.073	87.518	1472.8	-0.49922	0.00033968	0.16654	0.023289	0.21316	4.6913	18.708	20.207	116.59	39.665	48.176	207.43	70.476	5.1251e-06	0.0074461
191.02	0.015183	651.22	0.0015356	0.68381	0.68479	8.7345	56.105	88.162	1409.9	-0.48435	0.00029491	0.15874	0.021816	0.40594	2.4634	19.088	20.662	113.32	40.958	49.613	211.88	61.806	5.4005e-06	0.0081229
197.35	0.022775	643.87	0.0015531	1.2434	1.2449	11.617	56.219	88.690	1369.0	-0.47307	0.00027077	0.15414	0.020874	0.59128	1.6913	19.336	20.957	111.50	41.835	50.617	214.54	56.966	5.5781e-06	0.0085777
202.14	0.030367	638.25	0.0015668	1.6695	1.6715	13.750	56.352	89.149	1338.0	-0.46360	0.00025449	0.15087	0.020164	0.77194	1.2954	19.525	21.180	110.26	42.524	51.423	216.43	53.627	5.7123e-06	0.0089320
206.05	0.037958	633.63	0.0015782	2.0185	2.0210	15.460	56.488	89.561	1312.6	-0.45526	0.00024230	0.14832	0.019589	0.94921	1.0535	19.679	21.362	109.32	43.103	52.113	217.88	51.091	5.8217e-06	0.0092275
209.38	0.045550	629.68	0.0015881	2.3166	2.3196	16.895	56.624	89.938	1291.0	-0.44771	0.00023262	0.14623	0.019102	1.1239	0.88979	19.811	21.516	108.58	43.609	52.725	219.06	49.053	5.9148e-06	0.0094837
212.28	0.053142	626.20	0.0015969	2.5784	2.5819	18.137	56.756	90.289	1272.0	-0.44074	0.00022463	0.14446	0.018677	1.2964	0.77137	19.926	21.651	107.96	44.061	53.280	220.03	47.356	5.9962e-06	0.0097117
214.88	0.060733	623.08	0.0016049	2.8128	2.8169	19.235	56.884	90.618	1255.1	-0.43423	0.00021784	0.14292	0.018299	1.4672	0.68159	20.029	21.771	107.44	44.474	53.790	220.86	45.904	6.0689e-06	0.0099183
217.23	0.068325	620.24	0.0016123	3.0258	3.0305	20.221	57.009	90.929	1239.8	-0.42808	0.00021195	0.14156	0.017958	1.6364	0.61109	20.122	21.879	106.99	44.854	54.266	221.58	44.640	6.1348e-06	0.010108
219.38	0.075917	617.62	0.0016191	3.2216	3.2267	21.118	57.131	91.225	1225.8	-0.42225	0.00020677	0.14034	0.017647	1.8044	0.55421	20.208	21.978	106.59	45.208	54.713	222.21	43.521	6.1952e-06	0.010284
221.37	0.083508	615.19	0.0016255	3.4030	3.4087	21.941	57.249	91.509	1212.8	-0.41667	0.00020214	0.13923	0.017360	1.9712	0.50731	20.287	22.069	106.24	45.540	55.137	222.77	42.521	6.2511e-06	0.010448
223.22	0.091100	612.91	0.0016316	3.5725	3.5787	22.703	57.363	91.781	1200.7	-0.41130	0.00019797	0.13822	0.017093	2.1370	0.46795	20.360	22.154	105.92	45.853	55.539	223.26	41.617	6.3033e-06	0.010603
224.95	0.098692	610.77	0.0016373	3.7316	3.7384	23.414	57.475	92.044	1189.3	-0.40613	0.00019418	0.13728	0.016844	2.3018	0.43443	20.429	22.233	105.63	46.151	55.925	223.71	40.793	6.3522e-06	0.010750
226.59	0.10628	608.75	0.0016427	3.8819	3.8893	24.080	57.583	92.297	1178.7	-0.40113	0.00019070	0.13641	0.016610	2.4659	0.40553	20.494	22.308	105.37	46.434	56.294	224.11	40.038	6.3983e-06	0.010889
228.13	0.11388	606.82	0.0016479	4.0244	4.0323	24.706	57.689	92.543	1168.6	-0.39627	0.00018750	0.13560	0.016389	2.6293	0.38033	20.556	22.378	105.12	46.705	56.650	224.47	39.342	6.4421e-06	0.011023
229.60	0.12147	604.99	0.0016529	4.1601	4.1685	25.299	57.792	92.782	1159.0	-0.39155	0.00018452	0.13484	0.016180	2.7919	0.35817	20.614	22.445	104.90	46.965	56.994	224.80	38.697	6.4837e-06	0.011150
231.00	0.12906	603.24	0.0016577	4.2896	4.2986	25.862	57.893	93.015	1149.8	-0.38694	0.00018176	0.13413	0.015981	2.9540	0.33852	20.669	22.508	104.69	47.215	57.327	225.10	38.096	6.5234e-06	0.011273
232.33	0.13665	601.56	0.0016624	4.4137	4.4232	26.397	57.991	93.241	1141.1	-0.38244	0.00017917	0.13345	0.015791	3.1155	0.32097	20.722	22.568	104.50	47.455	57.649	225.38	37.535	6.5614e-06	0.011391
233.61	0.14424	599.94	0.0016668	4.5328	4.5429	26.909	58.088	93.463	1132.7	-0.37804	0.00017674	0.13281	0.015610	3.2765	0.30520	20.773	22.626	104.31	47.688	57.963	225.63	37.008	6.5979e-06	0.011505
234.84	0.15183	598.38	0.0016712	4.6474	4.6581	27.398	58.182	93.679	1124.7	-0.37372	0.00017445	0.13220	0.015436	3.4370	0.29095	20.822	22.681	104.14	47.913	58.268	225.86	36.514	6.6331e-06	0.011616
236.02	0.15943	596.87	0.0016754	4.7579	4.7691	27.868	58.275	93.891	1117.0	-0.36949	0.00017229	0.13162	0.015269	3.5971	0.27800	20.869	22.734	103.98	48.131	58.566	226.07	36.047	6.6670e-06	0.011723
237.16	0.16702	595.42	0.0016795	4.8647	4.8765	28.319	58.365	94.098	1109.5	-0.36533	0.00017024	0.13107	0.015108	3.7568	0.26618	20.914	22.785	103.83	48.342	58.856	226.26	35.606	6.6998e-06	0.011827
238.26	0.17461	594.01	0.0016835	4.9680	4.9803	28.754	58.454	94.302	1102.3	-0.36123	0.00016829	0.13054	0.014953	3.9161	0.25535	20.958	22.834	103.69	48.548	59.140	226.44	35.187	6.7315e-06	0.011928
