Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
116.10	2.4250e-07	1828.8	0.00054679	8.0203	8.0203	33.618	69.219	103.52	1310.0	-0.53048	undefined	undefined	0.035884	3.0376e-05	32921.	33.279	34.244	259.49	34.581	42.896	99.513	532.62	4.5968e-06	0.0023151
194.65	0.0068937	1622.3	0.00061640	15.846	15.846	85.150	64.619	100.66	938.62	-0.50325	0.00068104	0.10674	0.023178	0.51775	1.9314	36.584	38.194	199.96	49.912	58.446	124.54	73.751	7.6225e-06	0.0051382
204.96	0.013787	1594.6	0.00062711	16.890	16.891	90.375	65.244	101.77	893.66	-0.48597	0.00057428	0.10222	0.021600	0.98688	1.0133	37.091	38.780	197.17	51.779	60.457	127.15	62.243	8.0238e-06	0.0055765
211.62	0.020681	1576.5	0.00063430	17.569	17.570	93.637	65.694	102.57	865.09	-0.47337	0.00051901	0.099397	0.020595	1.4382	0.69530	37.423	39.162	195.67	52.970	61.772	128.71	56.276	8.2808e-06	0.0058661
216.65	0.027574	1562.7	0.00063990	18.086	18.089	96.054	66.055	103.21	843.66	-0.46304	0.00048259	0.097300	0.019841	1.8784	0.53237	37.677	39.452	194.66	53.866	62.783	129.83	52.368	8.4743e-06	0.0060889
220.75	0.034468	1551.4	0.00064458	18.511	18.513	97.994	66.359	103.76	826.33	-0.45408	0.00045581	0.095617	0.019232	2.3104	0.43282	37.885	39.689	193.92	54.594	63.618	130.68	49.516	8.6313e-06	0.0062727
224.23	0.041361	1541.7	0.00064864	18.873	18.876	99.622	66.624	104.25	811.68	-0.44606	0.00043482	0.094202	0.018717	2.7362	0.36547	38.063	39.890	193.34	55.212	64.337	131.38	47.300	8.7642e-06	0.0064306
227.28	0.048255	1533.2	0.00065225	19.191	19.195	101.03	66.860	104.69	798.92	-0.43872	0.00041766	0.092977	0.018269	3.1569	0.31676	38.219	40.067	192.87	55.752	64.975	131.95	45.503	8.8801e-06	0.0065698
230.00	0.055148	1525.5	0.00065553	19.476	19.480	102.28	67.074	105.09	787.58	-0.43192	0.00040322	0.091894	0.017871	3.5734	0.27984	38.358	40.224	192.47	56.233	65.550	132.45	44.003	8.9832e-06	0.0066950
232.46	0.062042	1518.5	0.00065854	19.735	19.740	103.40	67.270	105.46	777.36	-0.42553	0.00039078	0.090921	0.017512	3.9863	0.25086	38.485	40.367	192.13	56.668	66.077	132.87	42.723	9.0763e-06	0.0068091
