Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	5.1097	0.19571	37.525	39.548	180.24	70.767	81.198	147.74	40.899	1.0027e-05	0.0097974	vapor
263.15	0.10132	4.8870	0.20462	38.248	40.364	183.40	72.023	82.039	151.02	34.573	1.0431e-05	0.010595	vapor
273.15	0.10132	4.6863	0.21339	38.984	41.190	186.48	73.511	83.240	154.15	29.820	1.0831e-05	0.011393	vapor
283.15	0.10132	4.5037	0.22204	39.734	42.029	189.50	75.105	84.618	157.17	26.055	1.1228e-05	0.012192	vapor
293.15	0.10132	4.3364	0.23061	40.499	42.883	192.46	76.749	86.093	160.09	22.975	1.1623e-05	0.012991	vapor
303.15	0.10132	4.1823	0.23910	41.279	43.751	195.37	78.416	87.625	162.92	20.406	1.2014e-05	0.013790	vapor
313.15	0.10132	4.0397	0.24754	42.076	44.635	198.24	80.093	89.191	165.67	18.234	1.2404e-05	0.014590	vapor
323.15	0.10132	3.9073	0.25593	42.889	45.535	201.07	81.771	90.777	168.36	16.379	1.2792e-05	0.015389	vapor
333.15	0.10132	3.7838	0.26428	43.719	46.451	203.86	83.446	92.375	170.99	14.782	1.3177e-05	0.016189	vapor
343.15	0.10132	3.6683	0.27260	44.564	47.383	206.62	85.115	93.978	173.56	13.398	1.3561e-05	0.016989	vapor
353.15	0.10132	3.5601	0.28089	45.427	48.331	209.34	86.775	95.582	176.08	12.190	1.3944e-05	0.017789	vapor
363.15	0.10132	3.4583	0.28916	46.305	49.294	212.03	88.426	97.184	178.55	11.132	1.4325e-05	0.018589	vapor
373.15	0.10132	3.3624	0.29740	47.200	50.274	214.69	90.066	98.782	180.98	10.200	1.4704e-05	0.019389	vapor
383.15	0.10132	3.2719	0.30563	48.110	51.270	217.33	91.695	100.38	183.36	9.3755	1.5082e-05	0.020190	vapor
393.15	0.10132	3.1863	0.31384	49.037	52.282	219.93	93.312	101.96	185.71	8.6427	1.5459e-05	0.020990	vapor
403.15	0.10132	3.1053	0.32203	49.980	53.309	222.51	94.919	103.54	188.02	7.9888	1.5834e-05	0.021790	vapor
413.15	0.10132	3.0283	0.33022	50.939	54.352	225.07	96.513	105.11	190.30	7.4033	1.6208e-05	0.022591	vapor
423.15	0.10132	2.9552	0.33839	51.913	55.411	227.60	98.096	106.67	192.54	6.8771	1.6581e-05	0.023391	vapor
433.15	0.10132	2.8856	0.34655	52.903	56.486	230.11	99.667	108.22	194.76	6.4026	1.6953e-05	0.024191	vapor
443.15	0.10132	2.8192	0.35470	53.909	57.576	232.60	101.23	109.76	196.94	5.9733	1.7324e-05	0.024992	vapor
453.15	0.10132	2.7560	0.36285	54.930	58.681	235.06	102.78	111.30	199.10	5.5839	1.7694e-05	0.025792	vapor
