Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
169.85	0.00038960	1591.1	0.00062849	7.2908	7.2908	42.101	80.830	120.79	1120.0	-0.38145	0.0021535	0.14525	0.027382	0.028175	35.493	32.764	34.175	200.38	51.318	59.719	126.79	373.56	6.8294e-06	0.0030802
201.67	0.0071544	1505.9	0.00066404	11.162	11.163	62.988	81.915	123.23	959.34	-0.34894	0.00083571	0.12685	0.022195	0.43833	2.2814	34.464	36.129	186.79	58.885	67.627	136.44	111.61	8.0791e-06	0.0056316
211.12	0.013919	1480.0	0.00067570	12.333	12.334	68.663	82.736	124.50	912.85	-0.33502	0.00068691	0.12178	0.020696	0.81789	1.2227	34.998	36.735	184.24	61.144	70.101	138.91	87.874	8.4422e-06	0.0063922
217.28	0.020684	1462.8	0.00068361	13.102	13.104	72.253	83.324	125.40	882.97	-0.32488	0.00061143	0.11857	0.019731	1.1851	0.84383	35.351	37.132	182.84	62.632	71.775	140.39	76.739	8.6760e-06	0.0068884
221.95	0.027449	1449.7	0.00068980	13.690	13.692	74.927	83.793	126.13	860.49	-0.31656	0.00056248	0.11618	0.019004	1.5444	0.64748	35.621	37.434	181.90	63.776	73.087	141.43	69.842	8.8520e-06	0.0072655
225.76	0.034214	1438.9	0.00069497	14.171	14.173	77.076	84.186	126.75	842.28	-0.30935	0.00052693	0.11426	0.018416	1.8982	0.52682	35.842	37.681	181.21	64.719	74.189	142.23	64.987	8.9945e-06	0.0075736
228.99	0.040979	1429.7	0.00069946	14.582	14.585	78.884	84.528	127.29	826.88	-0.30289	0.00049934	0.11264	0.017919	2.2476	0.44493	36.031	37.891	180.66	65.530	75.151	142.87	61.306	9.1151e-06	0.0078360
231.82	0.047743	1421.5	0.00070347	14.942	14.946	80.449	84.832	127.78	813.47	-0.29699	0.00047699	0.11124	0.017487	2.5935	0.38559	36.196	38.074	180.22	66.246	76.012	143.39	58.375	9.2200e-06	0.0080658
234.35	0.054508	1414.2	0.00070710	15.265	15.269	81.833	85.107	128.23	801.56	-0.29150	0.00045830	0.11001	0.017104	2.9365	0.34055	36.344	38.238	179.85	66.890	76.797	143.84	55.960	9.3132e-06	0.0082710
236.63	0.061273	1407.6	0.00071043	15.558	15.562	83.077	85.358	128.64	790.81	-0.28635	0.00044233	0.10890	0.016758	3.2770	0.30516	36.477	38.385	179.53	67.478	77.521	144.21	53.920	9.3972e-06	0.0084570
238.72	0.068038	1401.5	0.00071353	15.827	15.832	84.208	85.590	129.03	781.01	-0.28147	0.00042842	0.10789	0.016443	3.6155	0.27659	36.600	38.520	179.25	68.021	78.197	144.54	52.162	9.4739e-06	0.0086275
240.65	0.074803	1395.8	0.00071643	16.075	16.081	85.246	85.806	129.39	771.97	-0.27682	0.00041615	0.10696	0.016153	3.9521	0.25303	36.713	38.644	179.01	68.526	78.832	144.83	50.623	9.5446e-06	0.0087853
242.44	0.081567	1390.5	0.00071916	16.308	16.314	86.208	86.009	129.74	763.58	-0.27236	0.00040518	0.10610	0.015884	4.2871	0.23326	36.818	38.759	178.79	69.000	79.433	145.08	49.260	9.6102e-06	0.0089323
244.12	0.088332	1385.5	0.00072175	16.525	16.532	87.103	86.200	130.06	755.74	-0.26807	0.00039529	0.10530	0.015633	4.6207	0.21642	36.916	38.867	178.59	69.446	80.004	145.30	48.038	9.6714e-06	0.0090701
245.70	0.095097	1380.8	0.00072421	16.731	16.738	87.942	86.381	130.38	748.38	-0.26392	0.00038630	0.10456	0.015398	4.9531	0.20189	37.009	38.968	178.42	69.868	80.550	145.50	46.935	9.7290e-06	0.0092001
247.19	0.10186	1376.3	0.00072657	16.926	16.933	88.732	86.553	130.68	741.43	-0.25989	0.00037807	0.10385	0.015176	5.2843	0.18924	37.096	39.063	178.26	70.270	81.073	145.68	45.931	9.7833e-06	0.0093231
248.61	0.10863	1372.1	0.00072883	17.111	17.119	89.478	86.717	130.97	734.85	-0.25598	0.00037049	0.10319	0.014966	5.6145	0.17811	37.179	39.153	178.11	70.653	81.576	145.84	45.011	9.8348e-06	0.0094400
249.96	0.11539	1368.0	0.00073100	17.287	17.296	90.187	86.874	131.25	728.58	-0.25217	0.00036347	0.10255	0.014767	5.9438	0.16824	37.258	39.239	177.97	71.020	82.062	145.98	44.164	9.8837e-06	0.0095515
251.24	0.12216	1364.1	0.00073310	17.456	17.465	90.861	87.024	131.52	722.61	-0.24844	0.00035695	0.10195	0.014578	6.2723	0.15943	37.333	39.321	177.85	71.372	82.532	146.11	43.379	9.9304e-06	0.0096582
252.48	0.12892	1360.3	0.00073512	17.618	17.628	91.504	87.169	131.79	716.90	-0.24480	0.00035085	0.10138	0.014396	6.6000	0.15151	37.405	39.398	177.73	71.710	82.987	146.22	42.650	9.9751e-06	0.0097605
253.66	0.13569	1356.7	0.00073708	17.774	17.784	92.119	87.309	132.04	711.42	-0.24122	0.00034514	0.10083	0.014223	6.9271	0.14436	37.474	39.473	177.62	72.037	83.428	146.32	41.969	1.0018e-05	0.0098589
254.80	0.14245	1353.2	0.00073898	17.924	17.934	92.709	87.443	132.29	706.16	-0.23772	0.00033976	0.10031	0.014057	7.2535	0.13786	37.541	39.545	177.52	72.352	83.858	146.42	41.332	1.0059e-05	0.0099536
255.89	0.14922	1349.8	0.00074083	18.068	18.080	93.276	87.574	132.54	701.10	-0.23427	0.00033469	0.099803	0.013897	7.5794	0.13194	37.605	39.613	177.43	72.657	84.277	146.50	40.733	1.0099e-05	0.010045
256.95	0.15598	1346.6	0.00074263	18.208	18.220	93.822	87.700	132.77	696.21	-0.23088	0.00032989	0.099317	0.013743	7.9048	0.12651	37.666	39.680	177.34	72.953	84.685	146.57	40.169	1.0137e-05	0.010133
257.97	0.16275	1343.4	0.00074439	18.344	18.356	94.349	87.823	133.01	691.49	-0.22754	0.00032534	0.098848	0.013594	8.2297	0.12151	37.726	39.743	177.25	73.240	85.084	146.64	39.635	1.0174e-05	0.010219
258.96	0.16951	1340.3	0.00074610	18.475	18.488	94.857	87.942	133.23	686.93	-0.22425	0.00032102	0.098395	0.013451	8.5542	0.11690	37.783	39.805	177.17	73.518	85.475	146.70	39.131	1.0210e-05	0.010302
259.92	0.17627	1337.3	0.00074778	18.603	18.616	95.349	88.057	133.46	682.50	-0.22100	0.00031690	0.097958	0.013312	8.8783	0.11263	37.839	39.865	177.10	73.790	85.857	146.75	38.652	1.0245e-05	0.010383
260.85	0.18304	1334.4	0.00074941	18.727	18.741	95.825	88.170	133.68	678.21	-0.21779	0.00031298	0.097534	0.013178	9.2020	0.10867	37.893	39.922	177.03	74.054	86.231	146.79	38.196	1.0278e-05	0.010461
261.76	0.18980	1331.5	0.00075101	18.847	18.862	96.287	88.280	133.89	674.05	-0.21461	0.00030922	0.097123	0.013047	9.5254	0.10498	37.945	39.978	176.96	74.311	86.598	146.83	37.762	1.0311e-05	0.010538
262.64	0.19657	1328.8	0.00075259	18.965	18.980	96.735	88.387	134.10	669.99	-0.21147	0.00030562	0.096724	0.012921	9.8486	0.10154	37.996	40.033	176.89	74.563	86.959	146.87	37.348	1.0343e-05	0.010612
263.49	0.20333	1326.0	0.00075413	19.080	19.095	97.171	88.492	134.31	666.05	-0.20837	0.00030217	0.096336	0.012798	10.171	0.098314	38.046	40.085	176.83	74.808	87.313	146.90	36.953	1.0374e-05	0.010685
264.33	0.21010	1323.4	0.00075564	19.191	19.208	97.595	88.594	134.52	662.21	-0.20529	0.00029886	0.095959	0.012678	10.494	0.095291	38.094	40.137	176.77	75.048	87.662	146.92	36.574	1.0404e-05	0.010755
265.14	0.21686	1320.8	0.00075712	19.301	19.317	98.007	88.694	134.72	658.46	-0.20224	0.00029568	0.095592	0.012562	10.817	0.092450	38.141	40.187	176.72	75.283	88.004	146.94	36.211	1.0434e-05	0.010825
265.94	0.22363	1318.2	0.00075858	19.407	19.425	98.410	88.792	134.92	654.81	-0.19922	0.00029261	0.095234	0.012448	11.139	0.089776	38.187	40.235	176.66	75.512	88.342	146.96	35.863	1.0463e-05	0.010892
266.71	0.23039	1315.8	0.00076002	19.512	19.530	98.802	88.888	135.12	651.24	-0.19622	0.00028965	0.094886	0.012338	11.461	0.087253	38.231	40.282	176.61	75.738	88.674	146.97	35.528	1.0491e-05	0.010959
267.47	0.23716	1313.3	0.00076143	19.614	19.632	99.184	88.982	135.31	647.75	-0.19324	0.00028680	0.094545	0.012230	11.783	0.084868	38.275	40.329	176.56	75.958	89.002	146.98	35.206	1.0519e-05	0.011024
268.21	0.24392	1310.9	0.00076283	19.714	19.733	99.558	89.075	135.50	644.34	-0.19028	0.00028404	0.094213	0.012124	12.105	0.082612	38.318	40.374	176.51	76.174	89.325	146.99	34.896	1.0546e-05	0.011087
268.94	0.25069	1308.6	0.00076420	19.812	19.832	99.924	89.165	135.69	641.00	-0.18735	0.00028138	0.093888	0.012021	12.427	0.080473	38.359	40.418	176.47	76.387	89.644	146.99	34.598	1.0572e-05	0.011150
