Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	4.2741	0.23397	32.581	34.631	162.35	44.151	53.636	167.41	36.619	1.0640e-05	0.0080791	vapor
263.15	0.10132	4.0974	0.24406	33.032	35.171	164.44	45.048	54.359	170.73	32.259	1.1088e-05	0.0086048	vapor
273.15	0.10132	3.9361	0.25406	33.492	35.718	166.48	45.968	55.139	173.93	28.600	1.1533e-05	0.0091479	vapor
283.15	0.10132	3.7879	0.26400	33.961	36.274	168.48	46.902	55.960	177.05	25.506	1.1974e-05	0.0097080	vapor
293.15	0.10132	3.6513	0.27388	34.438	36.837	170.44	47.845	56.810	180.09	22.873	1.2412e-05	0.010285	vapor
303.15	0.10132	3.5247	0.28371	34.924	37.410	172.36	48.793	57.681	183.05	20.617	1.2848e-05	0.010878	vapor
313.15	0.10132	3.4071	0.29351	35.420	37.991	174.24	49.742	58.565	185.95	18.672	1.3279e-05	0.011488	vapor
323.15	0.10132	3.2974	0.30327	35.924	38.581	176.10	50.688	59.456	188.79	16.987	1.3708e-05	0.012113	vapor
333.15	0.10132	3.1949	0.31300	36.438	39.180	177.92	51.628	60.350	191.57	15.518	1.4133e-05	0.012753	vapor
343.15	0.10132	3.0988	0.32271	36.961	39.788	179.72	52.561	61.243	194.30	14.231	1.4555e-05	0.013407	vapor
353.15	0.10132	3.0085	0.33240	37.493	40.405	181.49	53.483	62.132	196.99	13.098	1.4973e-05	0.014077	vapor
363.15	0.10132	2.9234	0.34207	38.034	41.031	183.24	54.394	63.013	199.63	12.096	1.5388e-05	0.014759	vapor
373.15	0.10132	2.8432	0.35172	38.584	41.665	184.96	55.293	63.885	202.23	11.205	1.5799e-05	0.015456	vapor
383.15	0.10132	2.7673	0.36136	39.142	42.308	186.67	56.177	64.747	204.79	10.410	1.6206e-05	0.016165	vapor
393.15	0.10132	2.6955	0.37099	39.710	42.960	188.34	57.046	65.596	207.32	9.6972	1.6610e-05	0.016886	vapor
403.15	0.10132	2.6274	0.38061	40.286	43.620	190.00	57.899	66.431	209.81	9.0560	1.7010e-05	0.017620	vapor
413.15	0.10132	2.5627	0.39022	40.870	44.289	191.64	58.736	67.252	212.27	8.4770	1.7407e-05	0.018365	vapor
423.15	0.10132	2.5011	0.39982	41.462	44.965	193.26	59.556	68.058	214.69	7.9524	1.7800e-05	0.019121	vapor
433.15	0.10132	2.4425	0.40941	42.063	45.650	194.86	60.359	68.848	217.09	7.4754	1.8190e-05	0.019887	vapor
443.15	0.10132	2.3866	0.41900	42.671	46.342	196.44	61.144	69.623	219.46	7.0404	1.8576e-05	0.020665	vapor
453.15	0.10132	2.3333	0.42858	43.287	47.042	198.00	61.913	70.380	221.81	6.6424	1.8958e-05	0.021452	vapor
