Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	1487.6	0.00067224	-0.87426	-0.86989	-3.3702	53.014	87.029	1069.1	-0.27742	0.00046452	0.19165	liquid
263.14	0.10133	1461.6	0.00068418	-0.0044412	-9.7167e-16	0.0000	52.690	87.203	1026.7	-0.26551	0.00041463	0.18687	liquid
263.14	0.10133	3.0516	0.32770	22.829	24.956	94.841	31.811	41.586	205.35	58.414	1.1271e-05	0.0081501	vapor
263.15	0.10132	3.0514	0.32772	22.829	24.957	94.843	31.811	41.586	205.35	58.404	1.1272e-05	0.0081506	vapor
273.15	0.10132	2.9281	0.34152	23.155	25.372	96.393	31.970	41.513	209.37	51.557	1.1726e-05	0.0085673	vapor
283.15	0.10132	2.8155	0.35518	23.482	25.787	97.885	32.154	41.508	213.25	45.680	1.2179e-05	0.0089910	vapor
293.15	0.10132	2.7122	0.36871	23.809	26.203	99.326	32.359	41.560	217.03	40.631	1.2632e-05	0.0094218	vapor
303.15	0.10132	2.6169	0.38214	24.138	26.619	100.72	32.584	41.659	220.70	36.288	1.3084e-05	0.0098595	vapor
313.15	0.10132	2.5286	0.39548	24.469	27.036	102.08	32.826	41.799	224.28	32.549	1.3535e-05	0.010304	vapor
323.15	0.10132	2.4464	0.40876	24.801	27.455	103.39	33.083	41.971	227.77	29.324	1.3985e-05	0.010755	vapor
333.15	0.10132	2.3698	0.42197	25.136	27.875	104.67	33.354	42.170	231.19	26.536	1.4434e-05	0.011213	vapor
343.15	0.10132	2.2981	0.43514	25.474	28.298	105.93	33.635	42.392	234.54	24.120	1.4882e-05	0.011677	vapor
353.15	0.10132	2.2308	0.44827	25.813	28.723	107.15	33.925	42.633	237.83	22.019	1.5328e-05	0.012147	vapor
363.15	0.10132	2.1675	0.46136	26.156	29.151	108.34	34.222	42.887	241.05	20.188	1.5772e-05	0.012623	vapor
373.15	0.10132	2.1078	0.47442	26.501	29.581	109.51	34.524	43.154	244.21	18.585	1.6215e-05	0.013104	vapor
383.15	0.10132	2.0515	0.48746	26.850	30.014	110.65	34.829	43.428	247.32	17.176	1.6655e-05	0.013591	vapor
393.15	0.10132	1.9981	0.50048	27.201	30.450	111.78	35.137	43.709	250.39	15.933	1.7094e-05	0.014083	vapor
403.15	0.10132	1.9475	0.51347	27.555	30.888	112.88	35.444	43.995	253.40	14.831	1.7530e-05	0.014581	vapor
413.15	0.10132	1.8995	0.52646	27.912	31.330	113.96	35.752	44.283	256.37	13.850	1.7964e-05	0.015083	vapor
423.15	0.10132	1.8538	0.53942	28.272	31.774	115.02	36.058	44.571	259.31	12.973	1.8396e-05	0.015589	vapor
433.15	0.10132	1.8104	0.55238	28.635	32.221	116.07	36.362	44.860	262.20	12.185	1.8825e-05	0.016100	vapor
443.15	0.10132	1.7689	0.56532	29.001	32.671	117.09	36.663	45.148	265.05	11.474	1.9252e-05	0.016614	vapor
453.15	0.10132	1.7293	0.57826	29.370	33.124	118.10	36.960	45.433	267.87	10.830	1.9676e-05	0.017133	vapor
