Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
197.70	0.0016661	1627.9	0.00061427	-5.7274	-5.7273	-25.019	56.208	88.811	1300.6	-0.30726	undefined	undefined	0.041582	0.065024	15.379	21.093	22.735	118.95	28.043	36.425	182.31	146.22	undefined	undefined
226.99	0.014808	1554.1	0.00064345	-3.1506	-3.1500	-12.862	54.196	87.323	1178.7	-0.29789	0.00064291	0.20307	0.035686	0.50624	1.9754	21.895	23.769	105.72	29.363	38.037	193.96	95.741	9.7188e-06	0.0068067
237.58	0.027949	1527.3	0.00065474	-2.2275	-2.2264	-8.8878	53.653	87.082	1134.4	-0.29121	0.00056038	0.19864	0.033571	0.91675	1.0908	22.178	24.131	102.05	29.965	38.855	197.69	82.550	1.0174e-05	0.0071919
244.60	0.041091	1509.4	0.00066249	-1.6169	-1.6152	-6.3548	53.343	87.013	1105.0	-0.28562	0.00051393	0.19555	0.032174	1.3138	0.76113	22.362	24.365	99.861	30.414	39.491	200.00	74.933	1.0475e-05	0.0074506
249.97	0.054232	1495.7	0.00066858	-1.1503	-1.1480	-4.4678	53.130	87.012	1082.4	-0.28064	0.00048204	0.19311	0.031108	1.7023	0.58744	22.500	24.541	98.302	30.786	40.032	201.66	69.646	1.0706e-05	0.0076504
254.36	0.067374	1484.4	0.00067368	-0.76827	-0.76537	-2.9525	52.971	87.044	1063.8	-0.27607	0.00045797	0.19107	0.030238	2.0845	0.47973	22.612	24.682	97.093	31.110	40.514	202.96	65.636	1.0894e-05	0.0078154
258.11	0.080515	1474.7	0.00067811	-0.44233	-0.43884	-1.6804	52.845	87.097	1048.0	-0.27181	0.00043874	0.18930	0.029496	2.4619	0.40620	22.705	24.800	96.106	31.400	40.954	204.01	62.430	1.1055e-05	0.0079574
261.39	0.093657	1466.2	0.00068205	-0.15663	-0.15254	-0.58035	52.742	87.162	1034.1	-0.26778	0.00042280	0.18772	0.028848	2.8353	0.35270	22.786	24.903	95.273	31.665	41.361	204.89	59.773	1.1196e-05	0.0080829
264.32	0.10680	1458.5	0.00068563	0.098680	0.10337	0.39105	52.656	87.234	1021.7	-0.26393	0.00040922	0.18629	0.028270	3.2054	0.31197	22.858	24.992	94.553	31.911	41.743	205.65	57.514	1.1322e-05	0.0081958
266.98	0.11994	1451.5	0.00068893	0.33015	0.33545	1.2625	52.581	87.313	1010.4	-0.26023	0.00039742	0.18498	0.027747	3.5727	0.27990	22.922	25.073	93.919	32.140	42.103	206.31	55.558	1.1436e-05	0.0082990
