Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	7.1699	0.13947	39.293	41.357	209.60	77.480	86.544	124.39	15.281	1.3142e-05	0.0096734	vapor
263.15	0.10132	6.8813	0.14532	40.085	42.235	213.01	80.185	89.154	126.84	13.522	1.3608e-05	0.010396	vapor
273.15	0.10132	6.6162	0.15115	40.903	43.140	216.38	82.806	91.698	129.23	12.063	1.4072e-05	0.011129	vapor
283.15	0.10132	6.3717	0.15695	41.746	44.069	219.72	85.338	94.166	131.57	10.838	1.4533e-05	0.011870	vapor
293.15	0.10132	6.1453	0.16273	42.615	45.023	223.03	87.776	96.550	133.85	9.7974	1.4992e-05	0.012616	vapor
303.15	0.10132	5.9351	0.16849	43.506	46.000	226.31	90.119	98.848	136.10	8.9051	1.5448e-05	0.013366	vapor
313.15	0.10132	5.7392	0.17424	44.421	46.999	229.55	92.366	101.06	138.31	8.1334	1.5901e-05	0.014118	vapor
323.15	0.10132	5.5562	0.17998	45.357	48.021	232.76	94.519	103.17	140.47	7.4609	1.6351e-05	0.014871	vapor
333.15	0.10132	5.3849	0.18571	46.314	49.063	235.94	96.580	105.21	142.60	6.8708	1.6798e-05	0.015624	vapor
343.15	0.10132	5.2240	0.19142	47.292	50.124	239.08	98.551	107.15	144.70	6.3497	1.7243e-05	0.016376	vapor
353.15	0.10132	5.0727	0.19713	48.288	51.205	242.18	100.44	109.01	146.77	5.8867	1.7684e-05	0.017126	vapor
363.15	0.10132	4.9301	0.20284	49.303	52.304	245.25	102.24	110.79	148.80	5.4733	1.8122e-05	0.017873	vapor
373.15	0.10132	4.7954	0.20853	50.335	53.421	248.28	103.96	112.50	150.81	5.1023	1.8557e-05	0.018617	vapor
383.15	0.10132	4.6680	0.21422	51.384	54.554	251.28	105.60	114.12	152.79	4.7680	1.8990e-05	0.019358	vapor
393.15	0.10132	4.5473	0.21991	52.449	55.703	254.24	107.17	115.68	154.74	4.4655	1.9419e-05	0.020094	vapor
403.15	0.10132	4.4328	0.22559	53.529	56.867	257.17	108.66	117.16	156.67	4.1907	1.9845e-05	0.020826	vapor
413.15	0.10132	4.3240	0.23127	54.624	58.046	260.05	110.09	118.58	158.58	3.9401	2.0267e-05	0.021554	vapor
423.15	0.10132	4.2204	0.23694	55.732	59.239	262.91	111.46	119.93	160.46	3.7110	2.0687e-05	0.022276	vapor
433.15	0.10132	4.1218	0.24261	56.854	60.445	265.72	112.77	121.23	162.32	3.5009	2.1103e-05	0.022993	vapor
443.15	0.10132	4.0277	0.24828	57.989	61.663	268.50	114.01	122.47	164.16	3.3075	2.1517e-05	0.023705	vapor
453.15	0.10132	3.9379	0.25394	59.136	62.894	271.25	115.20	123.65	165.97	3.1292	2.1927e-05	0.024411	vapor
